SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
15,384,-1.7766814509578712,-1.6631317190266863,-1.7426165313785158,1.7766814509578712,1.6631317190266863,1.7426165313785158,0.13761653137851582
18,99,-1.8776626479618896,-1.6852813082333837,-1.8199482460433378,1.8776626479618896,1.6852813082333837,1.8199482460433378,0.21494824604333784
19,420,-1.6202700348362677,-1.6310507350270176,-1.6235042448934927,1.6202700348362677,1.6310507350270176,1.6235042448934927,0.018504244893492672
51,NA,NA,-1.7398598582815161,NA,NA,1.7398598582815161,NA,NA
59,62,-1.2641909231449522,-1.6453254870443013,-1.409022057426705,1.2641909231449522,1.6453254870443013,1.409022057426705,-0.19597794257329504
62,NA,NA,-1.613736385612475,NA,NA,1.613736385612475,NA,NA
63,1025,-1.9221781895962198,-1.7339733452499375,-1.865716736292335,1.9221781895962198,1.7339733452499375,1.865716736292335,0.26071673629233505
65,3043,-1.4635983232221128,-1.557030247418875,-1.4916279004811415,1.4635983232221128,1.557030247418875,1.4916279004811415,-0.11337209951885852
66,444,-1.6024323364079107,-1.568778556225721,-1.592336202353254,1.6024323364079107,1.568778556225721,1.592336202353254,-0.012663797646746078
69,2738,-1.7891439887694363,-1.68710405753845,-1.7585320094001404,1.7891439887694363,1.68710405753845,1.7585320094001404,0.15353200940014045
93,1504,-1.6618967202391213,-1.6497521670623465,-1.6582533542860889,1.6618967202391213,1.6497521670623465,1.6582533542860889,0.053253354286088905
96,116,-2.444163797511655,-1.80081408261185,-2.2511588830417137,2.444163797511655,1.80081408261185,2.2511588830417137,0.6461588830417138
102,50,-1.0210122455095951,-1.463713288239325,-1.24236276687446,1.0210122455095951,1.463713288239325,1.24236276687446,-0.3626372331255401
106,2443,-1.834793984513721,-1.67641060756295,-1.7872789714284898,1.834793984513721,1.67641060756295,1.7872789714284898,0.1822789714284898
108,726,-1.9820319334315348,-1.779425699852125,-1.9212500633577116,1.9820319334315348,1.779425699852125,1.9212500633577116,0.31625006335771166
113,83,-2.2228368041562288,-1.6136543206279,-2.04008205909773,2.2228368041562288,1.6136543206279,2.04008205909773,0.43508205909773023
114,NA,NA,-1.6887534964906374,NA,NA,1.6887534964906374,NA,NA
118,NA,NA,-1.624207539998415,NA,NA,1.624207539998415,NA,NA
122,3550,-1.9116205726934945,-1.707950817188875,-1.8505196460421087,1.9116205726934945,1.707950817188875,1.8505196460421087,0.24551964604210874
133,NA,NA,-1.5432324470003624,NA,NA,1.5432324470003624,NA,NA
134,59,-2.5979883026324178,-1.63850274804954,-2.2045992252534377,2.5979883026324178,1.63850274804954,2.2045992252534377,0.5995992252534377
135,NA,NA,-1.6608181449234374,NA,NA,1.6608181449234374,NA,NA
140,NA,NA,-1.6364327434351624,NA,NA,1.6364327434351624,NA,NA
143,87,-1.5327016501626318,-1.5216799986056124,-1.529395154695526,1.5327016501626318,1.5216799986056124,1.529395154695526,-0.07560484530447398
202,1321,-1.5871833106308122,-1.6196594944720413,-1.5969261657831808,1.5871833106308122,1.6196594944720413,1.5969261657831808,-0.008073834216819176
313,NA,NA,-1.6293470584870744,NA,NA,1.6293470584870744,NA,NA
322,NA,NA,-1.7875301283438374,NA,NA,1.7875301283438374,NA,NA
353,NA,NA,-1.648176424071575,NA,NA,1.648176424071575,NA,NA
475,NA,NA,-1.63797931734095,NA,NA,1.63797931734095,NA,NA
606,NA,NA,-1.5873949632745161,NA,NA,1.5873949632745161,NA,NA
732,NA,NA,-1.6371775791161876,NA,NA,1.6371775791161876,NA,NA
742,NA,NA,-1.6507643312102487,NA,NA,1.6507643312102487,NA,NA
745,NA,NA,-1.6389183021373874,NA,NA,1.6389183021373874,NA,NA
746,1318,-1.7317260314144105,-1.6281137986519367,-1.7006423615856685,1.7317260314144105,1.6281137986519367,1.7006423615856685,0.09564236158566852
748,NA,NA,-1.6385345348201625,NA,NA,1.6385345348201625,NA,NA
749,NA,NA,-1.7092927234588575,NA,NA,1.7092927234588575,NA,NA
755,NA,NA,-1.7121894152223538,NA,NA,1.7121894152223538,NA,NA
756,NA,NA,-1.402358118494875,NA,NA,1.402358118494875,NA,NA
757,136,-1.2253003035623566,-1.5588155490378874,-1.3253548772050159,1.2253003035623566,1.5588155490378874,1.3253548772050159,-0.2796451227949841
800,NA,NA,-1.6939774481705125,NA,NA,1.6939774481705125,NA,NA
803,469,-1.9825264471360564,-1.700042141205025,-1.8977811553567472,1.9825264471360564,1.700042141205025,1.8977811553567472,0.2927811553567472
810,123,-1.9717344413769815,-1.6674590913950875,-1.8804518363824134,1.9717344413769815,1.6674590913950875,1.8804518363824134,0.27545183638241344
814,649,-1.527338660052369,-1.5604449651993624,-1.537270551596467,1.527338660052369,1.5604449651993624,1.537270551596467,-0.0677294484035329
829,NA,NA,-1.634144779631125,NA,NA,1.634144779631125,NA,NA
843,77,-1.2289392698873072,-1.5667381984711963,-1.330278948462474,1.2289392698873072,1.5667381984711963,1.330278948462474,-0.274721051537526
846,89,-1.735407273509628,-1.584078525086175,-1.690008648982592,1.735407273509628,1.584078525086175,1.690008648982592,0.08500864898259208
847,128,-2.83338139289054,-1.7855127486119624,-2.5190207996069667,2.83338139289054,1.7855127486119624,2.5190207996069667,0.9140207996069667
902,NA,NA,-1.717466370455425,NA,NA,1.717466370455425,NA,NA
990,NA,NA,-1.64963123889272,NA,NA,1.64963123889272,NA,NA
