SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
11,0.4429129115,6.24997010275,517.9973377409291,0.03262449149785,-1.55614832350215,675.9860928761433,-1.5672863774000014,220,0.7,0.30000000000000004,628.589466335579,-1.563944961230646,NA,628.589466335579,0.7,0.30000000000000004,qr_dominant
15,0.1834153899577,5.9904725812077,399.6034103741002,-0.0209312863468875,-1.6097041013468876,553.3960859409142,-1.6850320548735624,814,0.7,0.30000000000000004,507.25828327087,-1.66243366881556,NA,507.25828327087,0.7,0.30000000000000004,qr_dominant
17,0.04141979533692537,5.848476986586926,346.7059403726159,-0.0212773044259,-1.6100501194259,471.417643877814,-1.6068402886040227,1111,0.7,0.30000000000000004,434.00413282625453,-1.607803237850586,NA,434.00413282625453,0.7,0.30000000000000004,qr_dominant
19,-0.00799840593896875,5.799058785311032,329.9888233699395,-0.00555984561268125,-1.5943326606126813,419.1676081186581,-1.9831328171790523,105,0.7,0.30000000000000004,376.80768536301673,-1.866492770209141,NA,392.4139726940425,0.525,0.475,qr_dominant
20,0.4724670118,6.27952420305,533.5347492180566,-0.0162995214580625,-1.6050723364580626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.483031882875,6.290089074125,539.2013558346108,-0.0432265960285425,-1.6319994110285423,697.1263811872141,-1.8068313270806893,148,0.7,0.30000000000000004,649.7488735814331,-1.7543817522650451,NA,649.7488735814331,0.7,0.30000000000000004,qr_dominant
22,0.494871536875,6.3019287281250005,545.6232548382159,-0.04243578325867375,-1.6312085982586737,737.2832863618606,-1.1208231377099185,93,0.7,0.30000000000000004,603.1212642953093,-1.2739387758745448,NA,679.7852769047672,0.3,0.7,bayes_dominant
41,0.3297765487575,6.1368337400075,462.5865802658733,0.0113308601771625,-1.5774419548228376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.23314163192117876,6.040198823171179,419.97652765130016,-0.01625264375988342,-1.6050254587598831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,-0.768695242,5.0383619492500005,154.2171924265808,0.02832226532660225,-1.5604505496733978,241.4042773553651,-1.4501056263145056,421,0.7,0.30000000000000004,215.24815187672982,-1.4832091033221733,NA,215.24815187672985,0.7,0.30000000000000004,qr_dominant
