variant,sp_group,n,obs_mort_rate,pred_mort_rate,auc
ACD,Hardwood,23790,0.048465741908364834,0.047490946156117264,0.9321300876639689
ACD,Softwood,26210,0.047157573445249956,0.047693506126753826,0.9373800856450579
AK,Hardwood,2058,0.108843537414966,0.1073057076796895,0.8130501246300047
AK,Softwood,37039,0.06636248278841217,0.06511090578082557,0.8872915181815437
BC,Hardwood,3156,0.12262357414448666,0.12183867895164391,0.7309582000050392
BC,Softwood,46844,0.11457177013064646,0.11325623910077909,0.7097036217526238
BM,Hardwood,72,0.08333333333333337,0.0796825258845546,0.75
BM,Softwood,49928,0.08109677936228166,0.08048805043738216,0.7418007812716378
CA,Hardwood,15003,0.1109778044391122,0.10777998730958038,0.6660809707593334
CA,Softwood,23028,0.1297985061664061,0.1288850928595805,0.6539714268451194
CI,Hardwood,775,0.10580645161290325,0.1066728062327742,0.7244747122795903
CI,Softwood,23419,0.23638925658653231,0.23637585996132504,0.7255578387812367
CR,Hardwood,10921,0.15346579983517994,0.14916802569023957,0.7222445597246012
CR,Softwood,39079,0.10719312162542538,0.10797584364210422,0.7696368240093803
CS,Hardwood,45012,0.06053941171243227,0.060929750265422244,0.9296858274920416
CS,Softwood,4988,0.03147554129911789,0.032862265333649776,0.9409677678791563
EC,Hardwood,1391,0.10855499640546373,0.10165870840025626,0.7643398846400342
EC,Softwood,48609,0.1719846119031455,0.1740851549441661,0.7236028509609024
EM,Hardwood,1081,0.15356151711378352,0.15301199419934486,0.7628678649022319
EM,Softwood,48919,0.1688096649563564,0.16853407795118303,0.7105930635745397
IE,Hardwood,508,0.1889763779527559,0.19214984313304617,0.8062550566343042
IE,Softwood,49492,0.13127374121070068,0.1290182813346079,0.6885162649339637
KT,Hardwood,855,0.1473684210526316,0.1486664262362013,0.7497006118405296
KT,Softwood,49145,0.14965917183843724,0.15024236550839998,0.7020441171901396
LS,Hardwood,31899,0.0615066303018903,0.06155842258981281,0.9175786310613484
LS,Softwood,18101,0.051488868018341516,0.052159013802331566,0.9167969043917611
NC,Hardwood,5730,0.12041884816753923,0.12018822483298819,0.7027657004830918
NC,Softwood,7499,0.08054407254300577,0.07973176125808956,0.715029606827099
NE,Hardwood,32571,0.05397439439992635,0.05534704118282696,0.9276589446847469
NE,Softwood,17429,0.047334901600780355,0.04830128364831221,0.9377687012256996
OC,Hardwood,15363,0.11371476925079738,0.12091813708656984,0.6305688465773456
OC,Softwood,34637,0.10806363137685138,0.11203970446978218,0.6856891544434659
ON,Hardwood,31701,0.06378347686192865,0.06400760208386402,0.9232669717643807
ON,Softwood,18299,0.052024700803322554,0.05586445436329157,0.9212106760038425
OP,Hardwood,4538,0.10731599823710891,0.10943123519849351,0.6963114540126731
OP,Softwood,45462,0.08127667062601729,0.08155563449972891,0.6765328876968185
PN,Hardwood,7898,0.10534312484173214,0.1012137037631653,0.8584363909512508
PN,Softwood,42102,0.07151679255142274,0.07008914852059234,0.901308752527049
SN,Hardwood,29791,0.15380484038803666,0.14926351476786026,0.6701440297826885
SN,Softwood,20209,0.2607749022712653,0.26363356132522076,0.6494396758074868
SO,Hardwood,500,0.11199999999999999,0.10867982527748643,0.8054617117117118
SO,Softwood,49500,0.0828888888888889,0.08175089951336334,0.6819540562480787
TT,Hardwood,76,0.10526315789473684,0.07181442049125408,0.7334558823529412
TT,Softwood,465,0.032258064516129004,0.03189108332666124,0.5925925925925926
UT,Hardwood,11392,0.1432584269662921,0.14113012849677098,0.7498304278166185
UT,Softwood,38608,0.06768027351844175,0.06729906299785093,0.7668771872523222
WC,Hardwood,2847,0.1187214611872146,0.11242642243190926,0.7643701609118416
WC,Softwood,47153,0.07675015375479821,0.07594937026640591,0.7329585640316603
WS,Hardwood,8802,0.1505339695523744,0.1479183280485935,0.6053754785114603
WS,Softwood,41198,0.12197194038545556,0.11871279968549675,0.6886254982792064
