variant,ba_initial,ba_final,ba_growth_reasonable,qmd_initial,qmd_final,qmd_grows,tpa_declines,sdi_bounded,all_checks_pass
ACD,60.14999723724917,82.90122718613819,TRUE,7.425729302276445,10.494874314658803,TRUE,TRUE,TRUE,TRUE
AK,60.14999723724917,9.04130439677021,FALSE,7.425729302276445,23.50667611785798,TRUE,TRUE,TRUE,FALSE
BC,60.14999723724917,0.2981430878459681,FALSE,7.425729302276445,7.393476178268974,FALSE,TRUE,TRUE,FALSE
BM,60.14999723724917,8.557918024869887,FALSE,7.425729302276445,14.971707935687657,TRUE,TRUE,TRUE,FALSE
CA,60.14999723724917,0.33107160628714233,FALSE,7.425729302276445,7.791072995549737,TRUE,TRUE,TRUE,FALSE
CI,60.14999723724917,0.1390330280746531,FALSE,7.425729302276445,5.048882877342752,FALSE,TRUE,TRUE,FALSE
CR,60.14999723724917,1.3873636519754335,FALSE,7.425729302276445,7.974463337832791,TRUE,TRUE,TRUE,FALSE
CS,60.14999723724917,45.69076872631853,FALSE,7.425729302276445,13.957778755052205,TRUE,TRUE,TRUE,FALSE
EC,60.14999723724917,0.11431484248959993,FALSE,7.425729302276445,4.578124685189551,FALSE,TRUE,TRUE,FALSE
EM,60.14999723724917,0.16910368629994071,FALSE,7.425729302276445,5.56817457343883,FALSE,TRUE,TRUE,FALSE
IE,60.14999723724917,0.20618436121432293,FALSE,7.425729302276445,6.148429054431792,FALSE,TRUE,TRUE,FALSE
KT,60.14999723724917,0.3685419010999018,FALSE,7.425729302276445,8.220149975615222,TRUE,TRUE,TRUE,FALSE
LS,60.14999723724917,52.76942784948383,FALSE,7.425729302276445,13.263133874771214,TRUE,TRUE,TRUE,FALSE
NC,60.14999723724917,1.7528585455327752,FALSE,7.425729302276445,8.963543796622766,TRUE,TRUE,TRUE,FALSE
NE,60.14999723724917,56.63678291959207,FALSE,7.425729302276445,12.449393442499495,TRUE,TRUE,TRUE,FALSE
OC,60.14999723724917,0.7466354757657232,FALSE,7.425729302276445,11.70012808081938,TRUE,TRUE,TRUE,FALSE
ON,60.14999723724917,51.61094212004506,FALSE,7.425729302276445,13.116738308916018,TRUE,TRUE,TRUE,FALSE
OP,60.14999723724917,8.277979308827657,FALSE,7.425729302276445,17.42262028132296,TRUE,TRUE,TRUE,FALSE
PN,60.14999723724917,15.265925218221035,FALSE,7.425729302276445,21.59843309583848,TRUE,TRUE,TRUE,FALSE
SN,60.14999723724917,1.8842662637215277,FALSE,7.425729302276445,18.58692051009015,TRUE,TRUE,TRUE,FALSE
SO,60.14999723724917,2.1561165292311375,FALSE,7.425729302276445,8.89175356431662,TRUE,TRUE,TRUE,FALSE
TT,60.14999723724917,28.67793873477151,FALSE,7.425729302276445,11.6112230575984,TRUE,TRUE,TRUE,FALSE
UT,60.14999723724917,1.6580889163904515,FALSE,7.425729302276445,8.717866572348667,TRUE,TRUE,TRUE,FALSE
WC,60.14999723724917,7.716937668559171,FALSE,7.425729302276445,18.807401929537548,TRUE,TRUE,TRUE,FALSE
WS,60.14999723724917,1.0950618598716626,FALSE,7.425729302276445,10.019375060463014,TRUE,TRUE,TRUE,FALSE
