common_name,n_variants,total_n,mean_r2,sd_r2,mean_rmse,mean_bias
SPCD 651,3,94,0.769,0.078,9.509,-3.27
SPCD 730,3,44,0.575,0.102,18.849,-3.723
SPCD 800,3,107,-0.028,1.264,25.857,-24.711
SPCD 801,3,1823,0.557,0.014,9.032,-0.284
SPCD 809,3,1005,0.681,0.117,9.565,-0.996
SPCD 812,3,845,0.717,0.121,10.904,-2.346
SPCD 813,3,234,-0.066,1.417,25.215,-14.166
SPCD 816,3,22,-0.703,0.071,6.168,-1.715
SPCD 817,3,540,0.54,0.35,26.872,-23.288
SPCD 822,3,119,0.741,0.092,23.825,-15.385
SPCD 824,3,549,-0.908,2.656,9.645,2.202
SPCD 825,3,85,0.718,0.179,11.063,-4.73
SPCD 831,3,357,0.863,0.119,13.929,8.981
SPCD 835,3,3964,0.603,0.015,10.295,1.848
SPCD 839,3,4494,0.629,0.013,7.151,-0.186
SPCD 950,3,16,0.674,NA,35.563,-29.878
SPCD 990,3,18,0.303,0.926,4.961,-3.073
