variant,mort_smallest,mort_middle,mort_largest,u_shape_pass
ACD,0.0387729549800373,0.05324346737735153,6.116107620357525e-12,FALSE
AK,0.08727774533794619,0.06634514032031974,0.04842425404090822,TRUE
BC,0.10096997624509152,0.12167685670994483,0.038775368086542805,FALSE
BM,0.06833401831465857,0.0832532187834753,0.057397647496890136,FALSE
CA,0.1307425260353854,0.11896291587404434,0.153608271914498,TRUE
CI,0.14162643455822932,0.24323189427061326,0.14754106221934327,FALSE
CR,0.0903619895206903,0.12323615437136826,0.007228675618666358,FALSE
CS,0.04654376793309678,0.06024667199024186,0.0015782966890226513,FALSE
EC,0.15169590702996538,0.1860507612074812,0.08709986393080182,FALSE
EM,0.06964042932917147,0.18925128648350104,0.00110155760550823,FALSE
IE,0.0889720133221994,0.1369317853169295,0.03000493504837487,FALSE
KT,0.0697117037334466,0.16589452441639835,0.006353643459362401,FALSE
LS,0.05333866504236229,0.06059948085637623,2.9031097439347064e-6,FALSE
NC,0.11439282694605801,0.10733212461671315,0.06413527272974517,TRUE
NE,0.05032894919151043,0.05578307367590529,1.1094568324043763e-6,FALSE
OC,0.12536586418829787,0.117425813532197,0.10582594606156692,TRUE
ON,0.050017909051360276,0.06414375557722451,1.300984386887194e-8,FALSE
OP,0.10182156375265261,0.08881561128894644,0.0609036328613306,TRUE
PN,0.13115699844195272,0.08399210134694451,0.033505524313432344,TRUE
SN,0.2515870318930221,0.17874429486115967,0.688675637150725,TRUE
SO,0.07048106025809708,0.08413717945731647,0.04244305182035646,FALSE
TT,0.023883359597239417,0.036584735501001,0.1100826420196459,TRUE
UT,0.07869285275513138,0.08724474875635663,0.0034969605059971265,FALSE
WC,0.09894426449305871,0.08317304323812541,0.06027671004966706,TRUE
WS,0.13163216486982843,0.1236515672484611,0.13795805445291975,TRUE
