SPCD,common_name,n_variants,total_n,mean_r2,sd_r2,mean_rmse,mean_bias
202,Douglas fir,21,189961,0.6390200939098148,0.4951221353512046,13.343988467584856,-0.355336779483672
746,Chestnut oak,21,27199,0.7079342969553539,0.14327070198275393,9.766588915156616,-0.6206505396381453
763,SPCD 763,19,344,-1.5518139527912966,5.625523708703411,6.84143196833022,-4.409890250593637
108,Lodgepole pine,18,96418,0.6437523211917691,0.09406585381124062,11.161199179649143,0.29895385807425406
19,Subalpine fir,17,45387,0.7775734174891793,0.04079107643982955,11.056869058499911,-1.5596965629600426
122,Ponderosa pine,17,79744,0.8234739641801008,0.07687040158105406,13.58380073342076,-1.585047625640969
475,SPCD 475,16,5976,-0.5338229894550823,1.9232281384928347,3.766109291289696,-0.47294868622779895
920,SPCD 920,16,222,-0.48282767751805405,2.372862502072168,8.919365450056066,-3.31860219238035
15,White fir,15,35522,0.8128083269031824,0.09865763770421077,14.828998633741634,-3.1955462065842113
93,Engelmann spruce,15,25040,0.6602610318622038,0.46087603120015935,12.21162414699214,-0.9399198577646404
375,Paper birch,15,9702,0.2642753483972153,0.8230211195630059,9.41903288044693,-1.2011029820821717
747,SPCD 747,15,1902,0.6601193006246583,0.18787914972132738,16.61237560027327,-0.6528501886342102
760,SPCD 760,15,76,-0.3867754665319756,1.7436077103834264,10.760422461273151,-2.4351732225262652
101,SPCD 101,14,10640,0.6063519289440463,0.09294014127778269,15.389452877359469,-7.140944050479778
119,SPCD 119,14,3056,0.7093209611618597,0.4631228532686884,15.688661467236463,-2.0078061496071333
231,SPCD 231,14,828,0.16573325139078335,1.1992767083271962,5.047929490981389,-0.7402293768328635
351,SPCD 351,14,11075,0.5119487135671158,0.35921709116134287,11.668377099580567,-0.7542631422630997
17,Grand fir,13,29034,0.8591597784300187,0.040947691319732034,12.920320527522616,0.02409553875345834
264,SPCD 264,13,20629,0.8365248867095868,0.049759378029734916,11.187700070100455,0.9173491900233531
313,SPCD 313,13,1670,-0.6078780194504811,3.3555766444805073,9.644020306391365,-0.44144722984168755
321,SPCD 321,13,729,-4.252279543497416,13.907556244145738,8.05095188462827,-2.4653650395838413
374,SPCD 374,13,86,-114.91143187492148,303.926392668414,9.515535389025512,-7.915864544379233
768,SPCD 768,13,670,-0.35502194554694644,1.4253635451074118,7.08647466532447,-0.8071252735402406
263,Western hemlock,12,45923,0.862660737419726,0.0536260027171761,12.741036699803326,0.16575413590225482
64,SPCD 64,11,10401,0.36828067742585147,0.2649050322199935,7.7824371902930585,-0.22657390778444456
242,SPCD 242,11,14598,0.8768911695795447,0.04584195828959411,12.58401789673062,0.6090146129159097
352,SPCD 352,11,428,0.5522673968643704,0.19665109248790252,10.125856505892978,-2.9950021520058017
660,SPCD 660,11,300,-40.856436645646454,109.29942652043765,13.515219814800844,-9.272026019564503
11,SPCD 11,10,14413,0.15838994202805656,1.5820724907186696,15.33228628331733,-5.746489155204884
65,SPCD 65,10,20942,0.09421643692282705,0.2207191208683849,4.435494073217894,-0.041928753603687675
66,SPCD 66,10,6338,-1.5857853503823176,5.356301697930972,6.639693003185386,-2.0234587496654974
73,SPCD 73,10,10897,0.8109235846736179,0.11513462322988374,11.268844113999785,0.5134952211525005
81,SPCD 81,10,12849,0.8725875542263292,0.03845398563924099,11.399364162550988,-0.028951725401815193
312,SPCD 312,10,5354,0.511486262182395,0.2518572761577069,13.365984109940541,-1.2368068671071661
431,SPCD 431,10,1835,-0.9815346605793593,4.284131835132415,8.324159142058335,-1.1920020014736412
740,SPCD 740,10,71,-0.6053984200297147,2.3374358429722633,19.74343167426454,-14.714893275727661
815,SPCD 815,10,4207,0.5152738237681344,0.16516812705978598,9.509078053778492,0.23988508367242606
901,SPCD 901,10,809,-4.408409733622682,14.100759840001045,16.352307883486983,-8.057763953740032
22,SPCD 22,9,2258,0.780856147315381,0.19998070819240737,14.824393158842387,-3.92950364963603
94,SPCD 94,9,5802,-10.523686821170877,23.054307759034184,13.635216778922153,-1.9674678661227116
103,SPCD 103,9,568,0.583116759120599,0.22904895948126347,19.23136658478136,-11.331933343638346
117,SPCD 117,9,4770,0.8645114559886156,0.031325233652432984,15.628497845889807,-0.7730324997215069
361,SPCD 361,9,4268,0.34644937391763836,0.7766076525037124,11.092808213845775,-0.5762683727395327
