variant,size_class,n,rmse,bias,bias_pct,rmse_pct,r2
ACD,Sapling (1-5),14847,3.34408701373006,-0.09174637303768385,-0.4566894204173737,16.645989476863154,0.8165195503773227
ACD,Pole (5-9),23698,8.041836881888523,0.12300266607280061,0.29005651840624874,18.963712592790294,0.41934900210896253
ACD,SmallSaw (9-15),9557,9.58226413017212,-0.06845673065799465,-0.11947861041280815,16.724076535310815,0.3617533844576728
ACD,MedSaw (15-21),1567,11.082124704899146,-0.4222890945056331,-0.6034296706124576,15.835793411127893,0.2989231091575376
ACD,LargeSaw (21+),331,12.748052516594782,-0.09416160815778235,-0.11617956648237208,15.72894987509924,0.38577923601162323
AK,Sapling (1-5),8935,3.800938497228467,0.3432233778639272,2.2776872432722497,25.22365807795274,0.6913740273893944
AK,Pole (5-9),21942,8.911495001082105,-0.045658738496742055,-0.13213592864281265,25.789776641502883,0.37349788594096545
AK,SmallSaw (9-15),12090,13.257140939519411,-0.4908795862824571,-0.934756904777303,25.24489585046837,0.29906564661234925
AK,MedSaw (15-21),4255,16.709525902861206,0.7243081084963547,1.0185272340358276,23.497054637732102,0.2688136584617834
AK,LargeSaw (21+),2778,20.830898442240912,0.8125378663048712,0.827488055471214,21.214173960996277,0.3906339931506919
BC,Sapling (1-5),6490,5.428761747742226,1.6969588442629346,10.113932060451132,32.35560348129068,0.5971007195435709
BC,Pole (5-9),19689,10.762479228031419,0.12095598276263984,0.29070257361104557,25.866272494877535,0.4178720216802104
BC,SmallSaw (9-15),12882,14.835141843259256,-1.0695792195577047,-1.671669690478007,23.186180621173314,0.3908268183789295
BC,MedSaw (15-21),4349,18.913979385010066,0.4439917104140801,0.5187730411115352,22.099652707325394,0.3241159456789413
BC,LargeSaw (21+),6590,25.57287446484434,0.9526501900078218,0.7479867215707506,20.078902762767758,0.5301073495067175
BM,Sapling (1-5),6864,4.386853424652306,0.21383739167982257,1.3925672967906395,28.568383513262138,0.6105174917550922
BM,Pole (5-9),18090,9.38542713412788,-0.15754684185758058,-0.4207389253088912,25.06438389636224,0.45174996638084
BM,SmallSaw (9-15),12203,11.617061816641415,0.15277080868124893,0.2696923969211479,20.508062198244524,0.47440770986095226
BM,MedSaw (15-21),4458,13.863309970737284,0.5397689667242891,0.6937912458068692,17.81918503758212,0.45698865894826346
