variant,size_class,n,rmse,bias,bias_pct,rmse_pct,r2
BM,LargeSaw (21+),8385,17.295763070112834,-0.005010821812306873,-0.0047658292040636315,16.450126512912387,0.41402762562036854
CA,Sapling (1-5),6703,4.335218267823747,0.13815494961031094,0.8809816081642321,27.644666891075172,0.5936959226167191
CA,Pole (5-9),18755,8.027122215975062,0.017623711520645024,0.053690854058122905,24.45472662780282,0.46341064953631983
CA,SmallSaw (9-15),10547,11.22663961565411,0.10202447271429797,0.20356834887157477,22.400395014387932,0.5710264922231423
CA,MedSaw (15-21),4092,13.863042472519107,0.07306513547104176,0.10271878295095077,19.489389044366867,0.6106629266871526
CA,LargeSaw (21+),9903,18.788475976806183,0.003189466576351185,0.0029059227019274307,17.118178720054285,0.65279104422255
CI,Sapling (1-5),7786,4.683098550197076,0.689246051868095,4.508198860737737,30.631063451867835,0.643787396578192
CI,Pole (5-9),20000,9.644411472624006,-0.3499203908554437,-0.9093376199440856,25.062918319328094,0.4922744717565738
CI,SmallSaw (9-15),12966,12.152346743438304,0.23390733381939519,0.4270911358569977,22.188956152997687,0.4561759619524909
CI,MedSaw (15-21),5139,15.556343418649078,0.531848459780947,0.7573056867321185,22.150872337870315,0.39837309140309196
CI,LargeSaw (21+),4109,19.397506058352622,-0.12293448882358181,-0.13896233485905296,21.92649725968714,0.49051951742919653
CR,Sapling (1-5),7286,3.5008705062854477,0.7082409229981944,5.955890819548302,29.440267897180057,0.7199631587065607
CR,Pole (5-9),23470,6.744502624716289,-0.3360733638350407,-1.2721592608639085,25.530382342842376,0.7805847912178648
CR,SmallSaw (9-15),13957,8.591252607625666,0.027446086323700197,0.07637943704549163,23.908510304415387,0.8361926410920761
CR,MedSaw (15-21),3899,9.959085468268476,0.43192425287251734,1.0638891315842325,24.530603965266394,0.8670501891358366
CR,LargeSaw (21+),1388,10.928739564916764,-0.989752041534373,-2.2378208370387362,24.70978598137202,0.8893637051375538
CS,Sapling (1-5),9099,2.99921901928574,-0.7361726275223495,-3.2529780143581437,13.252861034533794,0.8425821107185626
CS,Pole (5-9),22650,8.296796667086474,0.29065519373219006,0.6521367581903278,18.615342847867577,0.4424922683675453
CS,SmallSaw (9-15),13320,10.82146255108118,-0.40610471942568993,-0.6468847374164611,17.23752181633816,0.3848943265205782
CS,MedSaw (15-21),3838,13.315378468449506,0.32735732794863986,0.4242980442085696,17.25847738757943,0.32065470231953086
CS,LargeSaw (21+),1093,15.716998673382346,1.1863877371415708,1.3724828500166564,18.182344993656756,0.2740670673387452
EC,Sapling (1-5),5728,5.294213469980308,1.6578449833910736,10.374209125222938,33.12932043791208,0.5923076052980757
EC,Pole (5-9),19422,10.365497148556848,-0.021784273774830148,-0.052207936956566135,24.841829810300457,0.4341160279153129
EC,SmallSaw (9-15),12237,13.619684526084074,-0.6423338834588713,-1.008103019841608,21.37524650902915,0.3503367151346175
EC,MedSaw (15-21),4424,15.832674550654364,-0.43721261094981256,-0.512796822531223,18.569787326373547,0.2785808684338542
EC,LargeSaw (21+),8189,20.38387048638294,0.6428327058512523,0.5723365538860867,18.1484763964954,0.3113679519883744
EM,Sapling (1-5),7931,5.001676272900698,0.03619182477899634,0.2083861701300392,28.798773455184975,0.7007447803987916
EM,Pole (5-9),25450,9.095821070557816,-0.21480774191009447,-0.566591771882747,23.991767388219976,0.5697032476717314
EM,SmallSaw (9-15),12800,11.243650769797197,0.19717268510504063,0.3872561620927705,22.08304381868853,0.5236229534523293
EM,MedSaw (15-21),2909,12.931564047903805,0.025177273492429857,0.04042873072945378,20.76502528999347,0.47225999717147493
EM,LargeSaw (21+),910,16.135662248450146,-1.2128841022378412,-1.6246055713097758,21.61301870247819,0.40261765247297254
IE,Sapling (1-5),8246,5.006600781198228,0.5581671580092462,3.1810397297285538,28.53302235245047,0.6973438161471863
IE,Pole (5-9),21311,10.45718673959877,-0.02628956465175509,-0.05736311219006667,22.81729591501757,0.38772658453251696
IE,SmallSaw (9-15),13716,13.066147286382018,-0.054495468456506616,-0.08014606618216648,19.216282285858124,0.33847861330380635
IE,MedSaw (15-21),4620,15.40872267842191,0.08378949330107646,0.09418031351902383,17.319574037367094,0.2520211178424101
IE,LargeSaw (21+),2107,18.141986620641823,-0.017112153303238106,-0.01583498335921135,16.787954803241334,0.312621386832741
KT,Sapling (1-5),8569,5.129141653363815,0.2829137868011297,1.6105017199886271,29.19791060099285,0.692509693813537
KT,Pole (5-9),23598,9.955053741876997,-0.23747035212560025,-0.5738102711000026,24.054843205943623,0.5042982474547181
KT,SmallSaw (9-15),12969,12.807508911479701,0.03894583817736383,0.06704166809206744,22.04694523762173,0.47553987530789377
KT,MedSaw (15-21),3428,15.976280547488093,0.2707451862607928,0.36303965112673053,21.422442985472063,0.41024334172886945
KT,LargeSaw (21+),1436,19.373885900458426,0.6661719540517174,0.7235413239280758,21.042325436835963,0.44205246167030265
LS,Sapling (1-5),11320,3.3294813853397316,0.16530500563714196,0.7509160114176981,15.124532208400522,0.8254799049148096
LS,Pole (5-9),25987,8.706526227399817,-0.054114721833784074,-0.11417236410784197,18.36920987236011,0.47221623256230894
LS,SmallSaw (9-15),10576,10.33307457222497,0.1478129187512152,0.23559855209671468,16.469855466564677,0.4152153278520605
LS,MedSaw (15-21),1737,12.509344708099036,-0.10064632257317177,-0.1359577732487202,16.898209570223838,0.28512741407736986
LS,LargeSaw (21+),380,13.916631005936209,-0.3995493451929832,-0.4868802949375757,16.95843952750051,0.23996997855554336
NC,Sapling (1-5),3965,5.259256846727328,0.7509446827369995,4.033727111091517,28.250292484283488,0.5926149203086271
NC,Pole (5-9),11464,10.207144612802397,0.03279423352221356,0.07592849170209219,23.632602802265755,0.3738444838123661
NC,SmallSaw (9-15),7304,14.182288168826767,-0.3804727821334052,-0.5875120665661167,21.89976739987161,0.34767255182353607
NC,MedSaw (15-21),2281,17.694108924118563,0.3046112860709776,0.35003442998886647,20.332625922375037,0.35777131688588426
NC,LargeSaw (21+),5749,25.957014237710364,0.13485786864668214,0.09219770615213264,17.745921652855827,0.5354793819222055
NE,Sapling (1-5),11170,3.4835162099307357,-0.3020786939140599,-1.4265742501966163,16.45099315294146,0.8116935272358361
NE,Pole (5-9),22838,8.96738175670144,0.19918815239534227,0.44354450982140725,19.968220488150767,0.4167704671720258
NE,SmallSaw (9-15),12375,11.127078828025146,0.01018739071084874,0.01628835813323219,17.790801400654175,0.352669309579115
NE,MedSaw (15-21),2916,12.817493822208494,-0.2024983732876488,-0.26129169222423587,16.538921258992758,0.26764152346014114
NE,LargeSaw (21+),701,15.972705102247897,0.5783782325051433,0.6544366551839386,18.073162359652923,0.15465982631858466
OC,Sapling (1-5),6367,4.922740609153045,-0.1745519992476269,-1.0525956387422721,29.685453722607054,0.5808960726634469
OC,Pole (5-9),16267,9.022717056013354,-0.018069230618257826,-0.053741210090174435,26.835217455327683,0.4941982503888428
OC,SmallSaw (9-15),10550,12.198712865535477,0.18637986107924587,0.3717863818866709,24.33371982192578,0.552728878455976
OC,MedSaw (15-21),4389,15.134004557990668,-0.1813072209052866,-0.25860039989773165,21.585790191968933,0.5895148325610401
OC,LargeSaw (21+),12427,20.326858746504893,-0.22479932079567558,-0.2107787275874712,19.059085264464827,0.662839805914553
ON,Sapling (1-5),11465,3.3964156120366287,0.1660455178423203,0.7512704714944424,15.367031832011946,0.8252253989834981
ON,Pole (5-9),25631,8.781283769085302,-0.06925419660882393,-0.14631550206778823,18.55249221546424,0.4646940160681937
ON,SmallSaw (9-15),10682,10.574792446495154,-0.20329737245661458,-0.3224053560335403,16.770358035102753,0.40147107465671283
ON,MedSaw (15-21),1883,12.469288305736619,0.41113177267184015,0.5589328538926371,16.95197345961002,0.2558529660973895
ON,LargeSaw (21+),339,15.998596898847254,-0.05947356259253671,-0.07312323269574186,19.670406023172855,0.05568411542558238
OP,Sapling (1-5),5571,5.014930326577133,1.1563337055671805,7.037366667447496,30.52051786600379,0.6096231307184321
OP,Pole (5-9),17870,10.174282995209179,0.12077186026533923,0.30036312334962756,25.303737241191442,0.45230069878790224
OP,SmallSaw (9-15),12254,14.109592522101394,-0.7517215949839595,-1.1861121995070234,22.2629759903261,0.4590474470204974
OP,MedSaw (15-21),4674,17.531141429072097,-0.22648138603736898,-0.25833117726811916,19.99652370318346,0.44002202194805773
OP,LargeSaw (21+),9631,24.148226523754186,0.446665564208459,0.3377228548554157,18.25842118756082,0.6156775890383124
PN,Sapling (1-5),3640,6.445685692577109,0.5775503231566921,2.7090230742243975,30.23374859345731,0.6052898753603773
PN,Pole (5-9),16777,11.606140471161556,0.06624188992783303,0.13491084010241525,23.637522465269267,0.3222324450629922
PN,SmallSaw (9-15),14588,15.441479404241813,-0.06398644213444148,-0.08676764875702346,20.939136738076122,0.28344162142091645
PN,MedSaw (15-21),5730,18.790717705763033,0.7203764460958155,0.7370428763736039,19.225454555100622,0.2604922285988047
PN,LargeSaw (21+),9265,24.97340824259885,0.16135710414694646,0.10825132781626484,16.754171541756307,0.5611718640807883
SN,Sapling (1-5),12094,5.192154727368326,-0.33127138885856705,-1.4542114520914509,22.79246297600844,0.6383634472034908
SN,Pole (5-9),21119,9.688575260137464,-0.05314028027950537,-0.11106246794587489,20.24899141687834,0.3302637070251164
SN,SmallSaw (9-15),12096,11.96211065872063,-0.6984187837150342,-1.0477659027373454,17.945524898843935,0.33252851464293787
SN,MedSaw (15-21),3532,13.798189067719218,0.06302461506477802,0.07749260780722349,16.965714947654636,0.25676140566326977
SN,LargeSaw (21+),1159,15.494425470490924,1.348900702597466,1.4954810735703685,17.178151062080524,0.28097255179646896
SO,Sapling (1-5),6680,4.069827256022741,0.20775180241925595,1.4069018361134111,27.561000061061733,0.6222862023417624
SO,Pole (5-9),20467,8.522130398999087,0.021946476655469453,0.06387590214908785,24.80392529579771,0.42328448036239585
SO,SmallSaw (9-15),11585,10.868717111367442,-0.012520065670959746,-0.02439604213624055,21.17829790867806,0.4961904777263556
SO,MedSaw (15-21),3768,12.633085337704625,0.940597808076976,1.3708357826549933,18.41157323305434,0.5547648682045884
SO,LargeSaw (21+),7500,16.659744040820655,0.6031218590629904,0.621897354802721,17.178370498414797,0.6111301998466797
TT,Sapling (1-5),252,2.5606819163857852,0.0301689933597336,0.3226904213350113,27.38929723808225,0.6133201940533007
TT,Pole (5-9),986,3.555145751217012,-0.0837375568876187,-0.621445364226946,26.383965909227566,0.7473103474865598
TT,SmallSaw (9-15),594,3.7414669287235016,0.3754090647320406,2.301981877266771,22.942411021593475,0.8114418730107358
TT,MedSaw (15-21),149,4.806002788238227,-0.633259309992113,-3.341205282890398,25.35745097193682,0.7975161295559293
TT,LargeSaw (21+),24,2.911018385604666,-0.09331987397649162,-0.4417508827289544,13.779968689252858,0.9437350560592367
UT,Sapling (1-5),8726,3.2552815946515943,0.1785969952447648,1.5771742101220676,28.747102775907592,0.7374262199914615
UT,Pole (5-9),20874,5.5852536737682135,-0.020061801142747655,-0.09887075219717828,27.525855131763368,0.8128228771543646
UT,SmallSaw (9-15),13847,6.877885451940688,0.20020717629672066,0.8140180670356674,27.964647044338747,0.8544024333844575
UT,MedSaw (15-21),4693,8.202184930768386,0.4435573802288091,1.6198706551603448,29.954362771951317,0.866984323039295
UT,LargeSaw (21+),1860,9.371362596272316,-0.1509710937819314,-0.4556101997864658,28.28149599900461,0.8869902851107554
WC,Sapling (1-5),4984,4.841279911096253,0.5150216197516881,3.154834203314054,29.655911258070283,0.6750600966046632
WC,Pole (5-9),16891,10.227351628009043,-0.034346063989589164,-0.08126077558058088,24.197314885316867,0.44255433091816554
WC,SmallSaw (9-15),12276,14.722901314007524,-0.1418603675862359,-0.20561634000491547,21.33978033434555,0.35021133163271856
WC,MedSaw (15-21),4881,18.410118298142915,0.04200347453023364,0.0434460691686612,19.04240737057671,0.299771637637714
WC,LargeSaw (21+),10968,23.921881622596853,0.5499422490648563,0.37531969600811305,16.325993054365735,0.47063035812663745
WS,Sapling (1-5),4846,4.232664450775587,-0.7432889978654318,-5.158210631040931,29.37346688881354,0.5684936091495856
WS,Pole (5-9),15022,8.09336626060205,0.11468990472305991,0.3974338461564631,28.04586584208129,0.4844247449588276
WS,SmallSaw (9-15),10108,11.451231741223406,0.04908269809986308,0.10898041986038638,25.425661004576913,0.5395077061731585
WS,MedSaw (15-21),4507,14.205396497655288,-0.386979995916803,-0.6038000954095041,22.164504240829334,0.6242916759302203
WS,LargeSaw (21+),15517,19.288279107592082,-0.11291505977906094,-0.11387274445726375,19.451871895005773,0.6805002742018527
