SPCD,variant,n,rmse,bias,r2,common_name
11,AK,4,6.1568435493865445,2.660262981088449,0.8199205582345714,SPCD 11
11,BC,1811,12.526870061388587,1.0160416549666906,0.8898217402504787,SPCD 11
11,BM,4,16.764005401820143,-15.530469985782922,-1.7756234776519002,SPCD 11
11,CA,12,7.010732632903129,-3.4107072833169885,0.8798503815300794,SPCD 11
11,EC,3377,12.42007625894454,0.7406963702042385,0.8722650742248768,SPCD 11
11,OC,3,50.27462870084431,-44.984788168903265,-3.667181907892865,SPCD 11
11,OP,1081,10.693988058226049,0.5811014725407468,0.8798520109245326,SPCD 11
11,PN,1096,16.200213625596152,0.4348400323310667,0.9049838755222235,SPCD 11
11,SO,254,9.25282079989759,0.4859469182331598,0.8891702776197445,SPCD 11
11,WC,6771,12.02268374416626,0.5421844565899816,0.890840887518824,SPCD 11
12,ACD,10787,5.642860705114565,0.0025010011773651366,0.8375844604040497,Balsam fir
12,LS,3695,5.704691020833289,0.485795511551865,0.8564262977364008,Balsam fir
12,NE,5486,5.65854728665599,0.03984175853121107,0.8398179412879881,Balsam fir
12,ON,3737,5.696553074573089,0.31556930442238185,0.8566880931574203,Balsam fir
15,BC,905,13.597618877819885,0.5103084546149601,0.8625896467021417,White fir
15,BM,719,11.005802407275926,-0.11656986521999717,0.8842180105209951,White fir
15,CA,6700,12.458129859916257,0.4461636146303265,0.8803175319345788,White fir
15,CR,922,8.599331213646169,-0.09071387583928976,0.7875388176660981,White fir
15,EC,15,10.675396390233237,-5.066035982372921,0.6053510662736467,White fir
15,NC,32,18.366955113091482,3.217258292025566,0.8766164222366227,White fir
15,NE,1,23.60557453030954,-23.60557453030954,NA,White fir
15,OC,5877,14.268201581507038,0.17682765799040853,0.8644237149446087,White fir
15,ON,1,14.903134146472944,-14.903134146472944,NA,White fir
15,OP,2251,13.838914396284725,0.9463776768454986,0.8545380507598235,White fir
15,PN,8,28.887356903231897,-9.800154449529515,0.6523523112639333,White fir
15,SO,7580,12.018630684483126,0.3408278405089522,0.8516232390355418,White fir
15,UT,1252,10.70306310294034,0.07445895392945495,0.6867404826592065,White fir
15,WC,1064,14.517029252310687,0.3481700193588831,0.8925263497610044,White fir
15,WS,8195,14.989841046601244,-0.41140275892301315,0.86767260598317,White fir
16,SN,3,8.072189020265995,-6.247139367771335,0.6877305004205931,SPCD 16
17,BC,2662,13.796493403162403,0.2813753548250564,0.8340633049486189,Grand fir
17,BM,10196,10.931905998316088,-0.25783395497527534,0.896093469832672,Grand fir
17,CA,19,8.348598828646246,0.47738746498523754,0.9194315174384591,Grand fir
17,CI,1479,13.129057382564518,-0.8132350424173493,0.8421301430488464,Grand fir
17,EC,3590,12.269099185497392,-0.2921404475408551,0.8649749176390955,Grand fir
17,IE,6259,11.905473759639838,0.04797121596847376,0.8585648666752453,Grand fir
17,KT,736,10.569725022382235,0.9852296894043823,0.8692255914021012,Grand fir
17,NC,182,16.868035815478134,0.10361721545974302,0.8141241962985128,Grand fir
17,OC,63,19.477106682300015,0.25746755296748847,0.7641580526426875,Grand fir
17,OP,2708,12.432607560794109,0.25211680872146813,0.8693268805490308,Grand fir
17,PN,264,15.434881412839975,-1.5720663977566267,0.8453173177292298,Grand fir
17,SO,318,9.696690422318579,-0.4269206956545887,0.8997077310943076,Grand fir
17,WC,558,13.104491383854485,1.270273239807804,0.891959130291435,Grand fir
18,CR,546,8.21567490838098,-1.0609035092409356,0.8090575597993372,SPCD 18
19,AK,21,13.10841235422218,-4.4707178897239235,0.7273493882166921,Subalpine fir
19,BC,3263,10.77316740876426,-0.02574619247810224,0.7680252451835702,Subalpine fir
19,BM,1753,10.701463594142052,0.950664482645909,0.777101655193603,Subalpine fir
19,CA,6,11.298016956746356,0.3191963386453433,0.8055835700804952,Subalpine fir
19,CI,10226,8.784299015842597,0.24985750881539365,0.8368520613546456,Subalpine fir
19,CR,1761,8.598020931245602,0.8236149027183179,0.7877160802639839,Subalpine fir
19,EC,4296,12.027564680524254,0.3851229934129048,0.7188632198344802,Subalpine fir
19,EM,5669,8.192426272788742,0.21692360052600193,0.7978382672651418,Subalpine fir
19,IE,7643,10.27617053808616,0.5637673464300219,0.8024362937971578,Subalpine fir
19,KT,7333,9.451708497029523,0.5239841597119004,0.7993838023116181,Subalpine fir
19,OC,1,28.306374313846,-28.306374313846,NA,Subalpine fir
19,OP,483,11.45396022261563,1.2389433645819197,0.7277469258869753,Subalpine fir
19,PN,255,10.129887903648822,0.002296094828445834,0.7053783261213387,Subalpine fir
19,SO,135,9.48309135130709,1.2004496801302762,0.7844638321948959,Subalpine fir
19,TT,26,7.500257086057232,0.18598595689727113,0.810139162336492,Subalpine fir
19,UT,2049,8.324949948691636,-0.027682216639591962,0.8379763511302819,Subalpine fir
19,WC,467,9.557002918940361,-0.3451273869768115,0.7543204986554976,Subalpine fir
20,BC,9,18.415402459680436,0.894949560034397,0.8890434512218366,SPCD 20
20,BM,1,62.25474789318672,-62.25474789318672,NA,SPCD 20
20,CA,1002,13.843233985516555,1.5002876670693264,0.87591076438102,SPCD 20
20,OC,1808,16.191562688762534,0.8392022025755472,0.8608102829621426,SPCD 20
20,OP,29,12.832384484708113,-5.521705665503471,0.9052196521592012,SPCD 20
20,SO,175,11.716815772739267,2.1716720375812653,0.8946211726726325,SPCD 20
20,WC,15,15.244410434533654,-6.739016005707607,0.7944451869016076,SPCD 20
20,WS,4365,16.3570974716986,0.7207904590161451,0.8609959405297464,SPCD 20
21,BC,182,14.797678429774091,-1.4860657431720992,0.8909016960352617,SPCD 21
21,CA,484,12.508604537688834,0.3780300330656717,0.9020849002122154,SPCD 21
21,OC,322,15.183851720073918,-0.957544162006347,0.8526817516902645,SPCD 21
21,OP,487,15.250243351782144,2.292237173316978,0.8862351211859353,SPCD 21
21,SO,1386,13.15604106141717,0.4793236591757164,0.8912886876377867,SPCD 21
21,WC,445,14.537493205370605,-0.288581463992169,0.9088426046896753,SPCD 21
21,WS,8,13.770452658774031,4.568080369531412,0.9057286406077418,SPCD 21
22,BC,286,15.121278489217431,4.228242215466987,0.8802376806802632,SPCD 22
22,BM,1,13.477066996916832,-13.477066996916832,NA,SPCD 22
22,CA,26,17.488843963884857,-8.1575102580602,0.3258983495797694,SPCD 22
22,EC,376,13.772995237257938,-1.3709949804998416,0.8748461706585443,SPCD 22
22,OC,4,19.812161756974096,-14.762087204631946,0.677003288636489,SPCD 22
22,OP,347,13.940859488168476,0.12592210074693833,0.9099630507024259,SPCD 22
22,PN,81,15.773861766406366,-2.3406795260671407,0.7905372694129129,SPCD 22
22,SO,38,10.6903242913916,-0.8322816368860516,0.8716485249107007,SPCD 22
22,WC,1099,13.342146439363887,1.2209234401238198,0.9167148439419428,SPCD 22
41,BC,38,12.255383910887785,3.9324910315579773,0.8976759366355992,SPCD 41
