year,tpa,ba,qmd,sdi,top_ht,n_trees,variant
0,200,60.14999723724917,7.425729302276445,124.04128957650833,8.236706788511901,200,ACD
1,197,60.393974406933495,7.497215555179587,124.07398248359178,8.255399197353093,197,ACD
2,195,60.79184859432954,7.560346054490188,124.47840048853608,8.27407703767561,195,ACD
3,192,60.94110490074236,7.628529903894279,124.34227176690575,8.292743959503127,192,ACD
4,188,61.03743926567595,7.715348242671267,123.98338240816422,8.31139411770605,188,ACD
5,186,61.422104728128126,7.781121205918883,124.3470949819023,8.3300262634774,186,ACD
6,185,62.03198155162705,7.8407619461421705,125.20358063057049,8.348647257207293,185,ACD
7,184,62.51242070114109,7.892426610168624,125.84638920749659,8.367262407909221,184,ACD
8,182,62.89658165440118,7.960019520211471,126.19396064169342,8.385868639167823,182,ACD
9,180,63.363581269226785,8.033779552266532,126.6685973348888,8.404463705024344,180,ACD
10,178,63.779910835858246,8.105284400381215,127.05537915713037,8.423049530850374,178,ACD
11,175,64.17140976928256,8.19951323453857,127.25296286983516,8.441624943761141,175,ACD
12,174,64.65102366118182,8.25371339290134,127.87083753417527,8.46018937881035,174,ACD
13,174,65.33056791930952,8.296977225465517,128.9483188835991,8.478744855441912,174,ACD
14,173,65.8935070997482,8.3566952608878875,129.6915200374298,8.497295878474475,173,ACD
15,171,66.33439385306218,8.433495794109826,130.0883366921714,8.515839755738753,171,ACD
16,170,66.80251548861868,8.488056326647017,130.67309191045274,8.534373742120481,170,ACD
17,168,67.05232558211841,8.55438095769532,130.75911241814637,8.552898440476728,168,ACD
18,166,67.48918669287598,8.633747805088767,131.13181085329882,8.571409027198525,166,ACD
19,165,68.10914528756823,8.699555205595004,131.94006900978897,8.589909654314022,165,ACD
20,165,68.78826357291487,8.742819386055803,132.99478517451362,8.608404331645353,165,ACD
21,164,69.21938257272289,8.796871375020336,133.50289280526394,8.626894281833042,164,ACD
22,163,69.66629204105675,8.852253682229462,134.03216586153485,8.645374109297444,163,ACD
23,161,69.93619881806893,8.924304481792403,134.12130013568472,8.66384415582212,161,ACD
24,160,70.46923639772845,8.986200343971332,134.77508612171823,8.682300638946149,160,ACD
25,158,70.57573446301278,9.049726727272565,134.60370324244482,8.700749196766827,158,ACD
26,157,71.20989508248672,9.119198140853472,135.40355880694514,8.719180737124118,157,ACD
27,155,71.64776544171126,9.206017186647161,135.72720542661884,8.737606524065091,155,ACD
28,155,72.32250555079813,9.249264264372615,136.75201521854652,8.756022369381826,155,ACD
29,154,72.83205898241918,9.311877172551496,137.3489960014031,8.77443324060078,154,ACD
30,152,72.8915606465518,9.37676724358701,137.08466367846412,8.792835644029976,152,ACD
31,150,73.17595532757153,9.457467908746203,137.15446029731964,8.811220216406308,150,ACD
32,148,73.31774602340202,9.530375235008593,137.00400589655675,8.829591662977784,148,ACD
33,148,73.98378171072363,9.57356545679272,138.00188595094806,8.847947011434357,148,ACD
34,147,74.43634498231043,9.635409085346875,138.49335568475811,8.866297243522428,147,ACD
35,145,74.634958277592915,9.714567079289209,138.41483577673,8.884637887055002,145,ACD
36,145,75.2998341468478,9.757741620738454,139.40349152328199,8.902963688488427,145,ACD
37,145,75.96746850043469,9.800903913688842,140.3945157578032,8.921284305132904,145,ACD
38,145,76.63786524868745,9.844054370394048,141.38791111728014,8.93959973159191,145,ACD
39,145,77.31102590427344,9.887193242550454,142.38367666509154,8.957909962728488,145,ACD
40,145,77.98695073698732,9.930320698310258,143.3818096259234,8.97621499360964,145,ACD
41,144,78.4518872518863,9.994400692798244,143.8706107331125,8.994514819476157,144,ACD
42,144,79.13027996579517,10.037519695543068,144.86813891365094,9.012805234343302,144,ACD
43,143,79.31871733578662,10.084540812877112,144.94529510268913,9.031090417519412,143,ACD
44,143,79.99759044188332,10.127604653775906,145.94000427307083,9.049360775951772,143,ACD
45,142,80.52161382105244,10.196435313621592,146.50349172727292,9.067625892693174,142,ACD
46,140,80.7562373504446,10.283958736970302,146.43515727362077,9.085882729160986,140,ACD
47,139,81.27650734934889,10.354077743610485,146.98351596899818,9.104125700630027,139,ACD
48,138,81.54573657515662,10.40872158605695,147.16410744162678,9.122360333060438,138,ACD
49,138,82.22216986381494,10.451803328880999,148.14295696001588,9.140581799957967,138,ACD
