variant,di_low_comp,di_high_comp,growth_reduction_pct,sukachev_pass
ACD,0.6882994094576084,0.3237971839308026,52.95692841201763,TRUE
AK,0.58907519016847,0.42539415796848534,27.78610183076517,TRUE
BC,4.031358632700597,1.5189807140605143,62.32087361964735,TRUE
BM,2.1953289351502545,1.2034304135788052,45.18222785158894,TRUE
CA,1.3177871019781233,0.7687609493283418,41.662735340605565,TRUE
CI,0.7850169812368365,0.5138147024388589,34.54731366074194,TRUE
CR,0.9398721177238656,0.5522339386939397,41.24371515230054,TRUE
CS,0.918571830268439,0.45515642292312003,50.449555720633484,TRUE
EC,1.040701082279663,0.6017811954410733,42.1754040917429,TRUE
EM,0.616956952953251,0.319548379941679,48.20572514629034,TRUE
IE,2.096800864637352,0.9915031166677345,52.713529768635524,TRUE
KT,0.8775112137306782,0.4888646890796028,44.28963625419345,TRUE
LS,0.6658668892487701,0.3622126920773645,45.60283775545406,TRUE
NC,1.422601722418542,0.6297043680003478,55.73572293095515,TRUE
NE,0.7958689700392859,0.3730493904924239,53.126782857986115,TRUE
OC,1.0524867888068938,0.6395665105004353,39.23282293876085,TRUE
ON,1.007065380799689,0.49429475460448336,50.91731241799073,TRUE
OP,1.2439113664141366,0.6737797890884278,45.83377825135929,TRUE
PN,1.3623733582233815,0.6003522903407583,55.93335066947767,TRUE
SN,0.767096117116576,0.43128858921840924,43.77646039461492,TRUE
SO,1.3805387870185803,0.7768035638100133,43.73185519201508,TRUE
TT,0.820157982013047,0.3910757967208416,52.317016319104674,TRUE
UT,0.8305213172574374,0.5606876801502886,32.489670222818404,TRUE
WC,1.482464993734668,0.5798096866265385,60.88881092794876,TRUE
WS,1.6626077768673158,1.1016735167810356,33.73821943400217,TRUE
