variant,size_class,n,rmse_log,bias_log,r2_log,rmse_di,bias_di
ACD,Sapling (1-5),13471,0.7532218552049341,0.17844055762207928,0.5490913393448309,0.23472416770669796,0.059207500806067515
ACD,Pole (5-9),24384,0.7136649059117051,-0.0840382241346201,0.27442753009579723,0.3376207863336963,-0.011651390736795482
ACD,SmallSaw (9-15),9855,0.7002640315268914,-0.027014825138395242,0.2014954708354113,0.38416757837740995,0.02275268123215728
ACD,MedSaw (15-21),1694,0.6800217451809957,-0.148179161244221,0.12401769594286449,0.40811337702935346,-0.03771609476637002
ACD,LargeSaw (21+),314,0.8144464807045354,-0.4243328633978243,-0.25296774441464964,0.48743858432942155,-0.20745777424627565
AK,Sapling (1-5),4596,0.8796255531954993,-0.11340620046055927,0.47814103039080214,0.4139349873402276,-0.04648486244031197
AK,Pole (5-9),14953,0.8817293817177977,-0.2475704601181116,0.2618603041748816,0.6371961859451181,-0.1447057145788671
AK,SmallSaw (9-15),8642,0.836793208254212,-0.19207121691904208,0.2517157546621098,0.6351081944794946,-0.1084112229412516
AK,MedSaw (15-21),3159,0.7971694468134727,-0.12769539240353803,0.19598749436115825,0.5816463307955819,-0.040595695710341176
AK,LargeSaw (21+),2157,0.8344985053769006,-0.24702574424505083,0.06828456987071863,0.6895463379742205,-0.10099708383370828
BC,Sapling (1-5),4888,1.3603885505528368,0.9280552185629906,-0.08984470373079434,1.9659925774226548,1.2078652635564064
BC,Pole (5-9),20954,1.1236238154249691,0.6437608182517114,-0.13179886075340153,2.8908167796167454,1.6484849992694908
BC,SmallSaw (9-15),12529,1.1029730892327354,0.6391937163220341,-0.3477378767717534,3.178510864511723,1.8812199166324222
BC,MedSaw (15-21),4143,1.1696875665862865,0.7073686947835154,-0.8347807301893198,3.5340834835282977,2.2076806971821714
BC,LargeSaw (21+),6817,1.2528418456000383,0.7484753182917442,-1.0439624886332304,3.606201095668309,2.174589263286542
BM,Sapling (1-5),5288,1.0928440556599168,0.7198098212124814,0.20733713633217776,1.0106932564580382,0.7135208902274357
BM,Pole (5-9),18016,0.8998755577666726,0.44343720204198395,0.05435550535175737,1.2921665302957983,0.7915001045340482
BM,SmallSaw (9-15),12884,0.8562410826600478,0.3984171478194699,-0.11988659518070222,1.4355303339800312,0.8859829329016221
BM,MedSaw (15-21),4575,0.8521238785165266,0.4208772258514584,-0.2750470073272844,1.6047900125450845,1.025278616030928
BM,LargeSaw (21+),8661,0.976024956769378,0.5146086320443588,-0.36932664638155566,1.405247431779403,0.91082478735695
CA,Sapling (1-5),2529,0.8950144414592456,0.2678063152231313,0.42114019696350624,0.3994853026519283,0.1584697924682569
CA,Pole (5-9),13686,0.8828246358590361,0.2506663933334441,0.17374110765770145,0.6398853758384961,0.267012929787266
CA,SmallSaw (9-15),7384,0.8723764852496676,0.16693282868742781,0.14935074592629383,0.8052120669982281,0.31953622560563943
CA,MedSaw (15-21),2657,0.8371957316802088,0.11912256949189047,0.07188338100244651,0.9558350071502808,0.38019995023716846
CA,LargeSaw (21+),7055,0.8813550826255938,0.11172218022609215,-0.02325674158521096,0.9985928410304551,0.33278821440402645
CI,Sapling (1-5),1922,0.8632854722981449,0.08707465557325765,0.4836115687837901,0.37006767732940343,0.01781478622587988
CI,Pole (5-9),8695,0.7524434456455477,0.01040352395138845,0.3441419215167145,0.42020924977327956,0.0336463349613329
CI,SmallSaw (9-15),4796,0.7703593223360399,0.05695822167033957,0.35027019607591414,0.5040443813822378,0.06807199400490195
CI,MedSaw (15-21),1582,0.7854312491421955,0.038126249121042656,0.32963419583529885,0.5986143480582794,0.06503423078796923
CI,LargeSaw (21+),777,0.8035506812084899,0.026915359455244852,0.23355562911149974,0.6745522752783608,0.1018148034267692
CR,Sapling (1-5),6012,0.8480362795256584,0.24734848249507907,0.3419916738235321,0.3999192661021873,0.15783459253893992
CR,Pole (5-9),24781,0.8329070390319915,0.22785632130133499,0.11454311076907209,0.5370847568292412,0.20981662703437376
CR,SmallSaw (9-15),14252,0.8816536533378577,0.22527758526857336,-0.04901379057274191,0.6293875460834246,0.2362935225670896
CR,MedSaw (15-21),3480,0.9182400777496581,0.267669235432921,-0.11738954926506007,0.6541000915780061,0.2651439350458923
CR,LargeSaw (21+),967,0.971677588396988,0.20054903282921194,-0.12361466456581627,0.8562115159861866,0.1649096222961643
CS,Sapling (1-5),6658,0.9004853979342566,0.1532682477673011,0.3699728851893863,0.35865180030815186,0.05207372657596207
CS,Pole (5-9),23317,0.8249900447539068,-0.052918155686474844,0.17252219277390146,0.48895024839230156,0.0033937944620349375
CS,SmallSaw (9-15),14475,0.7600201231961542,-0.09904852451703272,0.1044090500842959,0.5479280948151598,0.019145793794868683
CS,MedSaw (15-21),4038,0.7225652289527199,-0.10500380203367908,0.016467209245153103,0.6326555999963005,0.049204521479880685
CS,LargeSaw (21+),1043,0.7531211677671483,-0.1808241961712096,5.558189680391346e-4,0.7506001981936578,-0.036633714869292316
EC,Sapling (1-5),4198,0.9033169153241866,0.1583741162415822,0.5039462494312967,0.43371253285568023,0.040158710930121085
EC,Pole (5-9),19686,0.7728463885219097,-0.00920190621733208,0.37287235533305896,0.4975292216729531,0.023308541183619393
EC,SmallSaw (9-15),12500,0.7540512551737544,-0.03976879037922179,0.251339595723745,0.5557904061693194,0.051374697563871655
EC,MedSaw (15-21),4537,0.7368786718241201,-0.018639019947426543,0.1833757186691367,0.5964514644123895,0.09288537486414804
EC,LargeSaw (21+),8321,0.8157009620862162,0.07582540427289644,0.09441043445315556,0.6705404121979789,0.13712563770223635
EM,Sapling (1-5),6047,0.7958545179804684,-0.0708722453954232,0.5191335289575618,0.3483354083461528,-0.04565595104634053
EM,Pole (5-9),27722,0.7058230439912759,-0.07863282629971315,0.350783142302454,0.35013811787527727,-0.02662083854279349
EM,SmallSaw (9-15),11255,0.7047322191831134,-0.018466336028823995,0.28079629359467007,0.37984659040170227,0.009225927621263692
EM,MedSaw (15-21),2009,0.7112907244824538,-0.0734975709662799,0.2494762623880774,0.5259790354158298,-0.02567916321877084
EM,LargeSaw (21+),458,0.7952409135907714,-0.3229435243056802,0.03480955100455563,0.43062811099119414,-0.13728124579618242
IE,Sapling (1-5),5872,0.9570254482229091,0.4498800821658533,0.44558423273957914,0.7019399764264423,0.3780329049009635
IE,Pole (5-9),24643,0.8160660463275954,0.31769129420356773,0.29961059051520655,1.0625559523680113,0.5669612013441501
IE,SmallSaw (9-15),13554,0.8378069054963584,0.36553353254002896,0.04236826402298355,1.3529574921759542,0.7727334787983371
IE,MedSaw (15-21),3900,0.883484067479165,0.44155123909361904,-0.2796356116133931,1.5809976024028531,0.9882788625746483
IE,LargeSaw (21+),1532,0.9402725916831703,0.4625546156351548,-0.37194125940438005,1.585258487117007,0.9942481391798805
KT,Sapling (1-5),6251,0.9147649343675249,0.3714790876700446,0.4152431113424666,0.3872850533949935,0.1496565983434217
KT,Pole (5-9),27662,0.7198872643494864,0.06937464867830341,0.374720978159618,0.4087531152349736,0.07678646805846209
KT,SmallSaw (9-15),12331,0.7245617694913713,0.09719482758016491,0.2634831519789401,0.45228536568863303,0.11786682328207096
KT,MedSaw (15-21),2528,0.7436753073270119,0.1428905132334852,0.20894366429273636,0.5160371473901408,0.16140606458950882
KT,LargeSaw (21+),697,0.7403873394794136,0.08984033314731474,0.127974167081209,0.4706736180546703,0.12949147443140582
LS,Sapling (1-5),9462,0.8092550601536138,0.1270901553162697,0.48516835838550765,0.2862148320252829,0.03525306281079414
LS,Pole (5-9),26032,0.7612481116642305,-0.08677516991846587,0.22072083835958656,0.3852316903276617,-0.02172238419816934
LS,SmallSaw (9-15),11312,0.7352172833596535,-0.10066351978873869,0.1419058463135373,0.4231200881837883,-0.013405954063851826
LS,MedSaw (15-21),1906,0.7098086027946501,-0.10672157698142802,0.0711031638710663,0.4731484953114616,-0.001765568449273672
LS,LargeSaw (21+),376,0.797679612667041,-0.14637816938271975,0.031218203589470472,0.615199250371026,-0.06367431973430451
NC,Sapling (1-5),963,0.9930335076293869,0.08689643983279202,0.5088124610554416,0.6046309257351917,-0.0231939915691975
NC,Pole (5-9),4264,0.9180975080050071,-0.012415626534861064,0.38623350645278365,0.7213480592240402,-0.04400617391841931
NC,SmallSaw (9-15),2588,0.8495212807307913,-0.024467311723657414,0.3329150961226285,0.7760615329338285,0.05317872697115579
NC,MedSaw (15-21),832,0.8189311816889234,-0.08293688547933073,0.20037145933492562,0.9044394929568598,0.10017219963805564
NC,LargeSaw (21+),2469,0.7548629929520712,-0.1238989543500205,0.10518392236438723,0.7558451240632059,0.1139046890941823
NE,Sapling (1-5),9953,0.7977832161905265,0.059231280913369794,0.5213429696331071,0.2990654634414278,0.019689732737503615
NE,Pole (5-9),23567,0.7668892384878623,-0.03343931873376106,0.2260958662766981,0.394436037980963,0.011475650849504521
NE,SmallSaw (9-15),12661,0.7440125393320842,0.016442281031429203,0.15315216134444531,0.46133369027699067,0.0666532717220574
NE,MedSaw (15-21),2958,0.7139345660544132,-0.0392288055974822,0.06826877509832485,0.5201357521174986,0.06052580584412155
NE,LargeSaw (21+),659,0.7823016510565098,-0.28694124069874577,-0.07745253260415064,0.7732559227287099,-0.1608765992766275
