variable,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,0.058327760514575,0.06734364745076009,-0.07484848249999994,0.1967982500000001,1.0064928473857087,557.86870637502,886.7534080283049
CR_t1_std,0.53864280225,0.003977734945602748,0.53080585,0.546473225,1.000376200959359,7326.354747696766,3383.3362263616355
DBH_std,0.1535584896,0.012145453116322463,0.128713375,0.17646372500000002,1.0006108820781618,2384.6345094706035,2482.3325282090345
IDBH_stdE2,-0.0141541439425,0.0015795827447836774,-0.017224275,-0.011091629999999998,1.0004603223830557,5615.494680359899,3377.3748154081
BA_std,-0.0896834909,0.006027337774701595,-0.10136237499999999,-0.07804033749999999,1.0010843370156361,4568.134002346332,3045.537520646547
BAL_std,-0.046875958925,0.006765660847840538,-0.0600298,-0.0338329225,1.0019744126815797,4965.45297968293,3034.2015407551326
SI_std,-0.0411153649,0.003616604417724804,-0.04830013999999999,-0.034093504999999996,1.001538892293952,7172.720772922481,3231.2754128818838
relDBH_std,-0.064344161075,0.006932540304210984,-0.078013735,-0.051119637499999995,1.001770915558905,5478.034847030572,2953.0617912273046
