variable,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,-0.30433337463875,0.16027521802138328,-0.61578155,0.01188083750000009,1.0091225139948883,539.9712372315953,864.3269734024655
DBH_std,-0.007266192356045,0.01386236518182771,-0.034717622499999996,0.0194863475,1.0028102282484475,3474.3561039875426,3104.9679648618044
IDBH_stdE2,-0.0285692167,0.0047637999840514,-0.037701887499999996,-0.019022482500000003,1.0021972461385684,5332.932689355925,2959.7687439613564
BA_std,-0.1213286367,0.014864193369423852,-0.15088517499999998,-0.09230936999999999,0.9999067507881771,3184.5303007303773,3083.4327827358884
BAL_std,-0.02028254767445,0.014818764132143138,-0.049083132499999994,0.009024269750000005,0.9996717393645452,3187.351696299715,3042.8004177296507
CR_std,-0.97143776775,0.010804894476068229,-0.99292085,-0.9496266,1.0017076163753167,5171.185295289458,2677.071581094696
SI_std,-0.02271976187371,0.012190149488814469,-0.04695187749999999,0.0011815435000000075,1.0011296641185394,4529.100402685716,2529.9985747583532
