variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,2.4190195725,0.24652464817200598,1.9694125,2.9216665,1.0054817353179208,674.8793896910153,1071.749880934967
DBH_std,-0.60351301025,0.03740897363657256,-0.6746376749999999,-0.530249525,1.0006967694846631,3416.2892682114357,3069.1026619154677
IDBH_stdE2,0.115692713175,0.017634961340910357,0.08237299750000002,0.15249495,1.0007395609771788,4296.0051312547375,2978.8332218645237
BAL_std,-0.484231793,0.03490311477080272,-0.5528069250000001,-0.41654369999999996,0.9999873820208396,2875.9908520017007,3049.6987035932752
CR_std,0.4891641075,0.029244116966378547,0.431505575,0.5482656250000001,1.0002946560894135,5241.534406280409,3120.1123273665085
SI_std,-0.0348373937971,0.03337944573047165,-0.09847426249999998,0.031239722500000015,1.0002011544027654,4742.043965420972,2541.9266908889654
BA_std,0.46003216925,0.03602823494324813,0.38954875000000005,0.531773325,0.9995813410612369,3263.4448887829735,2884.4515500784946
