variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,2.58159383,0.13028879312045338,2.33274275,2.84271225,1.001898543848566,690.5566759897475,1357.445677696686
DBH_std,-0.3598518575,0.04328090869872813,-0.443591375,-0.27740200000000004,1.000409006783414,3404.3436395649605,3124.840547192558
IDBH_stdE2,-0.00259215016970125,0.017314104809069607,-0.0348383,0.032717457500000005,0.9994827037832511,4662.181123050521,3412.985495065545
BAL_std,-0.975224474,0.04028535286064403,-1.05636125,-0.8993939249999999,1.0004836078534203,3313.762876066502,3178.3922809839937
CR_std,0.5942652795,0.027193019222816965,0.540675275,0.6490636000000001,1.0000818535561702,6408.847883852209,2960.982902176823
SI_std,0.0432677480485,0.02451730490398595,-0.005105420749999988,0.09255017500000001,0.9994686538281359,6510.020326642985,2551.3334178530336
BA_std,0.87922194675,0.04203673754165755,0.7987763250000001,0.96239715,1.0014907580330166,3119.110421601548,3070.117209044096
