variant,ba,tpa,qmd,sdi,ba_change_pct,realistic
ACD,91.78542790957893,180,9.66911935782838,170.53695875169834,52.59422761359756,TRUE
AK,82.78219539036041,135,10.603222894749175,148.30697731942058,37.626260000599196,TRUE
BC,58.580766232380945,111,9.83676598984478,108.10629520943883,-2.608867444088202,TRUE
BM,81.30463759609441,147,10.070135102725441,148.6582399709761,35.16980481478706,TRUE
CA,59.70065799276821,121,9.511153243614897,111.64765936343416,-0.7470357559963288,TRUE
CI,109.85530029094996,97,14.409899305043165,174.3502412398791,82.63557820606809,TRUE
CR,88.84587566088055,128,11.281061233891672,155.32152644203796,47.70719145616052,TRUE
CS,123.54617172846713,140,12.719994802370598,205.98213937538318,105.39679422854054,TRUE
EC,54.969138095730116,108,9.66015047249898,102.16988417366046,-8.613236748578357,TRUE
EM,66.52917018654527,125,9.878416930593367,122.56972541890364,10.605436719111013,TRUE
IE,65.20884153873041,111,10.378343921224518,117.81714988841654,8.410376622993205,TRUE
KT,60.52804279402869,120,9.616654157290645,112.7028147257484,0.6285000731981615,TRUE
LS,79.70855427429285,151,9.83785229456475,147.08958587470906,32.51629970788505,TRUE
NC,52.613029787246965,129,8.6474509276537,102.16334892387468,-12.530291293022499,TRUE
NE,102.94927813864734,154,11.071019044134701,181.31837381409585,71.15424461953008,TRUE
OC,68.17502741398333,132,9.731101453132109,126.34962050043666,13.341691461318922,TRUE
ON,83.63626653806216,153,10.011240831844782,153.2761293350819,39.04616215804183,TRUE
OP,70.24905065904936,138,9.660886768869096,130.5663785530358,16.789776656773668,TRUE
PN,78.56513273431052,139,10.179907446892921,143.03543682780344,30.61534951672573,TRUE
SN,50.164190353550055,49,13.700460626725064,81.2186985673322,-16.601512296674887,TRUE
SO,78.70674809404055,144,10.010621564660275,144.24556446649788,30.850786523758188,TRUE
TT,49.20544903465358,171,7.2634817533290805,102.36078184748006,-18.195429701324052,TRUE
UT,81.68675161706572,138,10.417717472099843,147.36829863382712,35.805073345080174,TRUE
WC,68.29778271189974,126,9.969062874227895,125.37494424964298,13.545773419617197,TRUE
WS,63.85406052644237,136,9.278144049879113,120.590748685368,6.158039112954894,TRUE
