variant,auc_v2,auc_v1,change
CA,0.6397431440446878,0.6596569237745051,-0.019913779729817338
IE,0.6821594720301732,0.692697058867697,-0.010537586837523705
NC,0.7086471737366686,0.7192371870040515,-0.010590013267382847
OC,0.660116844970577,0.6711135881187086,-0.010996743148131594
SO,0.6785243886858955,0.6790510945055094,-5.26705819613893e-4
TT,0.671394997481954,0.6859157293939903,-0.014520731912036289
WS,0.6602010988331602,0.6756683655362984,-0.015467266703138138
