variant,initial_ba,final_ba,initial_tpa,final_tpa,initial_qmd,final_qmd,ba_growth_ft2_ac_yr,tpa_decline_pct,qmd_grew,tpa_declined,region,ba_in_range,qmd_growth_ok,tpa_thinning_ok,realism_class
ACD,60.14999723724917,91.78542790957891,200,180,7.425729302276445,9.66911935782838,0.6327086134465949,10,TRUE,TRUE,East,TRUE,TRUE,TRUE,Realistic
AK,60.14999723724917,82.78219539036041,200,135,7.425729302276445,10.603222894749177,0.45264396306222493,32.5,TRUE,TRUE,Alaska,TRUE,TRUE,TRUE,Realistic
BC,60.14999723724917,58.580766232380945,200,111,7.425729302276445,9.83676598984478,-0.03138462009736443,44.5,TRUE,TRUE,Canada,TRUE,TRUE,TRUE,Realistic
BM,60.14999723724917,81.30463759609441,200,147,7.425729302276445,10.07013510272544,0.42309280717690484,26.5,TRUE,TRUE,South,TRUE,TRUE,TRUE,Realistic
CA,60.14999723724917,59.70065799276821,200,121,7.425729302276445,9.511153243614896,-0.008986784889619202,39.5,TRUE,TRUE,West,TRUE,TRUE,TRUE,Realistic
CI,60.14999723724917,109.85530029094996,200,97,7.425729302276445,14.409899305043163,0.9941060610740158,51.5,TRUE,TRUE,South,TRUE,TRUE,TRUE,Realistic
CR,60.14999723724917,88.84587566088055,200,128,7.425729302276445,11.281061233891672,0.5739175684726276,36,TRUE,TRUE,South,TRUE,TRUE,TRUE,Realistic
CS,60.14999723724917,123.54617172846712,200,140,7.425729302276445,12.719994802370598,1.267923489824359,30,TRUE,TRUE,South,TRUE,TRUE,TRUE,Realistic
EC,60.14999723724917,54.96913809573011,200,108,7.425729302276445,9.66015047249898,-0.10361718283038115,46,TRUE,TRUE,East,TRUE,TRUE,TRUE,Realistic
EM,60.14999723724917,66.52917018654527,200,125,7.425729302276445,9.878416930593367,0.1275834589859221,37.5,TRUE,TRUE,East,TRUE,TRUE,TRUE,Realistic
IE,60.14999723724917,65.20884153873041,200,111,7.425729302276445,10.378343921224518,0.10117688602962488,44.5,TRUE,TRUE,East,TRUE,TRUE,TRUE,Realistic
KT,60.14999723724917,60.52804279402869,200,120,7.425729302276445,9.616654157290643,0.007560911135590515,40,TRUE,TRUE,West,TRUE,TRUE,TRUE,Realistic
LS,60.14999723724917,79.70855427429285,200,151,7.425729302276445,9.83785229456475,0.39117114074087367,24.5,TRUE,TRUE,West,TRUE,TRUE,TRUE,Realistic
NC,60.14999723724917,52.613029787246965,200,129,7.425729302276445,8.6474509276537,-0.15073934900004404,35.5,TRUE,TRUE,East,TRUE,TRUE,TRUE,Realistic
NE,60.14999723724917,102.94927813864734,200,154,7.425729302276445,11.0710190441347,0.8559856180279636,23,TRUE,TRUE,North,TRUE,TRUE,TRUE,Realistic
OC,60.14999723724917,68.17502741398333,200,132,7.425729302276445,9.731101453132109,0.16050060353468326,34,TRUE,TRUE,Canada,TRUE,TRUE,TRUE,Realistic
ON,60.14999723724917,83.63626653806216,200,153,7.425729302276445,10.011240831844782,0.46972538601625985,23.5,TRUE,TRUE,Canada,TRUE,TRUE,TRUE,Realistic
OP,60.14999723724917,70.24905065904936,200,138,7.425729302276445,9.660886768869096,0.20198106843600386,31,TRUE,TRUE,West,TRUE,TRUE,TRUE,Realistic
PN,60.14999723724917,78.56513273431052,200,139,7.425729302276445,10.17990744689292,0.36830270994122716,30.5,TRUE,TRUE,Pacific,TRUE,TRUE,TRUE,Realistic
SN,60.14999723724917,50.164190353550055,200,49,7.425729302276445,13.700460626725064,-0.19971613767398225,75.5,TRUE,TRUE,South,TRUE,TRUE,TRUE,Realistic
SO,60.14999723724917,78.70674809404055,200,144,7.425729302276445,10.010621564660276,0.37113501713582764,28.000000000000004,TRUE,TRUE,South,TRUE,TRUE,TRUE,Realistic
TT,60.14999723724917,49.20544903465358,200,171,7.425729302276445,7.26348175332908,-0.2188909640519117,14.499999999999998,FALSE,TRUE,South,TRUE,FALSE,TRUE,QMD did not grow
UT,60.14999723724917,81.68675161706572,200,138,7.425729302276445,10.417717472099843,0.43073508759633117,31,TRUE,TRUE,West,TRUE,TRUE,TRUE,Realistic
WC,60.14999723724917,68.29778271189974,200,126,7.425729302276445,9.969062874227896,0.16295570949301152,37,TRUE,TRUE,Canada,TRUE,TRUE,TRUE,Realistic
WS,60.14999723724917,63.85406052644237,200,136,7.425729302276445,9.278144049879112,0.07408126578386401,32,TRUE,TRUE,West,TRUE,TRUE,TRUE,Realistic
