Component,N,Mean,SD,Min,Max,Median
H-D R2 (default),25,0.807,0.047,0.719,0.878,0.792
H-D R2 (calibrated),25,0.837,0.042,0.75,0.898,0.842
DG R2,25,0.562,0.104,0.305,0.686,0.599
Mortality AUC (v1),25,0.766,0.099,0.66,0.934,0.727
Mortality AUC (v2),7,0.672,0.022,0.64,0.709,0.671
"CR R2 (v1, delta)",25,0.237,0.061,0.135,0.376,0.23
"CR R2 (v2, level)",25,0.525,0.09,0.339,0.648,0.557
