year,scenario,species_group,site_class,density_class,variant,config,variable,median,q025,q250,q500,q750,q975,mean,sd,n_draws
2000,1,Spruce-Fir,Low,Low,ACD,default,tpa,79.0,79.0,79.0,79.0,79.0,79.0,79.0,0.0,1
2005,1,Spruce-Fir,Low,Low,ACD,default,tpa,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0,1
2010,1,Spruce-Fir,Low,Low,ACD,default,tpa,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0,1
2015,1,Spruce-Fir,Low,Low,ACD,default,tpa,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,1
2020,1,Spruce-Fir,Low,Low,ACD,default,tpa,74.0,74.0,74.0,74.0,74.0,74.0,74.0,0.0,1
2025,1,Spruce-Fir,Low,Low,ACD,default,tpa,73.0,73.0,73.0,73.0,73.0,73.0,73.0,0.0,1
2030,1,Spruce-Fir,Low,Low,ACD,default,tpa,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,1
2035,1,Spruce-Fir,Low,Low,ACD,default,tpa,71.0,71.0,71.0,71.0,71.0,71.0,71.0,0.0,1
2040,1,Spruce-Fir,Low,Low,ACD,default,tpa,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,1
2045,1,Spruce-Fir,Low,Low,ACD,default,tpa,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0.0,1
2050,1,Spruce-Fir,Low,Low,ACD,default,tpa,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0.0,1
2055,1,Spruce-Fir,Low,Low,ACD,default,tpa,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1
2060,1,Spruce-Fir,Low,Low,ACD,default,tpa,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,1
2065,1,Spruce-Fir,Low,Low,ACD,default,tpa,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,1
2070,1,Spruce-Fir,Low,Low,ACD,default,tpa,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,1
2075,1,Spruce-Fir,Low,Low,ACD,default,tpa,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,1
2080,1,Spruce-Fir,Low,Low,ACD,default,tpa,62.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,1
2085,1,Spruce-Fir,Low,Low,ACD,default,tpa,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,1
2090,1,Spruce-Fir,Low,Low,ACD,default,tpa,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,1
2095,1,Spruce-Fir,Low,Low,ACD,default,tpa,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,1
2100,1,Spruce-Fir,Low,Low,ACD,default,tpa,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,1
2000,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,79.0,79.0,79.0,79.0,79.0,79.0,79.0,0.0,1
2005,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0,1
2010,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0,1
2015,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,1
2020,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,74.0,74.0,74.0,74.0,74.0,74.0,74.0,0.0,1
2025,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,73.0,73.0,73.0,73.0,73.0,73.0,73.0,0.0,1
2030,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,1
2035,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,71.0,71.0,71.0,71.0,71.0,71.0,71.0,0.0,1
2040,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,1
2045,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0.0,1
2050,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0.0,1
2055,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1
2060,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,1
2065,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,1
2070,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,1
2075,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,1
2080,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,62.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,1
2085,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,1
2090,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,1
2095,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,1
2100,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,1
2000,2,Spruce-Fir,Low,Medium,ACD,default,tpa,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,1
2005,2,Spruce-Fir,Low,Medium,ACD,default,tpa,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,1
2010,2,Spruce-Fir,Low,Medium,ACD,default,tpa,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,1
2015,2,Spruce-Fir,Low,Medium,ACD,default,tpa,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,1
2020,2,Spruce-Fir,Low,Medium,ACD,default,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2025,2,Spruce-Fir,Low,Medium,ACD,default,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2030,2,Spruce-Fir,Low,Medium,ACD,default,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2035,2,Spruce-Fir,Low,Medium,ACD,default,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2040,2,Spruce-Fir,Low,Medium,ACD,default,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2045,2,Spruce-Fir,Low,Medium,ACD,default,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2050,2,Spruce-Fir,Low,Medium,ACD,default,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2055,2,Spruce-Fir,Low,Medium,ACD,default,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2060,2,Spruce-Fir,Low,Medium,ACD,default,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2065,2,Spruce-Fir,Low,Medium,ACD,default,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2070,2,Spruce-Fir,Low,Medium,ACD,default,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2075,2,Spruce-Fir,Low,Medium,ACD,default,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2080,2,Spruce-Fir,Low,Medium,ACD,default,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2085,2,Spruce-Fir,Low,Medium,ACD,default,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2090,2,Spruce-Fir,Low,Medium,ACD,default,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2095,2,Spruce-Fir,Low,Medium,ACD,default,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2100,2,Spruce-Fir,Low,Medium,ACD,default,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2000,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,1
2005,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,1
2010,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,1
2015,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,1
2020,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2025,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2030,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2035,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2040,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2045,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2050,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2055,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2060,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2065,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2070,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2075,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2080,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2085,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2090,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2095,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2100,2,Spruce-Fir,Low,Medium,ACD,calibrated_map,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2000,3,Spruce-Fir,Low,High,ACD,default,tpa,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,1
2005,3,Spruce-Fir,Low,High,ACD,default,tpa,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,1
2010,3,Spruce-Fir,Low,High,ACD,default,tpa,107.0,107.0,107.0,107.0,107.0,107.0,107.0,0.0,1
2015,3,Spruce-Fir,Low,High,ACD,default,tpa,106.0,106.0,106.0,106.0,106.0,106.0,106.0,0.0,1
2020,3,Spruce-Fir,Low,High,ACD,default,tpa,104.0,104.0,104.0,104.0,104.0,104.0,104.0,0.0,1
2025,3,Spruce-Fir,Low,High,ACD,default,tpa,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,1
2030,3,Spruce-Fir,Low,High,ACD,default,tpa,101.0,101.0,101.0,101.0,101.0,101.0,101.0,0.0,1
2035,3,Spruce-Fir,Low,High,ACD,default,tpa,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,1
2040,3,Spruce-Fir,Low,High,ACD,default,tpa,98.0,98.0,98.0,98.0,98.0,98.0,98.0,0.0,1
2045,3,Spruce-Fir,Low,High,ACD,default,tpa,96.0,96.0,96.0,96.0,96.0,96.0,96.0,0.0,1
2050,3,Spruce-Fir,Low,High,ACD,default,tpa,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0,1
2055,3,Spruce-Fir,Low,High,ACD,default,tpa,94.0,94.0,94.0,94.0,94.0,94.0,94.0,0.0,1
2060,3,Spruce-Fir,Low,High,ACD,default,tpa,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,1
2065,3,Spruce-Fir,Low,High,ACD,default,tpa,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0.0,1
2070,3,Spruce-Fir,Low,High,ACD,default,tpa,89.0,89.0,89.0,89.0,89.0,89.0,89.0,0.0,1
2075,3,Spruce-Fir,Low,High,ACD,default,tpa,88.0,88.0,88.0,88.0,88.0,88.0,88.0,0.0,1
2080,3,Spruce-Fir,Low,High,ACD,default,tpa,87.0,87.0,87.0,87.0,87.0,87.0,87.0,0.0,1
2085,3,Spruce-Fir,Low,High,ACD,default,tpa,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0.0,1
2090,3,Spruce-Fir,Low,High,ACD,default,tpa,84.0,84.0,84.0,84.0,84.0,84.0,84.0,0.0,1
2095,3,Spruce-Fir,Low,High,ACD,default,tpa,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,1
2100,3,Spruce-Fir,Low,High,ACD,default,tpa,81.0,81.0,81.0,81.0,81.0,81.0,81.0,0.0,1
2000,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,1
2005,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,1
2010,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,107.0,107.0,107.0,107.0,107.0,107.0,107.0,0.0,1
2015,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,106.0,106.0,106.0,106.0,106.0,106.0,106.0,0.0,1
2020,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,104.0,104.0,104.0,104.0,104.0,104.0,104.0,0.0,1
2025,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,1
2030,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,101.0,101.0,101.0,101.0,101.0,101.0,101.0,0.0,1
2035,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,1
2040,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,98.0,98.0,98.0,98.0,98.0,98.0,98.0,0.0,1
2045,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,96.0,96.0,96.0,96.0,96.0,96.0,96.0,0.0,1
2050,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0,1
2055,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,94.0,94.0,94.0,94.0,94.0,94.0,94.0,0.0,1
2060,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,1
2065,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0.0,1
2070,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,89.0,89.0,89.0,89.0,89.0,89.0,89.0,0.0,1
2075,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,88.0,88.0,88.0,88.0,88.0,88.0,88.0,0.0,1
2080,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,87.0,87.0,87.0,87.0,87.0,87.0,87.0,0.0,1
2085,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0.0,1
2090,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,84.0,84.0,84.0,84.0,84.0,84.0,84.0,0.0,1
2095,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,1
2100,3,Spruce-Fir,Low,High,ACD,calibrated_map,tpa,81.0,81.0,81.0,81.0,81.0,81.0,81.0,0.0,1
2000,4,Spruce-Fir,Medium,Low,ACD,default,tpa,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,1
2005,4,Spruce-Fir,Medium,Low,ACD,default,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2010,4,Spruce-Fir,Medium,Low,ACD,default,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2015,4,Spruce-Fir,Medium,Low,ACD,default,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2020,4,Spruce-Fir,Medium,Low,ACD,default,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2025,4,Spruce-Fir,Medium,Low,ACD,default,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2030,4,Spruce-Fir,Medium,Low,ACD,default,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2035,4,Spruce-Fir,Medium,Low,ACD,default,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2040,4,Spruce-Fir,Medium,Low,ACD,default,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2045,4,Spruce-Fir,Medium,Low,ACD,default,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2050,4,Spruce-Fir,Medium,Low,ACD,default,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2055,4,Spruce-Fir,Medium,Low,ACD,default,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2060,4,Spruce-Fir,Medium,Low,ACD,default,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2065,4,Spruce-Fir,Medium,Low,ACD,default,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2070,4,Spruce-Fir,Medium,Low,ACD,default,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2075,4,Spruce-Fir,Medium,Low,ACD,default,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2080,4,Spruce-Fir,Medium,Low,ACD,default,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2085,4,Spruce-Fir,Medium,Low,ACD,default,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2090,4,Spruce-Fir,Medium,Low,ACD,default,tpa,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1
2095,4,Spruce-Fir,Medium,Low,ACD,default,tpa,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1
2100,4,Spruce-Fir,Medium,Low,ACD,default,tpa,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1
2000,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,1
2005,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2010,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,1
2015,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2020,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1
2025,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2030,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,1
2035,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2040,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,1
2045,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2050,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,1
2055,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2060,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2065,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1
2070,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2075,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1
2080,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2085,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,1
2090,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1
2095,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,1
2100,4,Spruce-Fir,Medium,Low,ACD,calibrated_map,tpa,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0.0,1
2000,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2030,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2035,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2040,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2045,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2050,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2055,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2060,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2065,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2070,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2075,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2080,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2085,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2090,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2095,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2100,5,Spruce-Fir,Medium,Medium,ACD,default,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2030,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2035,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2040,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2045,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2050,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2055,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2060,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2065,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2070,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2075,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2080,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2085,5,Spruce-Fir,Medium,Medium,ACD,calibrated_map,tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
