PLOT,MEASYEAR,PUB_LAT,PUB_LONG,FIRST_CN,FIRST_PLTCN,COUNTYCD,FIRST_INVYR,ALL_TRTCD,CYCLE5_MMT,CYCLE6_MMT,CYCLE7_MMT,CYCLE8_MMT,2021
1,1999,45.20345,-68.75708,71925482010538,52760625010538,19,1999,10,0.168,0.166,0.207,0.073,0.085
2,2001,44.37232,-70.12394,70158883010538,52878382010538,11,2001,0,0.058,0.101,0.137,0.177,0.254
3,2001,45.90905,-69.00468,70184516010538,52918520010538,21,2001,0,0.341,0.327,0.379,0.425,0.448
4,2000,46.38093,-69.23875,71975651010538,52834015010538,21,2000,0,0.122,0.175,0.209,0.204,0.224
5,2001,44.35106,-70.29816,70163516010538,52883222010538,17,2001,10,0.326,0.348,0.431,0.225,0.31
6,2000,44.70192,-67.72064,71995872010538,52855109010538,29,2000,0,0.133,0.197,0.221,0.239,0.306
7,2000,44.76638,-69.20718,72010875010538,52798302010538,19,2000,0,0,0,0,0,0
8,2000,45.9265,-67.99792,72031138010538,52774840010538,3,2000,10,0.098,0.088,0.044,0.015,0.02
9,1999,45.35346,-68.17171,71961239010538,52766122010538,19,1999,10,0.265,0.131,0.174,0.208,0.117
10,1999,43.90212,-70.74017,71948257010538,52725530010538,5,1999,10,0.183,0.153,0.06,0.071,0.13
11,2000,46.14214,-68.0557,72023203010538,52819783010538,3,2000,0,0.067,0.092,0.115,0.129,0.081
12,2000,44.95112,-68.27733,72039573010538,52783508010538,9,2000,0,0.36,0.402,0.443,0.468,0.526
13,2000,45.58811,-68.53504,72049458010538,52805523010538,19,2000,10,0.195,0.221,0.28,0.244,0.277
14,2001,45.22097,-69.58483,70177045010538,52910650010538,21,2001,10,0.309,0.299,0.249,0.29,0.318
15,2000,44.11266,-70.90496,72004776010538,52791938010538,17,2000,10,0.397,0.443,0.375,0.415,0.503
16,1999,46.07783,-69.55849,71887572010538,52691028010538,21,1999,10,0.173,0.087,0.138,0.195,0.16
17,1999,47.22813,-69.35207,71930380010538,52744659010538,3,1999,10,0.261,0.342,0.265,0.01,0
18,2001,46.18629,-68.75863,70168521010538,52888380010538,19,2001,0,0.237,0.279,0.329,0.361,0.367
19,2000,43.65164,-70.32467,72032908010538,52776609010538,5,2000,0,0,0,0,0,0
20,1999,44.92017,-68.94388,71962847010538,52767757010538,19,1999,0,0.052,0.044,0.06,0.09,0.115
21,2000,43.21555,-70.61081,71914709010538,52718539010538,31,1999,10,0.338,0.314,0.269,0.278,0.302
22,2002,44.26219,-68.36063,70219055010538,53011621010538,9,2002,0,0.316,0.358,0.343,0.369,0.369
23,1999,44.4471,-69.52065,71915874010538,52735648010538,11,1999,0,0,0,0,0,0
24,2000,44.4833,-69.47485,72043018010538,52787101010538,11,2000,0,0.215,0.255,0.286,0.308,0.351
25,2000,44.12603,-70.7623,72005532010538,52792733010538,17,2000,0,0.051,0.065,0.079,0.097,0.111
26,2001,46.61816,-68.8275,70146179010538,52903056010538,3,2001,0,0.063,0.11,0.152,0.234,0.241
27,2001,45.71514,-68.01725,70129117010538,52905774010538,3,2001,0,0.121,0.172,0.265,0.361,0.439
28,1999,44.72188,-67.54791,71906181010538,52709821010538,29,1999,0,0.091,0.091,0.082,0.086,0.077
29,2000,45.34848,-67.93686,71997239010538,52856556010538,29,2000,0,0.119,0.158,0.235,0.284,0.303
30,2000,44.93999,-68.47616,72039144010538,52783067010538,9,2000,0,0.164,0.154,0.17,0.163,0.19
31,2001,44.74863,-68.39926,70153878010538,52873171010538,9,2001,10,0.486,0.08,0.093,0.139,0.167
32,2001,44.54321,-69.77288,70160788010538,52880355010538,11,2001,0,0.132,0.147,0.26,0.296,0.341
33,2000,44.61915,-69.23531,71903750010538,52707327010538,27,1999,0,0.086,0,0.127,0.093,0.121
34,1999,45.09047,-69.00536,71957680010538,52762423010538,19,1999,10,0.271,0.313,0.313,0.333,0.359
35,1999,46.42263,-69.84904,71901009010538,52704542010538,25,1999,10,0.221,0.201,0.048,0.055,0.052
36,2001,44.8016,-68.17836,70156426010538,52875842010538,9,2001,0,0.047,0.065,0.083,0.102,0.117
37,2000,45.49461,-69.96186,71986229010538,52845016010538,25,2000,10,0.224,0.208,0.106,0.151,0.166
38,2001,44.34385,-70.69479,70165295010538,52885086010538,17,2001,10,0.358,0.411,0.463,0.451,0.497
39,2001,45.04286,-67.60261,70201077010538,52935664010538,29,2001,10,0.287,0.324,0.413,0.365,0.397
40,2001,46.60153,-67.81256,70130455010538,52907194010538,3,2001,0,0,0.003,0.007,0.012,0.005
41,1999,46.24489,-70.20995,71902256010538,52705797010538,25,1999,10,0.082,0.077,0.118,0.121,0.166
42,2001,46.8211,-68.83681,70147270010538,52904186010538,3,2001,10,0.368,0.089,0.098,0.125,0.205
43,2001,44.94077,-68.06066,70124940010538,52942234010538,29,2001,0,0.044,0.099,0.169,0.236,0.282
44,1999,44.2769,-69.471,71917852010538,52737636010538,15,1999,0,0.195,0.241,0.264,0.278,0.264
45,1999,46.87566,-69.0637,71943613010538,52720882010538,3,1999,0,0.184,0.188,0.222,0.255,0.278
46,2000,45.67554,-68.46871,72009423010538,52796707010538,19,2000,10,0.434,0.421,0.482,0.261,0.263
