FVSVariant,DIVISION,area,area_pct
AK,M240,1192515375.2678952,100.0
BM,330,331157694.5762951,0.6947684900383067
BM,340,12086312041.955725,25.35706977385893
BM,M330,35246996819.51983,73.94816173610276
CA,260,51648042120.62425,40.63624517298484
CA,M240,466060557.13285017,0.3666925267152702
CA,M260,74984358070.18648,58.997062300299895
CI,340,55602059909.23722,47.1382984410233
CI,M330,62353109768.35156,52.86170155897671
CR,250,59944403020.80801,2.79408182679662
CR,310,605389222103.5433,28.217930922272995
CR,320,409927332054.2092,19.107213535887684
CR,330,691090943585.0508,32.21259281645425
CR,340,106428099000.87888,4.960743660682448
CR,M260,16621730.059427422,0.000774759135942
CR,M310,89196493019.3075,4.157557463250208
CR,M330,171016337635.74463,7.9712803363390305
CR,M340,8545383062.552404,0.3983107398668273
CR,Wate0,3851303073.120151,0.1795139393139949
CS,220,268615031293.22693,38.36142695387515
CS,230,12073002662.609592,1.7241686272205126
CS,250,399108475725.4356,56.997445617630255
CS,330,15744802233.060364,2.2485453545130225
CS,Wate0,4680375918.612553,0.668413446761045
EC,330,2135593028.4578552,1.9187957830173596
EC,340,68553240500.6308,61.59397742545173
EC,M240,29832749049.2486,26.80424233864884
EC,M330,10777027068.363976,9.682984452882064
EM,250,988464831.532926,0.1903450966418521
EM,330,429301138458.9647,82.66896715152058
EM,340,1073949020.2390144,0.2068064776050743
EM,M330,87937889634.36008,16.933881274232498
IE,330,14721418674.772898,11.408639904662762
IE,340,3756547808.5487967,2.911207280982
IE,M330,110559489320.29422,85.68015281435524
LS,210,258209107230.97232,37.40064753889118
LS,220,190785608616.512,27.634599646309823
LS,250,107717869757.47914,15.602540606113894
LS,330,2814440801.375508,0.407661486305211
LS,Wate0,130859702760.50984,18.95455072237989
NC,260,26368679974.7634,54.02095640961263
NC,M240,3105413913.5793667,6.361995739636215
NC,M260,19337851932.87429,39.61704785075116
NE,210,136465840875.95557,20.01358151231628
NE,220,283332074387.4691,41.55244660062311
NE,230,31734649440.509914,4.654087713567392
NE,M210,97542460752.19728,14.305220827756411
NE,M220,83044012227.81471,12.178931351340069
NE,Wate0,49747128009.460205,7.295731994396746
PN,240,30814298786.345474,42.22978701179108
PN,M240,40298682396.588806,55.22776248336596
PN,M260,1855179366.2575505,2.5424505048429613
SN,220,198581395788.34344,11.618551657239676
SN,230,1093074830423.2578,63.953354402027
SN,250,194709213820.0332,11.39199898322687
SN,310,17730656487.259308,1.0373809061829866
SN,330,22959329.66032569,0.0013432988352967
SN,410,21406705383.26905,1.252458274449401
SN,M220,102678496888.20187,6.007488342235348
SN,M230,28949508495.33046,1.693770751129141
SN,Wate0,52021366798.15149,3.0436533846742884
SO,340,80495315910.25916,60.62122941414562
SO,M240,17565626914.044964,13.228718800815278
SO,M260,34685194949.50036,26.12150951307766
SO,M330,37899581.06321546,0.0285422719614468
TT,340,33282343861.379013,42.820318561873606
TT,M330,44443242914.17799,57.1796814381264
UT,310,26042615821.85865,5.044394720078552
UT,320,36887897027.19508,7.145100717670685
UT,340,306351903346.53,59.339658285407936
UT,M330,28275211241.0692,5.47684331210073
UT,M340,118710770795.5361,22.9940029647421
WC,240,1217000046.3606184,2.3382832958312814
WC,M240,48640508336.7644,93.45545095476244
WC,M260,2189223872.5559025,4.206265749406291
WS,260,14747809793.319069,10.201475291221946
WS,320,1846059804.8151188,1.276971546884935
WS,340,34591251878.22035,23.92774291732181
WS,M260,93380339619.34702,64.59381024457132
