variant,n_species,mean_default,mean_calibrated,mean_pct_change,correlation
AK,12,576.1666666666666,439.1992103590484,-25.27082243455369,0.773626020427941
CA,26,564.6923076923077,424.03627722249325,-19.86495616814962,0.7684674025222302
CI,16,543.25,388.67866650833383,-26.543630853253102,0.6345272611510114
CR,22,480.6363636363636,368.5829774410006,-19.804269894102262,0.44075233577721756
CS,41,378.1219512195122,285.5468676698518,-20.58248412685417,0.41875107110031073
EC,21,810.9047619047619,458.89870610008995,-42.48111650223783,-0.1175986761770087
EM,8,664.875,413.49365080444505,-35.79374858633096,-0.7793460394014181
LS,46,421.8478260869565,305.4046554367441,-25.409318394827704,0.7281215299531238
NE,66,419.04545454545456,330.88252260556834,-16.340777707871652,0.5015846716507988
OC,25,560.08,418.917318954042,-24.82593076524931,0.6588531039182672
SN,75,405.6533333333333,340.59280332452715,-10.340283095124637,0.6032383601967217
TT,12,522.8333333333334,387.4614930529806,-24.53229702667914,0.5571158605308231
UT,15,527.2,393.17201962035807,-23.761834555698712,0.6228350998616121
WC,8,885,544.0188471798768,-38.55083251615091,0.35197924432260136
WS,29,548.7241379310345,416.00430666105484,-20.116498736318597,0.7597345965347537
