n,variant,metric,model,value,component,level
30000,ACD,rmse,calibrated,7.514531982790038,Height_Diameter,tree
30000,ACD,bias,calibrated,0.006237039144140265,Height_Diameter,tree
30000,ACD,r2,calibrated,0.8250672819454903,Height_Diameter,tree
30000,ACD,rmse,baseline,8.187898169967871,Height_Diameter,tree
30000,ACD,bias,baseline,-0.5250449407260863,Height_Diameter,tree
30000,ACD,r2,baseline,0.7923116981129086,Height_Diameter,tree
30000,AK,rmse,calibrated,11.361632795491035,Height_Diameter,tree
30000,AK,bias,calibrated,-0.014954646284101526,Height_Diameter,tree
30000,AK,r2,calibrated,0.7949889023328458,Height_Diameter,tree
30000,AK,rmse,baseline,11.850755701055764,Height_Diameter,tree
30000,AK,bias,baseline,-1.2990159052634986,Height_Diameter,tree
30000,AK,r2,baseline,0.7769573255746092,Height_Diameter,tree
30000,BC,rmse,calibrated,6.915950745254673,Height_Diameter,tree
30000,BC,bias,calibrated,-0.055773648231931705,Height_Diameter,tree
30000,BC,r2,calibrated,0.8313220053317224,Height_Diameter,tree
30000,BC,rmse,baseline,7.580083477171425,Height_Diameter,tree
30000,BC,bias,baseline,-0.46980763318173396,Height_Diameter,tree
30000,BC,r2,baseline,0.7973705232922252,Height_Diameter,tree
30000,BM,rmse,calibrated,11.635372639900913,Height_Diameter,tree
30000,BM,bias,calibrated,0.10566341892903003,Height_Diameter,tree
30000,BM,r2,calibrated,0.8706351391183332,Height_Diameter,tree
30000,BM,rmse,baseline,12.802508945366801,Height_Diameter,tree
30000,BM,bias,baseline,-1.0538919913253568,Height_Diameter,tree
30000,BM,r2,baseline,0.8433804729437503,Height_Diameter,tree
30000,CA,rmse,calibrated,11.75103641111419,Height_Diameter,tree
30000,CA,bias,calibrated,0.0721436159997587,Height_Diameter,tree
30000,CA,r2,calibrated,0.898420618208533,Height_Diameter,tree
30000,CA,rmse,baseline,12.85420816721024,Height_Diameter,tree
30000,CA,bias,baseline,-1.4109931728726113,Height_Diameter,tree
30000,CA,r2,baseline,0.878453102161809,Height_Diameter,tree
30000,CI,rmse,calibrated,11.61420963723165,Height_Diameter,tree
30000,CI,bias,calibrated,0.05132486444840314,Height_Diameter,tree
30000,CI,r2,calibrated,0.7936657076266279,Height_Diameter,tree
