SPCD,n,mean_ht,rmse_cal,bias_cal,r2_cal,rmse_base,bias_base,r2_base,variant,rmse_improvement_pct,r2_improvement
12,6462,28.9181367997524,5.544169029114229,-0.08949058712374537,0.8414668426970047,5.843636147713655,0.3666057668320583,0.8238780367839048,ACD,5.124670856117437,0.01758880591309986
70,11,43.72727272727273,4.89613349415259,-0.056546182821678184,0.47280499703742185,4.797683255265269,0.309997063885745,0.49379325358775317,ACD,-2.0520370697518624,-0.02098825655033132
71,133,50.64661654135338,11.006234794593952,-0.10059763641547026,0.6688634292737234,12.976219399461476,0.800590260787937,0.5397159136679756,ACD,15.181498895967183,0.1291475156057479
91,49,53.775510204081634,11.284214544911878,1.6989769259841208,0.6045175235142133,11.407472302712803,1.2435853493235278,0.5958306075499379,ACD,1.0805001715552096,0.008686915964275399
94,390,38.7,7.022930155714211,-0.69983602933593,0.8104249436599329,7.1365150942779625,0.6360289245510033,0.8042431930388997,ACD,1.5916023025695496,0.006181750621033211
95,579,37.8013816925734,6.771843521370326,-0.4344143363225421,0.7790012940054636,7.396391706681402,0.4557572741335883,0.736357325709666,ACD,8.443957676645235,0.04264396829579753
97,3195,37.62879499217527,6.921179458116764,-0.07785910928060623,0.8292927978082046,7.370014391522977,0.4703887436436001,0.8064343474121425,ACD,6.090014341389419,0.022858450396062158
125,85,47.411764705882355,9.751586980720456,-1.657286293455979,0.7050514656444511,10.635809363977058,0.783837028111757,0.6491376776863993,ACD,8.313635126363009,0.0559137879580518
126,13,46.61538461538461,17.052481924599668,-11.569094566085237,-0.2870731398121349,11.364450665441096,1.4223947171137101,0.42835695147702246,ACD,-50.05108849172692,-0.7154300912891574
129,1248,53.16586538461539,11.039484252162383,-0.16828116091303552,0.7683685068507267,11.985997807429241,0.9166155060271934,0.7269460735347903,ACD,7.8968273686833435,0.04142243331593631
241,1638,34.82295482295482,5.897111034868466,0.1968031409732585,0.7440035843425858,6.105353704663233,0.4763818469523567,0.72560453278849,ACD,3.4108207299392346,0.018399051554095824
261,1584,41.87815656565657,8.600704153283122,0.42386324148378735,0.7398225407216736,8.811406390220675,0.7869676737565919,0.7269186043705365,ACD,2.3912441170730823,0.01290393635113718
315,461,23.852494577006507,4.114837882201263,-0.13330232907783585,0.7852179797482655,4.2587304287650944,0.3314114946823357,0.7699338283655459,ACD,3.378766253715576,0.015284151382719546
316,4024,45.913021868787276,8.095562821545482,-0.098445079264373,0.7709510678301593,8.860522687185412,0.5761622715420716,0.7256197416119403,ACD,8.633349212527367,0.045331326218219004
318,1734,51.02133794694348,8.110698015197782,0.17772645822001934,0.7762083248642571,9.646863501123015,0.4569967348015727,0.6834081499242337,ACD,15.92398903277116,0.09280017494002335
