variant,n_species,mean_default,mean_calibrated,mean_pct_change,median_pct_change,min_pct_change,max_pct_change,n_increased,n_decreased
AK,12,576.1666666666666,439.1992103590484,-25.27082243455369,-22.377815589481894,-52.33580869498014,3.6595179010274292,2,10
CR,22,480.6363636363636,368.5829774410006,-19.804269894102262,-23.315220555050786,-53.113441547202235,76.91037738684405,2,20
CS,41,378.1219512195122,285.5468676698518,-20.58248412685417,-21.05409861324053,-50.14788713462988,49.131211366147944,6,35
EC,21,810.9047619047619,458.89870610008995,-42.48111650223783,-41.843438822988695,-76.08301179924176,-12.58211939376385,0,21
EM,8,664.875,413.49365080444505,-35.79374858633096,-38.4273082786807,-51.68346666989166,-0.2669016789848891,0,8
LS,47,423.6170212765957,306.5231975737472,-25.48813367281478,-27.322458409110926,-48.98344470920693,5.874142433264196,1,46
NE,66,419.04545454545456,330.88252260556834,-16.340777707871652,-17.54072541218862,-59.09138638533628,163.22654840262206,7,59
SN,75,405.6533333333333,340.59280332452715,-10.340283095124637,-14.38525990838549,-48.079657952137175,141.31550469851348,9,66
TT,12,522.8333333333334,387.4614930529806,-24.532297026679142,-22.924520002854656,-47.85618917281081,-9.564965875148996,0,12
UT,15,527.2,393.17201962035807,-23.761834555698712,-22.886198479692716,-47.855619836495755,-3.831893863809877,0,15
WS,29,548.7241379310345,416.00430666105484,-20.116498736318597,-15.63131846740403,-59.564919693706386,34.320063546034184,3,26
