variant,n,rmse_log,bias_log,r2_log
ACD,29824,0.7308729780435442,0.0022422865802424314,0.68618172516118
CA,29573,0.9237835931404742,0.38933935152443605,0.5605182829264417
CS,29717,0.7960789168938108,0.003084139159574112,0.6071871286532038
KT,29711,0.7510999134812678,0.11478596281449463,0.5746863523771598
LS,29439,0.7683005466066062,-0.05476888438705844,0.6107144257983648
NC,11116,8.6007700296582,-6.71369109476156,-30.226607576114144
ON,29779,0.7015858986871449,-0.02523279644738778,0.70836509259877
