variant,n,overall_mort_rate,auc,brier_score,n_species
ACD,652870,0.04854718397230684,0.9335181136985549,0.023316087937662055,72
AK,39097,0.06859861370437625,0.8831066964296228,0.04603150923853605,16
BC,491051,0.044881285243284275,0.9313196600939481,0.0221231909887381,59
BM,58602,0.08156718200744006,0.7405780350820129,0.06240465375423413,21
CA,38031,0.12237385290946856,0.6596569237745051,0.10289010837071923,53
CI,24194,0.23220633214846653,0.7284822471390562,0.1543911691887349,17
CR,222453,0.11552552674048,0.7595646675082486,0.09064182699812941,54
CS,374950,0.057869049206560885,0.9288481536393229,0.02850050927432121,128
EC,66236,0.17079835738873117,0.727330382944663,0.12625014723744063,35
EM,60851,0.16798409229100586,0.7126055725527356,0.12316728889553974,21
IE,82102,0.13045967211517384,0.692697058867697,0.1035062223703588,23
KT,106321,0.14993275082062807,0.7003152800714751,0.11462050009402346,29
LS,1541426,0.0583557043932047,0.9212369157065057,0.02984915243921957,115
NC,13229,0.09781540554841639,0.7192371870040515,0.08157005357929989,29
NE,1321852,0.0531322719941415,0.9243606339420669,0.028111209146895768,161
OC,146943,0.11086611815465863,0.6711135881187086,0.09404109721933088,77
ON,491051,0.044881285243284275,0.9313196600939481,0.0221231909887381,59
OP,258403,0.08452301250372485,0.6819877602291301,0.07158314123775439,54
PN,66191,0.0763094680545694,0.8951651026717536,0.049482894855932824,39
SN,3454635,0.19616688883196054,0.6899713990169588,0.14592039319838712,254
SO,70959,0.0826674558547894,0.6790510945055094,0.07063706002090579,35
TT,541,0.04251386321626616,0.6859157293939903,0.03867029461723182,6
UT,108061,0.08474842912799252,0.7796820893712433,0.06682007251726242,25
WC,132338,0.07948586195952789,0.7334425277545007,0.06361245109442273,45
WS,57416,0.1266545910547583,0.6756683655362984,0.1049680255617455,51
