variant,parameter_set,year,tpa,ba_ft2ac,qmd_in,sdi
ACD,Calibrated,0,100,64.10247266599657,10.84126160476624,113.84215755334235
ACD,Default,0,100,64.10247266599657,10.84126160476624,113.84215755334235
ACD,Calibrated,10,89.14000824678239,70.32702474183034,12.027274429442164,119.87843339274461
ACD,Default,10,85.9730442259143,64.85462166195663,11.760661382811117,111.53348101813268
ACD,Calibrated,20,80.51816671978425,76.65749291022159,13.212128833500092,125.90854983919074
ACD,Default,20,73.91364333471016,64.72421454879554,12.671076783300181,108.07875015619449
ACD,Calibrated,30,73.43869062531454,83.06480945083781,14.400862616628975,131.86771450150403
ACD,Default,30,63.545809273134914,63.856632310451495,13.57381672981917,103.77042482541239
ACD,Calibrated,40,67.4750353689182,89.52315235003185,15.596909636235017,137.71143481939987
ACD,Default,40,54.63226671010743,62.38675005662607,14.469849177646138,98.85393166625386
ACD,Calibrated,50,62.350884420916834,96.00753888995584,16.802495686121738,143.40607692142902
ACD,Default,50,46.96902282030011,60.43780892363815,15.35999330527421,93.53391704611504
AK,Calibrated,0,125,78.8970257815867,10.757658227237341,140.545514536766
AK,Default,0,125,78.8970257815867,10.757658227237341,140.545514536766
AK,Calibrated,10,64.78931398435842,69.03993379379351,13.977867699964401,110.90115444332962
AK,Default,10,107.46630528239287,79.74641524249627,11.664385358924514,137.58959802194053
AK,Calibrated,20,43.13922476990858,63.943855251419095,16.48563474616899,96.23364645277478
AK,Default,20,92.39205416838769,79.51844882319386,12.562008170330625,133.23687339812946
AK,Calibrated,30,32.05239134746299,61.13776594984136,18.70109331916752,87.54008570169161
AK,Default,30,79.43226159141864,78.39472063952209,13.452016075884334,127.84998136523822
AK,Calibrated,40,25.239935114787656,59.42232684476123,20.776536105119458,81.61934941244549
AK,Default,40,68.29033338763428,76.54054023421926,14.335359161867821,121.72926539252859
AK,Calibrated,50,20.68163132507605,58.374101769334665,22.74888643370596,77.35810472402679
AK,Default,50,58.71127852537514,74.10667556929164,15.212841129154949,115.12486059598959
BC,Calibrated,0,0,0,0,0
BC,Default,0,0,0,0,0
BC,Calibrated,10,0,0,0,0
BC,Default,10,0,0,0,0
BC,Calibrated,20,0,0,0,0
BC,Default,20,0,0,0,0
BC,Calibrated,30,0,0,0,0
BC,Default,30,0,0,0,0
BC,Calibrated,40,0,0,0,0
BC,Default,40,0,0,0,0
BC,Calibrated,50,0,0,0,0
BC,Default,50,0,0,0,0
BM,Calibrated,0,50,31.92436436011792,10.819783242963243,56.74019106346617
BM,Default,0,50,31.92436436011792,10.819783242963243,56.74019106346617
BM,Calibrated,10,24.245859926356275,21.062584446151302,12.620584443384905,35.22655201245562
BM,Default,10,42.98652211295715,32.554400096504445,11.783685065290612,55.94206814881124
BM,Calibrated,20,12.527112126058727,14.629320057240031,14.632853398514035,23.07831220877457
BM,Default,20,36.95682166735508,32.71109275016245,12.739214560251515,54.506534566832286
BM,Calibrated,30,7.043343365040775,11.022817430554873,16.93945017989459,16.41202815351682
BM,Default,30,31.772904636567457,32.46581148215126,13.687593688018177,52.585005358673754
BM,Calibrated,40,4.509912519313772,9.487216638450484,19.639380445088314,13.324110009483533
BM,Default,40,27.316133355053715,31.88695672511763,14.62983261586974,50.30699689614399
BM,Calibrated,50,3.3517298394803117,9.252848666144416,22.49809052403676,12.315804601528589
BM,Default,50,23.484511410150056,31.03803694649508,15.566780134315467,47.78158913161487
CA,Calibrated,0,50,31.378349864543214,10.72685676463194,55.96008135630023
CA,Default,0,50,31.378349864543214,10.72685676463194,55.96008135630023
CA,Calibrated,10,18.553009976873422,14.222496106983263,11.855589567661067,24.381534951746474
CA,Default,10,42.98652211295715,32.10087312992747,11.701315819124028,55.31577540688568
CA,Calibrated,20,6.896811116484596,6.370723972756369,13.014055708423989,10.526419019068204
CA,Default,20,36.95682166735508,32.339827295699315,12.666714274933708,54.00951692984537
CA,Calibrated,30,2.5679906806361137,2.8348285953830774,14.226861839463457,4.522031375150594
CA,Default,30,31.772904636567457,32.16654312396521,13.62436182878261,52.19565721401359
CA,Calibrated,40,0.9578569406117226,1.2658580912575401,11.251035913450549,1.157349772384268
CA,Default,40,27.316133355053715,31.649866863432454,14.575342364315174,50.006601651849124
CA,Calibrated,50,0.3591079077923874,0.5838526403297246,7.641025064281131,0.23317571956091104
CA,Default,50,23.484511410150056,30.854022487431617,15.520566339369303,47.55412227623697
CI,Calibrated,0,75,47.650045151845376,10.793031877219006,84.77279773279756
CI,Default,0,75,47.650045151845376,10.793031877219006,84.77279773279756
CI,Calibrated,10,20.662879565788806,8.52288521178813,8.69641648554151,16.513231718562956
CI,Default,10,64.47978316943572,48.438525596106594,11.736162297843697,83.37060816922522
CI,Calibrated,20,8.081518450903227,2.5946723947447463,7.6725056063550445,5.282228668964303
CI,Default,20,55.435232501032615,48.535564887480895,12.6700853607332,81.04888346484974
CI,Calibrated,30,3.623058674073126,1.1550133724847955,7.645365558023857,2.3546673820578525
CI,Default,30,47.659356954851184,48.049315501472584,13.596024754423517,78.03229007263202
CI,Calibrated,40,1.507899221557389,0.5808735149935924,7.621505855102339,0.9750969120621129
CI,Default,40,40.97420003258057,47.08256630561559,14.5150071765279,74.5121641601866
CI,Calibrated,50,0.6044887868304147,0.30272655850470775,5.502059237273875,0.2317028066332521
CI,Default,50,35.22676711522509,45.730050957489766,15.427902362778179,70.64888847311818
CR,Calibrated,0,75,48.16076665840953,10.850718515728126,85.50118850502204
CR,Default,0,75,48.16076665840953,10.850718515728126,85.50118850502204
CR,Calibrated,10,30.763090225265174,21.25631164480989,11.255671457528935,37.19470075601488
CR,Default,10,64.47978316943572,48.914308010495645,11.793660072336788,84.02713982640834
