variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.21000400000000002,-0.3572276,-0.06974517500000009,1.0156557711040906,397.9890814481438,0.2874824249999999,TRUE
b_DBH_std,0.161863,0.1193239,0.20615999999999998,1.0014061085338695,4677.972259644597,0.08683609999999999,TRUE
b_IDBH_stdE2,-0.009466945000000001,-0.02367354,0.0044168609999999985,1.0010245571340681,6885.899589109663,0.028090400999999997,TRUE
b_BA_std,-0.064293,-0.1092241,-0.020436650000000015,0.9998173771443544,5039.345057351477,0.08878744999999999,TRUE
b_BAL_std,-0.235876,-0.2827543,-0.18728975,1.00045411427509,4488.836527755758,0.09546455000000001,TRUE
b_CR_std,-1.89329,-1.9241004999999998,-1.8629065000000002,1.0011808697091888,8760.967705902778,0.06119399999999953,TRUE
b_SI_std,0.00450988,-0.026917555,0.035560084999999964,1.0005930233994147,7649.273849990478,0.06247763999999996,TRUE
sd_SPCD__Intercept,0.8659415,0.7645039,0.99000095,1.0070136987109464,1046.1512201364033,0.22549704999999998,TRUE
sigma,2.8983499999999998,2.8783695,2.9183915000000002,1.0023698851858827,5087.369542373023,0.040022000000000446,TRUE
Intercept,-0.22266750000000002,-0.370005,-0.08546814000000003,1.0159376311435624,391.86406584230326,0.28453685999999995,TRUE
"r_SPCD[16,Intercept]",0.4396335,-0.8279946499999999,1.7133149999999993,1.000339067370098,9541.284668816541,2.541309649999999,TRUE
"r_SPCD[43,Intercept]",0.46015399999999995,-0.5264601999999999,1.4627019999999988,1.0015555393668931,9264.24247820584,1.9891621999999987,TRUE
"r_SPCD[61,Intercept]",0.244841,-0.6494283,1.1216119999999996,1.002221640493133,9086.337606597568,1.7710402999999997,TRUE
"r_SPCD[67,Intercept]",0.590084,-0.6438410999999999,1.8680954999999997,1.0039182972933967,7826.447072939323,2.5119365999999994,TRUE
"r_SPCD[68,Intercept]",0.9699135000000001,0.7180385,1.215543,1.0061602405868306,1080.7647862716688,0.4975045,TRUE
"r_SPCD[97,Intercept]",0.365574,-0.6170683499999999,1.3519849999999998,1.0012784254152491,10262.384506974926,1.9690533499999998,TRUE
"r_SPCD[107,Intercept]",-1.66019,-2.2000535,-1.124335,1.0004295479400909,5172.144517976712,1.0757185,TRUE
"r_SPCD[110,Intercept]",-0.9974105,-1.217193,-0.76787545,1.0069240465838876,1169.8561001078695,0.44931754999999995,TRUE
"r_SPCD[111,Intercept]",-1.7340200000000001,-1.9353850000000001,-1.524782,1.007261225332735,883.9687113968627,0.41060300000000005,TRUE
"r_SPCD[115,Intercept]",-0.8986215,-1.751932,-0.07128419000000027,1.0016392819862787,7656.381316867408,1.6806478099999997,TRUE
"r_SPCD[121,Intercept]",-1.10969,-1.388243,-0.84143995,1.0027806564154582,2033.3414325414694,0.5468030499999998,TRUE
"r_SPCD[123,Intercept]",-0.7045785,-1.6819075000000001,0.27775969999999967,1.0041425366044348,8431.869990585077,1.9596671999999997,TRUE
"r_SPCD[126,Intercept]",-0.427021,-1.1566355,0.31416965,1.0024017825362583,7764.07486623311,1.47080515,TRUE
