SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
16,0.536484369,6.0281131715,414.9313859495398,-0.0251741754962475,-1.6407579992462475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.51132788,6.0029566825,404.6233694671448,-0.0619037453936125,-1.6774875691436124,410.27601914280814,-2.296011211429497,128,0.7,0.30000000000000004,408.2410652595693,-2.1104541187437316,NA,408.5802242401091,0.64,0.36,qr_dominant
57,-0.270832919092125,5.220795883407876,185.08142870634308,0.00885700873858912,-1.606726815011411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,-0.41533303575,5.07629576675,160.1796129822756,0.083568672771875,-1.532015150978125,209.84926564667467,-1.7268336171964902,313,0.7,0.30000000000000004,194.94836984735494,-1.6683880773309807,NA,194.94836984735497,0.7,0.30000000000000004,qr_dominant
59,-0.529203779625,4.962425022875,142.9400087312282,0.03211846434305625,-1.5834653594069437,190.93885767242875,-1.6356533215861004,103,0.7,0.30000000000000004,167.65941593594647,-1.6199969329323534,NA,176.5392029900686,0.515,0.485,qr_dominant
61,0.1026936629725,5.594322465472501,268.8954024402608,-0.01421162409522375,-1.6297954478452237,372.6625602889185,-1.684933929797192,1241,0.7,0.30000000000000004,341.53241293432114,-1.6683923852116016,NA,341.53241293432114,0.7,0.30000000000000004,qr_dominant
63,-0.5451614564455,4.9464673460545,140.6771214984151,0.01606469770176875,-1.599519126048231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,-0.2841682138,5.2074605887,182.62969692504504,0.01185553787294625,-1.6037282858770536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,-0.00173729054586212,5.489891511954138,242.23092627257648,-0.02732663478645,-1.64291045853645,294.3481319781326,-1.7275567432998504,2673,0.7,0.30000000000000004,278.71297026646573,-1.7021628578708303,NA,278.71297026646573,0.7,0.30000000000000004,qr_dominant
69,-0.36130755015,5.13032125235,169.07142391372628,0.01493431247123875,-1.600649511278761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
