variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk
lp__,-12729.685225,-12526.6,636.8149350671516,367.75893000000025,-14063.689999999999,-12138.99,NA,NA
lp_approx__,-15.0338406425,-14.7173,3.837215565191034,3.817027829999999,-21.851754999999997,-9.330872000000001,NA,NA
mu_b0,1.20652564075,1.2048800000000002,0.1333550924381611,0.13367121600000034,0.9906500500000001,1.425559,NA,NA
sigma_b0,0.17077167995,0.1649085,0.044467588093260645,0.04242163380000002,0.1087928,0.25139074999999994,NA,NA
z_b0[1],2.05765830575,2.05438,0.5037765786283765,0.5011855169999999,1.2225455,2.8819304999999997,NA,NA
z_b0[2],-0.3755143354662,-0.373083,0.47407319667002473,0.47278349706,-1.16359,0.396062449999999,NA,NA
z_b0[3],-0.685761881828,-0.6812875,0.5901728595547882,0.5842214951999999,-1.6622489999999999,0.27289769999999985,NA,NA
z_b0[4],0.2997857612335,0.28936649999999997,0.9148753251810428,0.9090628617000001,-1.171388,1.8190854999999997,NA,NA
z_b0[5],0.2968740348720175,0.288396,0.48959950637350325,0.48286436163000007,-0.52093785,1.1044569999999996,NA,NA
z_b0[6],-0.287026704832,-0.283219,0.4814021294003062,0.47383740327000007,-1.090521,0.5236104499999997,NA,NA
z_b0[7],0.4820740767765,0.4890145,0.35090897813284877,0.3472330743,-0.11216909999999998,1.0628399999999998,NA,NA
z_b0[8],-1.02751983985775,-1.032,0.7198720213749882,0.7079415,-2.2103230000000003,0.16597479999999987,NA,NA
z_b0[9],1.0297152125575,1.0194450000000002,0.47659435347429685,0.47242307699999975,0.24428220000000006,1.8122034999999994,NA,NA
z_b0[10],-0.805116846025,-0.8039069999999999,0.42271095542006104,0.42045498179999985,-1.505414,-0.10869530000000016,NA,NA
z_b0[11],-0.1277866893075,-0.1059875,0.9816913779574853,0.9855405588,-1.724134,1.4809929999999998,NA,NA
z_b0[12],0.9709097067457501,0.977508,0.6646751349012581,0.6439035582,-0.12146469999999998,2.078355999999999,NA,NA
z_b0[13],0.18355251351725,0.1775195,0.8924450683427797,0.8951820192,-1.262893,1.663773999999999,NA,NA
z_b0[14],-0.50662274445725,-0.491141,0.9787920226296525,0.9933405174,-2.1312309999999997,1.0902959999999997,NA,NA
b1,0.7944241755,0.794481,0.013832307354645792,0.013789662600000004,0.7717643,0.81712665,NA,NA
b2,-0.059888682335,-0.0605299,0.017448847590964524,0.01751706726,-0.08822186,-0.03039868000000001,NA,NA
b3,0.128731479775,0.1286385,0.015570976503972551,0.01546129409999998,0.10267045,0.15432030000000002,NA,NA
b4,-0.050874205706,-0.050948999999999994,0.013156008541523594,0.012840798599999996,-0.07272287,-0.02898051500000002,NA,NA
b5,0.0181898089958675,0.018956599999999997,0.06517791418792424,0.06561646601999999,-0.08883693999999999,0.12603709999999996,NA,NA
b6,0.00151395332107575,0.001523445,0.012533134197394987,0.012447739101,-0.019526019999999998,0.022127104999999987,NA,NA
b7,-0.086662668275,-0.0862339,0.01477378415522754,0.014742529619999998,-0.11187049999999998,-0.06332825000000002,NA,NA
b8,-0.1652556205,-0.1651345,0.016514401020147337,0.01667776739999999,-0.19212464999999998,-0.1379338,NA,NA
b9,0.064470321520225,0.06536420000000001,0.05788739181690592,0.05854520532,-0.030393274999999997,0.15847245,NA,NA
b10,0.0056569772181775,0.00573451,0.002958929584080019,0.0029492027459999998,7.907942500000002e-4,0.010596869999999998,NA,NA
b11,8.47700568545e-5,8.400535e-5,4.278838661758871e-5,4.314706998e-5,1.5018180000000002e-5,1.5505144999999993e-4,NA,NA
b12,-0.022185556196785,-0.02188635,0.02005040559165962,0.020039377575,-0.05529807999999999,0.010457644999999984,NA,NA
b13,-0.119279526375,-0.11932799999999999,0.02239850697556816,0.022019575200000027,-0.15544205,-0.08184202500000001,NA,NA
sigma,0.988967541,0.9894905,0.03650972200915963,0.03657648330000006,0.93031135,1.0499515,NA,NA
b0[1],1.557812986,1.550125,0.18474393742184703,0.18021744300000012,1.2709085,1.8801815,NA,NA
b0[2],1.1425291885,1.142185,0.15833533520519386,0.15719266500000004,0.88165165,1.3988904999999998,NA,NA
b0[3],1.08927845025,1.09478,0.1727000476035794,0.1725805703999999,0.80255405,1.3719664999999999,NA,NA
