variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-8893.802755,-8897.8,306.73870137225896,328.82585399999994,-9364.072,-8290.726,1.9987628230790795,5.429054929849446,11.391609988384618
mu_b0,1.8967531575,1.89986,0.03309592700924608,0.0259899779999999,1.835567,1.952612,2.5129355364448203,4.840585338886327,12.70686821579351
sigma_b0,0.75728768875,0.612522,0.3208853114690746,0.10701925710000001,0.52954865,1.6166524999999998,2.7256577723780446,4.677804189303498,11.416006748649027
z_b0[1],-0.0167528158922025,-0.015988799999999997,0.02696475106940073,0.02428758255,-0.063813095,0.023013654999999994,2.7385727092047465,4.673897605872812,11.398284011412754
z_b0[2],0.66369362225,0.7099139999999999,0.167798463210263,0.14363799450000014,0.29619759999999995,0.85232565,2.6277195297638642,4.766512629852287,11.039196363494922
z_b0[3],0.01455322658580925,0.015333349999999999,0.014364135435387636,0.015226598519999999,-0.009961752,0.036660454999999995,1.9856970424705749,5.489671094961135,36.533477485419944
z_b0[4],0.01985284539308,0.01656125,0.027895373629673932,0.03335915234399999,-0.015330585,0.06948744999999999,2.260482530875829,5.084766848860516,14.444947128038256
z_b0[5],0.2050051749,0.20992100000000002,0.09414924632531695,0.1277697267,0.060122354999999995,0.3568441,2.1375371667602923,5.20265558179957,11.071830200246495
z_b0[6],0.028611542798675,0.0211017,0.028158212542412325,0.021914873988,-0.006049399499999999,0.09715100999999997,3.119217173223999,4.504468372541384,11.075508984892355
z_b0[7],0.004182477073225,-0.00177495,0.02008892843726926,0.022829074799999998,-0.027697214999999997,0.03330084,2.087476497480791,5.267694817622642,11.367343123967494
z_b0[8],0.020648846050385,0.0140549,0.021725976800977716,0.02033096793,-0.004699173,0.06321797,2.073064775276,5.341668552187257,16.3652544692649
z_b0[9],-0.0089370953923,0.00528931,0.035148913184163064,0.019450696418999998,-0.09194153000000001,0.024357159999999992,2.4698692229746366,4.838829367030979,12.176885697450514
z_b0[10],-0.0100673768701,-0.00602237,0.02480511874235611,0.03442619439,-0.045997335,0.026059439999999996,1.9154343931536937,5.741771754927936,21.59875485419877
z_b0[11],0.02532195717085,0.019899,0.025915953497728832,0.021521643989999995,-0.01144963,0.08000022999999998,2.4910292734085644,4.9130899508029096,11.004828409264025
z_b0[12],-0.0016187515700999998,0.0042232,0.025297402116642446,0.03267079599,-0.03731189,0.031692819999999976,2.055495676788653,5.3578832852707325,12.561981129080776
