variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,1.9500874025,0.13132503779407753,1.7043135,2.2201619999999997,1.0075431728449689,513.6514701699165,1041.1866430425264
DBH_std,0.0893545621361,0.10013099159114716,-0.104708675,0.2866612500000001,1.0022926811852133,646.7038554083433,1346.9705490234642
IDBH_stdE2,-0.1662902445,0.015495315946271907,-0.19676329999999997,-0.1367708,0.9995765108915987,4974.071358128374,3302.9946949187392
BAL_std,-0.3035574483875,0.12261613809790906,-0.55693555,-0.0646211125,1.0068975144697754,1135.6858366475344,1476.9153373647016
CR_std,0.43716353575,0.02003617071319852,0.398075275,0.47631305,0.999601653701724,5265.2927129469745,2809.832668946584
SI_std,-0.040342889926,0.021548654620150067,-0.08232588249999999,0.002411774000000006,1.0013990697380746,4851.631088630864,3102.1520383030315
BA_std,-0.154257830875,0.026175697796924788,-0.20469225,-0.10319347499999998,1.0006350530727186,4897.730564328963,3169.087499547567
DBH_BAL,-0.4414979895,0.021612134242619815,-0.48303095,-0.398377875,0.9999227291280911,5236.17746446467,3061.2886655242896
ELEV_std,-0.038690335575375,0.03149929977527835,-0.0976125275,0.024911682500000008,1.0003936633569752,3020.400664055868,3004.5142168954026
SLOPE_std,-0.0109283440253,0.020419737815291397,-0.0529654875,0.028276572500000003,1.000665383362037,5886.113264929318,3205.9138955392036
