SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
15,0.416756086,6.103070656000001,447.2289500529732,0.0257636118911025,-1.6231586006088976,597.2028011901938,-1.6121556584433023,1133,0.7,0.30000000000000004,552.2106458490276,-1.615456541092981,NA,552.2106458490276,0.7,0.30000000000000004,qr_dominant
17,0.2604268385047875,5.946741408504788,382.5048789097262,-0.0027656549545375,-1.6516878674545374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.515197786125,6.201512356125001,493.4948169208161,-0.02271699907797875,-1.6716392115779788,660.2770542308713,-1.666271837650895,337,0.7,0.30000000000000004,610.2423830378547,-1.66788204982902,NA,610.2423830378547,0.7,0.30000000000000004,qr_dominant
21,0.550782527625,6.237097097625,511.3718915528118,-0.0533102016979,-1.7022324141979,903.3974782129144,-2.2633195656217966,55,0.55,0.45,619.17892788434,-2.010830347481043,NA,726.9859642158683,0.275,0.725,bayes_dominant
41,0.6243843695,6.3106989395,550.4295313378423,0.0236776136236725,-1.6252445988763276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,-0.49576842362825,5.190546146371751,179.5665958013012,-0.019911256051525,-1.6688334685515251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-0.836188920125,4.850125649875,127.7564414184634,-0.03245772227647125,-1.6813799347764713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,-0.45413255425,5.23218201575,187.20083336131336,-0.0277021361262375,-1.6766243486262375,296.17700327199867,-2.0675683578324335,39,0.39,0.61,208.45118649389698,-1.829092512216654,NA,229.7015396264806,0.195,0.8049999999999999,bayes_dominant
64,-0.374826856,5.311487714,202.6514916970797,0.0069119554658375,-1.6420102570341626,337.87865330911364,-1.5134071778613378,158,0.7,0.30000000000000004,297.3105048255035,-1.5519881016131851,NA,297.3105048255035,0.7,0.30000000000000004,qr_dominant
65,-0.0869530370998,5.5993615329001996,270.253804168708,-0.003110281996005,-1.652032494496005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.43332749025,6.11964206025,454.7019094798448,0.00754911029759312,-1.641373102202407,645.4095063584327,-1.4521492118726884,461,0.7,0.30000000000000004,588.1972272948564,-1.508916378971604,NA,588.1972272948564,0.7,0.30000000000000004,qr_dominant
98,0.49910645038625,6.185421020386251,485.61737539010073,0.02891894098555625,-1.620003271514444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,-0.172061908080575,5.514252661919425,248.20441530603364,0.004392794174132,-1.644529418325868,290.1367306873678,-2.083246822066069,65,0.65,0.35,260.7841099204339,-1.9296957307569984,621,275.46042030390083,0.3,0.7,bayes_dominant
103,-0.2587149934414875,5.427599576558513,227.60224740321803,0.0034115080137625,-1.6455107044862376,NA,NA,NA,NA,NA,NA,NA,679,NA,NA,NA,NA
104,0.04967846041804375,5.735993030418044,309.8204792113038,7.1384206646375e-4,-1.6482083704335362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
