species,n,rmse,bias,mae,r2,model,variant
AB,284,3.360280962969824,3.0636117427271974,3.0771944691879676,-4.924891673023102,default,SN
AE,252,2.590180872298851,2.201630227801149,2.2993216840477992,-2.6034032087858763,default,SN
AH,325,2.152522755642173,1.785443056207223,1.8274308550107943,-2.2052594836616946,default,SN
AP,4,NA,NA,NA,NA,default,SN
AS,3,NA,NA,NA,NA,default,SN
BC,524,4.216165914458576,4.019814298145499,4.019814298145499,-9.99222503141887,default,SN
BE,126,3.0237214478451193,2.732700478481843,2.7532546017783512,-4.4576622947616,default,SN
BG,904,2.836002939725708,2.5159869887375437,2.539770088604709,-3.6959821766355914,default,SN
BJ,125,3.383612346561159,3.192827667989075,3.192827667989075,-8.124873325545547,default,SN
BK,85,2.727590957790227,2.5160534599889464,2.52229941148115,-5.707147968263342,default,SN
BN,4,NA,NA,NA,NA,default,SN
BO,398,4.501213657952763,4.309737309974613,4.309737309974613,-11.009400710095314,default,SN
BT,5,2.17660841895504,2.091655443975748,2.091655443975748,-12.065642101565185,default,SN
BY,223,4.437732817642066,4.238301476872466,4.243126845806476,-10.381713077467884,default,SN
CB,192,3.176799468470116,2.7992959970411735,2.88068129365879,-3.473434951346781,default,SN
CK,72,3.848910112977063,3.603813173877645,3.6052154693260374,-7.110033597245254,default,SN
CO,985,5.042232981659684,4.923400514808864,4.923400514808864,-20.468702295353154,default,SN
CT,30,3.0707560465366055,2.9116857642646865,2.9116857642646865,-8.908846404938853,default,SN
DW,306,2.5507714372454453,2.385025980464205,2.385025980464205,-6.953240789269485,default,SN
EL,1,NA,NA,NA,NA,default,SN
FM,75,2.8157736896041574,2.4181860418061962,2.4474557183859518,-2.810063666942939,default,SN
GA,532,2.9860653172626614,2.6697235210296038,2.698519362669666,-3.983665025523279,default,SN
HH,190,2.137098878673173,1.784202448189568,1.8012223604155089,-2.3004393089880018,default,SN
HI,1,NA,NA,NA,NA,default,SN
HL,45,2.5109785132813864,2.107564156238226,2.2313030172489077,-2.3839947637030257,default,SN
HY,321,2.8043467753528346,2.5575556161726305,2.5575556161726305,-4.94312589479202,default,SN
LB,128,4.3764679905882415,4.2165933625713325,4.2165933625713325,-12.941838678006187,default,SN
LK,609,3.851853342632163,3.535349831444102,3.5507921588412517,-5.345720073879888,default,SN
LL,598,3.571878521425939,3.4389740527109445,3.4389740527109445,-12.692506066508306,default,SN
LO,137,5.60936099507937,5.417708027526417,5.417708027526417,-13.88850665294647,default,SN
LP,14265,2.5007558161376195,2.285715828631656,2.3283764640895575,-5.075861401365247,default,SN
ML,15,2.9839366766771134,2.6765889088196064,2.743709736770469,-4.117906931324126,default,SN
MS,72,3.122518621259402,2.7361697828181795,2.769730781853004,-3.3075473746654396,default,SN
MV,397,4.18719970780245,4.005206600492796,4.005206600492796,-10.759285282431577,default,SN
OH,1,NA,NA,NA,NA,default,SN
OT,2,NA,NA,NA,NA,default,SN
OV,89,3.8986005289592867,3.6812444495576164,3.706871124520716,-8.225403264984802,default,SN
PC,312,5.930477388627566,5.8067777268755405,5.8067777268755405,-23.22391045309501,default,SN
PD,119,4.320450256350669,4.1734380859012665,4.1734380859012665,-13.948519469642557,default,SN
PO,920,3.257044021669001,3.056777721710588,3.0634551572205106,-7.389712265604144,default,SN
PP,35,5.533794522259611,5.455886835871723,5.455886835871723,-34.76684647010367,default,SN
PS,149,3.272769660434768,2.9604612590655326,2.9604612590655326,-4.502169908069625,default,SN
PU,140,5.840095284776874,5.774742553618962,5.774742553618962,-43.932747301176164,default,SN
QS,29,3.143831061432553,2.919956470139721,2.919956470139721,-6.2806410388196285,default,SN
RA,105,2.8940395216326187,2.6088560135204486,2.6122347113517272,-4.336951299307905,default,SN
RD,89,1.647659302613382,1.2289502846578162,1.2837805248072935,-1.2539360573628353,default,SN
RL,109,2.094016038679959,1.6375621832563774,1.818952902856968,-1.5743677012159014,default,SN
RM,2520,3.929156535379192,3.692830142595661,3.6929282770643534,-7.570738625014199,default,SN
RO,430,5.188964250646892,5.027483614867816,5.027483614867816,-15.320782737538728,default,SN
SA,2374,3.917235219338608,3.8055544483666854,3.806447782026399,-16.79125935902325,default,SN
SB,162,3.0320771867449112,2.865976172551705,2.865976172551705,-8.384249030219308,default,SN
SD,671,4.405949938631926,4.296067229074215,4.296067229074215,-19.301579159369567,default,SN
SK,744,3.154959256835578,2.8696288229913307,2.894812716253341,-4.7904465265585054,default,SN
SM,220,4.043997122177446,3.7917996610269173,3.7917996610269173,-7.275567801193571,default,SN
SN,58,3.698816850408407,3.411660620011272,3.411660620011272,-5.700522141457472,default,SN
SO,406,4.898211352402815,4.77158738800574,4.77158738800574,-18.594838999133277,default,SN
SP,1148,2.302704134116911,2.050018084318266,2.106412827211437,-3.820965935900441,default,SN
SR,38,5.219648523023686,5.036900339038419,5.036900339038419,-13.535440451372006,default,SN
SS,170,2.8920613442115637,2.5295996537410685,2.533571882205233,-3.2561853338083413,default,SN
SU,3616,3.0611367153645013,2.7513881549502863,2.7714752004826635,-4.204647630872245,default,SN
SV,12,4.721813614187149,4.622945424212709,4.622945424212709,-23.13198181596695,default,SN
SY,107,3.6351867233358517,3.4118385498889072,3.4118385498889072,-7.395860478266686,default,SN
TM,24,4.4478802401088915,4.336368281341957,4.336368281341957,-19.196685923130868,default,SN
TO,77,3.5740236175996674,3.3996201200110496,3.3996201200110496,-9.502674089387025,default,SN
TS,803,4.155969803788089,3.9918167594881853,3.9918167594881853,-11.913863204808465,default,SN
VP,746,4.420421381907219,4.29843975904068,4.29843975904068,-17.372708047025263,default,SN
WA,220,3.442258323710143,3.2417735233216907,3.2417735233216907,-7.8423347974833995,default,SN
WE,704,2.190767801483949,1.7357247735516734,1.8771235669234592,-1.6861821170091083,default,SN
WI,5,3.4537927672088244,3.4023883573585594,3.4023883573585594,-32.84619807201924,default,SN
WK,1640,3.147404532622534,2.7819532608870015,2.8210148710492744,-3.5715976065367894,default,SN
WN,83,4.681374639142955,4.575876333031141,4.575876333031141,-21.439814966156668,default,SN
WO,1756,3.8594100330493477,3.665957025045645,3.6692604230607406,-9.231484910822237,default,SN
WP,304,5.757506470371318,5.6059609895580556,5.6059609895580556,-18.249302915301726,default,SN
WT,235,5.083832993445418,4.954847227668816,4.954847227668816,-18.960165784343236,default,SN
YP,1712,4.948302194676716,4.769055395355563,4.769055395355563,-13.057653499360454,default,SN
NA,4683,4.115822287858876,3.884984509505408,3.884987134590243,-8.172179812596154,default,SN
AB,284,0.7758923141375974,0.07435433623055998,0.6287959848604686,0.6841127253223662,calibrated,SN
AE,252,0.9020425300049839,-0.16784484475750724,0.710875029933495,0.5629745729397049,calibrated,SN
AH,325,0.8749154946312567,-0.4830910207612479,0.6992852887524869,0.47045861505083453,calibrated,SN
AP,4,NA,NA,NA,NA,calibrated,SN
AS,3,NA,NA,NA,NA,calibrated,SN
BC,524,0.8468999036567134,0.11068766132303112,0.6888962006733422,0.556478791683741,calibrated,SN
BE,126,1.0495103810454625,0.5411872492326608,0.8665577400794777,0.34249876085608655,calibrated,SN
BG,904,0.8333453854240392,0.41649782557438503,0.6709760093524997,0.5945258647052261,calibrated,SN
BJ,125,0.873407800580192,-0.15361494089179575,0.695737558581332,0.3920053259904758,calibrated,SN
BK,85,0.8311229111382109,-0.3507227657833371,0.6598488756331132,0.3772554831611472,calibrated,SN
BN,4,NA,NA,NA,NA,calibrated,SN
BO,398,0.7860552172450234,-0.1535910748322867,0.6321088706220496,0.6337579644778952,calibrated,SN
BT,5,1.0384069772064723,-0.9063499028422523,0.9063499028422523,-1.9737560833237415,calibrated,SN
BY,223,0.9601594153619937,0.07709052886072948,0.7776246711186754,0.46719042488388407,calibrated,SN
CB,192,0.8541339357062989,0.2583075407494612,0.6966215579086952,0.6766197605612683,calibrated,SN
CK,72,0.9396622053433542,-0.3231093192123997,0.7848475704981747,0.5166178218961586,calibrated,SN
CO,985,0.8943426222542623,-0.45835327187996483,0.7002444232499547,0.32458946035552205,calibrated,SN
CT,30,0.8437518369996825,-0.10131821693509874,0.7348043771773343,0.25189608424485554,calibrated,SN
DW,306,0.9040034114414369,-0.5946790341346665,0.7481229896438398,0.0010559154939151494,calibrated,SN
EL,1,NA,NA,NA,NA,calibrated,SN
FM,75,1.0262151213949664,-0.6623394540888522,0.8570773484240751,0.493926543530008,calibrated,SN
GA,532,1.0297144592800689,0.5568882241017137,0.8374338954282772,0.407369690129909,calibrated,SN
HH,190,0.8506477615673348,-0.31750394289821166,0.6849145285360458,0.47709590227358356,calibrated,SN
HI,1,NA,NA,NA,NA,calibrated,SN
HL,45,0.8136096431934606,0.2484185792248806,0.6944957510605945,0.6447158245366394,calibrated,SN
HY,321,0.7777628631041741,-0.12908680188361493,0.6388905125529734,0.542863495366718,calibrated,SN
LB,128,0.7513894967073593,0.005205037516128371,0.6198712722811331,0.5890369457582207,calibrated,SN
LK,609,0.8303437650475771,0.18191021891973105,0.6634723357623868,0.7051118765598599,calibrated,SN
LL,598,0.8388969400963218,0.029979257745163756,0.672682227211403,0.24472205645645972,calibrated,SN
LO,137,0.9056036515403151,-0.10356337913461962,0.742538883702021,0.6119383832296705,calibrated,SN
LP,14265,0.9928396967910381,0.6862845796095861,0.8399253993644991,0.04231309320523091,calibrated,SN
ML,15,0.8590366824228017,0.10827574857569973,0.6998561109056508,0.5758332733803759,calibrated,SN
MS,72,0.8458189713029318,0.023886858643438945,0.6955408863224201,0.6839361453008354,calibrated,SN
MV,397,0.8264679969541897,0.02292116574804378,0.65973451494707,0.5418732415468819,calibrated,SN
OH,1,NA,NA,NA,NA,calibrated,SN
OT,2,NA,NA,NA,NA,calibrated,SN
OV,89,0.885743200457965,0.2574718136741751,0.7325686947993473,0.5238064169774449,calibrated,SN
PC,312,1.1133862818277893,-0.7396251975142457,0.8967227429022998,0.14619896757174866,calibrated,SN
PD,119,0.9581664190730682,-0.3786661742212247,0.7517871929847794,0.26477197136433217,calibrated,SN
PO,920,0.8233886530798875,-0.31090426097024176,0.6570641525585411,0.4638212904228971,calibrated,SN
PP,35,0.8162692310883352,-0.279423031694911,0.6414279732827105,0.22178168988907543,calibrated,SN
PS,149,0.9084531093299981,-0.3852399898618995,0.7523170661510455,0.5760563371018665,calibrated,SN
PU,140,0.6952639219390379,0.3044655364400295,0.5734254542856715,0.3631714940784435,calibrated,SN
QS,29,0.7373598503921266,0.24812608365220162,0.6264534569792987,0.5994929262114437,calibrated,SN
RA,105,0.8669510429480948,-0.46823310309588234,0.7258636785876885,0.5210684237266999,calibrated,SN
RD,89,0.6409495928358097,-0.06738241275965386,0.4947989737614276,0.6589213669338948,calibrated,SN
RL,109,0.8779218934951377,0.030873508602203475,0.7182884442789926,0.5474960969054511,calibrated,SN
RM,2520,0.8496717686819277,0.12996109435326875,0.6870516655219457,0.5992053038932292,calibrated,SN
RO,430,0.8677813924640994,0.384819112789436,0.710893813367829,0.5435425569252277,calibrated,SN
SA,2374,0.7252736368763553,0.10114722900743386,0.5767235644890599,0.3901104772223437,calibrated,SN
SB,162,0.8182939876365739,0.10669938648967381,0.6485094230173343,0.3165012274313501,calibrated,SN
SD,671,0.7723349507765264,0.2838295399485779,0.6182049867339123,0.37617599664998236,calibrated,SN
SK,744,0.7734046357065251,-0.005077841447148716,0.609946138178164,0.6520329776347149,calibrated,SN
SM,220,0.8340539179598325,0.11964219175298496,0.6807713132107731,0.647982398881024,calibrated,SN
SN,58,0.8850275167324605,0.14750574895446691,0.6723268133584613,0.6163841531646412,calibrated,SN
SO,406,0.7901495206459288,0.26009344991591155,0.641499179488308,0.49009975533754735,calibrated,SN
SP,1148,0.7434919451498101,0.23908036753378123,0.6108490756186276,0.49741408054283165,calibrated,SN
SR,38,1.0570747008403647,0.5831197233036128,0.8829574557096234,0.4038479598857362,calibrated,SN
SS,170,0.7316009580097443,-0.1231161301388044,0.5785398261691018,0.7276332676074594,calibrated,SN
SU,3616,0.8590890105629285,0.10407465922370866,0.6762048468935304,0.5900770755306668,calibrated,SN
SV,12,1.0973517735771312,0.28808451876669167,0.9458542309853578,-0.3033679851906348,calibrated,SN
SY,107,0.9132775610352133,0.07469353800614373,0.7409543159567903,0.47007142247387035,calibrated,SN
TM,24,0.6867861350790351,-0.3820827689594868,0.584052346958161,0.5184770629941675,calibrated,SN
TO,77,1.1803937647668346,-0.9381034702895353,1.0049058889155689,-0.14561546164741124,calibrated,SN
TS,803,0.8372288575861433,-0.15541434233147972,0.6790547399168194,0.47591733703301253,calibrated,SN
VP,746,0.8109629487021098,0.18051652967456927,0.670118407912365,0.3816307896451968,calibrated,SN
WA,220,0.7761716850133892,-0.09755577238044033,0.6103696480548036,0.5504317544555317,calibrated,SN
WE,704,0.7773828309009259,-0.11960911317950511,0.6242913137681126,0.6617695961069312,calibrated,SN
WI,5,0.5241092905513594,0.3958583309148251,0.4401684975193202,0.22059882398662034,calibrated,SN
WK,1640,0.8864950727156141,0.36000558458602083,0.7132090633386536,0.637326755989641,calibrated,SN
WN,83,0.8812981545928034,0.05291365541523219,0.714620770921632,0.20472341327100296,calibrated,SN
WO,1756,0.7411533511750853,0.0403875915036538,0.5951338392410396,0.6226772609932307,calibrated,SN
WP,304,0.8805991258716452,0.326880019143277,0.7411619731843407,0.5496992840762267,calibrated,SN
WT,235,1.0586014401857629,0.4666609721767691,0.8562275831117451,0.1345408885812791,calibrated,SN
YP,1712,1.3011312959066499,1.0055601383777966,1.1199011878343423,0.02805284735504321,calibrated,SN
NA,4683,0.8772871017474572,-0.14039426154865384,0.7049249963105622,0.5832814633893696,calibrated,SN
