species,n,rmse,bias,mae,r2,model,variant
AS,212,1.0478414461746086,0.536981302875756,0.8918003572743732,-0.1420937880398807,default,AK
CW,531,2.4240054145187195,2.1575904618471458,2.2063006726427665,-3.2063265546205146,default,AK
LP,910,1.4877283576341311,1.1362153114774045,1.2759151848733534,-1.4012048751334043,default,AK
MH,6438,1.8771924514748404,1.5071414779516588,1.6376420298678986,-1.723022731068967,default,AK
PB,871,1.7638920814651449,1.3820248297361688,1.5633241818887513,-1.0344324023923197,default,AK
RA,232,2.0955199151175568,1.8072524819413827,1.8836631333487823,-2.4364492947419256,default,AK
RC,1689,2.1449523703709903,1.7419239801885102,1.8757525220985434,-1.4350606072590781,default,AK
WH,10734,1.904836471182778,1.4687983030250278,1.6346799432747192,-1.1617174603727722,default,AK
NA,11890,2.408514062289507,1.8971663049201057,2.0788508214594046,-1.5698043230351817,default,AK
AS,0,NA,NA,NA,NA,calibrated,AK
CW,0,NA,NA,NA,NA,calibrated,AK
LP,910,0.7095180716815335,-0.05311458548521731,0.5638219854961145,0.4538538742656597,calibrated,AK
MH,6438,0.8555184510329504,-0.3391697272509795,0.6760324441534065,0.4344221022858954,calibrated,AK
PB,0,NA,NA,NA,NA,calibrated,AK
RA,0,NA,NA,NA,NA,calibrated,AK
RC,1689,0.8661343865371279,0.35279960270294836,0.7095992948228285,0.6029501547884213,calibrated,AK
WH,10734,1.125111346329946,-0.840757707413327,0.9249881461054545,0.24582081185126237,calibrated,AK
NA,11890,0.8175508374934289,-0.04280439112609435,0.6584005340297217,0.7039049014773198,calibrated,AK
