species,n,rmse,bias,mae,r2,model,variant
BO,20,2.367326640127983,-2.296242828416777,2.296242828416777,-13.54744021078814,default,NC
DF,5430,2.7931261681970407,-2.655005988982314,2.6551842915362514,-3.5396014912800675,default,NC
MA,239,2.1787766889603426,-1.9996185587301651,2.0055450071808867,-1.9246431784360905,default,NC
RW,47,10.436452946647691,10.346849565643419,10.346849565643419,-57.48801503867021,default,NC
SP,48,3.949548879702811,3.757459235886711,3.757459235886711,-11.932075905719365,default,NC
TO,2834,1.46526910882268,-1.104910375261591,1.197599936259005,-0.16885184328557612,default,NC
NA,2498,2.9148406224023606,-2.729162060493899,2.7294295943664872,-3.1141511468750167,default,NC
BO,20,0.6160197602839852,-0.2207147221832595,0.4317767117936755,0.014947228985122907,calibrated,NC
DF,5430,0.7619445231421987,0.18015753269665466,0.6064466792296074,0.6621815802014458,calibrated,NC
MA,239,1.3342466647804474,-1.0441229829820662,1.109138235522931,-0.09678044628886306,calibrated,NC
RW,47,0.945757203153489,0.03040463767063332,0.6854380230146806,0.5196914040909841,calibrated,NC
SP,48,1.2827830109923166,-0.9031628048256386,1.0745017061643318,-0.36420506649154327,calibrated,NC
TO,2834,1.0685579635581626,-0.5934501121932696,0.8402434933330988,0.378385911312177,calibrated,NC
NA,2498,0.8960354748827005,0.017608388098551243,0.7251607271876889,0.6112225880870302,calibrated,NC
