variant,cr_v2_r2
AK,0.603155406066624
ACD,0.4405709703491818
BC,0.5653817746297221
BM,0.5528441864857898
CA,0.49328926306016707
CI,0.45810802386055227
CR,0.6215367485101382
CS,0.33873996479554336
EC,0.583828545703116
EM,0.6400130218626372
IE,0.5777749109178896
KT,0.6129587365327919
LS,0.44874919777585787
NC,0.4321713757617507
NE,0.43325244570234556
OC,0.5571316909201736
ON,0.4440307265545579
OP,0.5726116164828379
PN,0.4286472983837972
SN,0.3443030641870949
SO,0.57815004337664
TT,0.592293863542301
UT,0.6477661590603937
WC,0.5515566032114153
WS,0.6043107942049519
