species,n,rmse,bias,mae,r2,model,variant
AS,148,1.8330874939665145,1.4009599423948425,1.6228102788423313,-1.4044073468058,default,CI
CW,33,9.292467990533924,9.222910867392143,9.222910867392143,-66.04832506129326,default,CI
DF,5923,1.5859135872986878,-1.2743821766451078,1.335362667819124,-0.6465305833363482,default,CI
LM,129,31.151406627977664,25.837102678496663,25.837102678496663,-1161.4976711350196,default,CI
LP,3674,1.5748877151174068,-1.384339342633629,1.3943326828962823,-1.7249018782234695,default,CI
PP,1138,0.9177952591007618,0.32549344630191823,0.7555973396287702,0.3438358497745211,default,CI
WB,765,26.15065471558285,18.807762358075482,18.842056551511114,-564.0896190869123,default,CI
NA,5962,1.2578225097479563,-0.8121812981998568,1.0195174493062937,0.04321311742249134,default,CI
AS,148,0.851169400269131,0.2563283932598472,0.6753016994167275,0.4815896521215156,calibrated,CI
CW,0,NA,NA,NA,NA,calibrated,CI
DF,5923,0.8104897018789432,-0.07067335601477528,0.6545814402468039,0.5699630588043934,calibrated,CI
LM,0,NA,NA,NA,NA,calibrated,CI
LP,3674,0.7242965649599512,-0.0051720082253995684,0.5743318500342681,0.4236523473527424,calibrated,CI
PP,1138,0.9197352123598144,0.47396177652792904,0.7711841677884722,0.3410590363854209,calibrated,CI
WB,765,0.7059725148098486,-0.15804267529586633,0.5611858453406107,0.5881607040280232,calibrated,CI
NA,5962,1.0088809018689513,-0.611214420212219,0.7978229536645194,0.3844599870130073,calibrated,CI
