species,n,rmse,bias,mae,r2,model,variant
AS,4912,1.8275343755412328,1.5290052272466932,1.6173073050436297,-2.3331326041193368,default,UT
BE,5,8.259330835351411,8.147405145853394,8.147405145853394,-36.14819847121647,default,UT
BI,863,0.9267515424600321,0.2265887167403421,0.7581733953041794,0.4295638682872597,default,UT
DF,1702,53.26912296635777,42.29263699392845,42.31405350537085,-2568.682362030303,default,UT
FC,28,10.505921454049057,10.484604073504146,10.484604073504146,-245.6670552422579,default,UT
GB,67,8.602471051567386,8.553223011756794,8.553223011756794,-86.5889252817198,default,UT
GO,3603,7.5181661972632225,7.442771712189159,7.442771712189159,-49.13658926981299,default,UT
LM,269,30.53419152606977,24.929742749117402,24.944216240055166,-790.5682002185041,default,UT
LP,1999,13.554883728542645,10.900399274034179,10.915959330999327,-205.1552319532604,default,UT
MC,2112,4.871482794884999,4.7576155403035685,4.7576155403035685,-22.93982361878189,default,UT
NC,23,9.35886204363819,9.316646254750212,9.316646254750212,-110.09608394556795,default,UT
PI,5294,8.701868895584294,8.65453138755935,8.65453138755935,-91.16372563061002,default,UT
PM,8598,8.601372893848916,8.55261227578664,8.55261227578664,-87.45070927404718,default,UT
PP,644,19.628537341422486,15.463721639034986,15.545244808518422,-484.61537715493824,default,UT
WB,18,18.186012072708916,16.751057174066997,16.751057174066997,-429.3195376387052,default,UT
NA,19863,31.92610947569627,25.86797429099152,25.87086375707754,-929.2678228108188,default,UT
AS,4912,0.6940791578218949,0.008242886717842037,0.5539080102182508,0.5192276428718658,calibrated,UT
BE,5,1.3223411935656066,-0.3971879961541289,1.2148967936008626,0.04778485057333237,calibrated,UT
BI,863,0.8688767138944428,-0.10474006853450847,0.7049698885739552,0.498585709393354,calibrated,UT
DF,1702,0.7746304153951242,0.019520414087567575,0.6135787654964342,0.45660274388770716,calibrated,UT
FC,28,1.068408609730852,0.8706559015572741,0.92262551613071,-1.5510419968329412,calibrated,UT
GB,67,1.0116037838567418,-0.25226936403268835,0.833949800332007,-0.21122171451797,calibrated,UT
GO,3603,0.7042969283920265,-0.04082387814512777,0.571108333183025,0.5600102789515714,calibrated,UT
LM,269,1.01600822617427,-0.5910446285561733,0.8096314829300882,0.12358472822368916,calibrated,UT
LP,1999,0.6810725965945691,3.673540985742527e-4,0.54531481017850425,0.47953733536523746,calibrated,UT
MC,2112,0.8556603046167242,-0.17142604543991588,0.6933447011593039,0.2614134919945027,calibrated,UT
NC,23,0.7175983552785593,0.26139308449401394,0.5817224671886032,0.34684609317146753,calibrated,UT
PI,5294,0.7639315889328172,-0.09772684967370437,0.612394816272118,0.2896966088602767,calibrated,UT
PM,8598,0.7825155416878893,-0.19299126471531228,0.6208897815367115,0.26793151418626304,calibrated,UT
PP,644,0.710900656135935,0.17499224037495872,0.5743256947620068,0.363007405372479,calibrated,UT
WB,18,0.8705595762179502,-0.5504371586007581,0.676420332254083,0.013917823818081265,calibrated,UT
NA,19863,0.9166485740363548,-0.36442638715423764,0.7261073625931407,0.23313002089763557,calibrated,UT
