species,n,rmse,bias,mae,r2,model,variant
AS,23,2.3726550126379577,2.251493255584012,2.271997409017888,-9.04782073255984,default,BM
CW,3,NA,NA,NA,NA,default,BM
DF,9271,3.1991585600890686,-3.0761337008139797,3.0762219304819345,-6.974902957417487,default,BM
LP,6322,1.915990689549642,1.6601678711016026,1.7226420473713198,-1.8908693741625577,default,BM
MH,59,5.846567210824604,-5.8133442361389545,5.8133442361389545,-68.29458299459716,default,BM
PP,14641,0.9927361678886851,0.3901552323448142,0.8141098146956064,0.17473575216402715,default,BM
PY,25,3.33604014960926,-3.1446940450867458,3.1446940450867458,-6.384253903082937,default,BM
WB,190,25.639582225595046,20.42237367320302,20.428082386348642,-406.789469528342,default,BM
WP,8,1.2630711342952023,-0.8393615287985454,0.9907588743221373,0.2991025634355897,default,BM
NA,19458,1.0685915629658609,-0.567095813069909,0.7933644583129171,0.3229910408443569,default,BM
AS,23,0.7223634133466952,0.25487985521966056,0.5344306638964099,0.06864731822867254,calibrated,BM
CW,3,NA,NA,NA,NA,calibrated,BM
DF,9271,0.7554342446063432,0.2051100770655536,0.6080881191099952,0.5553203944114964,calibrated,BM
LP,6322,0.774089794099214,-0.3289531665927815,0.5834379976986318,0.5281278318136151,calibrated,BM
MH,59,0.7061605587390016,0.5153879259600804,0.586533134995858,-0.010890945962483745,calibrated,BM
PP,14641,0.726564853592635,-0.08860605161486938,0.5545351489482859,0.5579472331310222,calibrated,BM
PY,25,1.462311985035526,-1.0461062656435223,1.2435341269619067,-0.4188097445609891,calibrated,BM
WB,190,0.8121838536286592,-0.20195543891656667,0.6435609884468796,0.5908120644736528,calibrated,BM
WP,8,0.6674228524731273,-0.07909796481678365,0.5879690735611414,0.8042954165759841,calibrated,BM
NA,19458,0.7782296275253735,-0.07393954134584951,0.5995623512884725,0.6409239366574198,calibrated,BM
