species,n,rmse,bias,mae,r2,model,variant
BM,1683,3.2134931440495405,2.932785812609657,2.9608409684512966,-4.985338713950247,default,PN
CH,130,2.645368693709902,2.4253207667871184,2.4479506609671096,-5.271741120032519,default,PN
CW,135,4.379002767471064,4.137742695785078,4.178212803615047,-8.332356462907267,default,PN
DF,25356,1.1834502471985258,-0.45270474830203805,0.8934641597325649,0.017423754517660317,default,PN
DG,20,1.8190566712287943,1.3284440145143408,1.5970315138975375,-1.148117118738778,default,PN
GC,49,2.1529614687138965,1.8582720490116043,1.8802068331370312,-2.9549531230431705,default,PN
LP,339,1.7509701697062052,-1.5116767838776675,1.5176084691905074,-1.8669648941564065,default,PN
MH,155,2.718356032481305,2.267915921340631,2.3984174818816815,-2.4197504923979625,default,PN
PB,70,2.3375078108174057,2.1491643491845425,2.1491643491845425,-5.465933837322751,default,PN
PP,7,0.9998692598762263,-0.8018429670860493,0.922439113706689,-2.988652634646809,default,PN
PY,33,1.346027207090955,0.7077640667818473,0.9913985444908132,-0.38213863719427654,default,PN
RA,4975,3.0710175950668166,2.873418199217134,2.879345379373414,-7.053662767550925,default,PN
RC,2498,0.9040943969085263,0.1274768009102229,0.719874707793093,0.6775985729190885,default,PN
WH,10761,1.4397939947771607,-1.0274461945091622,1.1380435343279294,-0.11152281579434109,default,PN
WO,127,3.0981786073800763,2.8646014419755663,2.8816753344049886,-6.267923395481353,default,PN
WP,23,0.9371173918370025,-0.3428791187386206,0.6574867423840041,-0.595010231504405,default,PN
NA,3639,2.207974719701992,-1.934382684429296,1.9429367866293197,-0.8354111220017515,default,PN
BM,1683,1.236690998985798,0.8078416531913131,1.0591928661786592,0.11354564739159678,calibrated,PN
CH,130,0.8566687825885635,0.30608756792646347,0.6972724958619438,0.3422791840394025,calibrated,PN
CW,135,1.4671084884977001,1.14766956388271,1.3041323128808422,-0.04752727412641633,calibrated,PN
DF,25356,0.7459645262255029,-0.0895351566822069,0.5395201800460349,0.6096064785599533,calibrated,PN
DG,20,1.1442373202129934,-0.5342116912467878,0.9118096435316309,0.15004151369938767,calibrated,PN
GC,49,0.96532536159999,-0.15562342826348835,0.7932676640383164,0.2049100603902907,calibrated,PN
LP,339,0.8263595714607136,-0.11272999532412317,0.6408830691735794,0.36143809811421435,calibrated,PN
MH,155,1.0225110098441752,-0.2825392657537368,0.838422245395298,0.5161422157551717,calibrated,PN
PB,70,0.9018031442715987,-0.26646187733521703,0.7054905675847316,0.03761553195744538,calibrated,PN
PP,7,0.9315606620688663,0.7350799955903978,0.7358579413215317,-2.462279023430829,calibrated,PN
PY,33,1.3547207285836338,-0.7667405363491421,1.1089424138028006,-0.4000497972998849,calibrated,PN
RA,4975,1.0591224053918993,0.46971294788169843,0.8900599856375333,0.04209786338135246,calibrated,PN
RC,2498,1.031764945734542,0.564050637973172,0.8455123507071745,0.5801144420279776,calibrated,PN
WH,10761,0.8376596373511936,-0.14179974868308756,0.6290250726178023,0.6237705003824632,calibrated,PN
WO,127,1.3567511607391154,-1.0003102501471106,1.1138376575370146,-0.39379160076388575,calibrated,PN
WP,23,0.6952926811754903,0.25002862324274494,0.5316085484264248,0.12196709213418633,calibrated,PN
NA,3639,0.907208868672141,0.010016574471738373,0.7174808780655734,0.6901441213369772,calibrated,PN
