metric,n,bias,rmse,pct_rmse,r2,variant,eq_type
QMD_default,2260,107.1523,118.3566,776.61,-383.9252,ec,western
QMD_calibrated,2260,1.6922,1.8362,12.05,0.9074,ec,western
DIA_default,2260,97.0149,106.8252,781.41,-375.6669,ec,western
DIA_calibrated,2260,1.7168,1.8722,13.7,0.8843,ec,western
DIA_naive,2260,-1.0478,1.2008,8.78,0.9524,ec,western
BA_default,1813,6.7796,9.3526,77.88,-0.3781,em,western
BA_calibrated,1813,2.8475,3.3908,28.23,0.8189,em,western
BA_naive,1813,-1.3681,1.5998000000000001,13.32,0.9597,em,western
QMD_default,1813,2.0586,2.4384,25.51,0.2113,em,western
QMD_calibrated,1813,1.1031,1.2159,12.72,0.8039,em,western
DIA_default,1813,2.1732,2.5654,28.81,-0.0217,em,western
DIA_calibrated,1813,1.116,1.2245,13.75,0.7673,em,western
DIA_naive,1813,-0.6944,0.7991,8.97,0.9009,em,western
BA_default,2641,11662897502312155e191,Inf,Inf,-Inf,ie,western
BA_calibrated,2641,2.9962,3.835,30.75,0.7739,ie,western
BA_naive,2641,-2.0412,2.4624,19.75,0.9068,ie,western
QMD_default,2641,17996387251917233e86,9248462298314674e88,8157955960429049e89,-6966593646435306e191,ie,western
QMD_calibrated,2641,1.2606,1.4659,12.93,0.825,ie,western
DIA_default,2641,3599277450383447e86,18496924596629346e87,17755649995573053e88,-34148425459882354e189,ie,western
DIA_calibrated,2641,1.2415,1.4492,13.91,0.7904,ie,western
DIA_naive,2641,-1.1054,1.2685,12.18,0.8394,ie,western
BA_default,516,2.6737,27.3568,1424.57,-660.8591,ls,central
BA_calibrated,516,0.2241,0.2835,14.76,0.9289,ls,central
BA_naive,516,-0.2143,0.2572,13.39,0.9415,ls,central
QMD_default,516,2.6556,6.3979,82.51,-8.8373,ls,central
QMD_calibrated,516,0.4451,0.5273,6.8,0.9332,ls,central
DIA_default,516,2.2429,3.6266,49.32,-2.5917,ls,central
DIA_calibrated,516,0.4206,0.5002,6.8,0.9317,ls,central
DIA_naive,516,-0.464,0.5233,7.12,0.9252,ls,central
BA_default,343,553.0676,686.3711,867.4,-74.7205,nc,western
BA_calibrated,343,9.5729,11.9447,15.1,0.9771,nc,western
BA_naive,343,-7.1988,8.7222,11.02,0.9878,nc,western
QMD_default,343,38.9091,40.7932,204.77,-17.8866,nc,western
QMD_calibrated,343,1.4026,1.6806,8.44,0.9679,nc,western
DIA_default,343,34.8247,36.9635,217.45,-19.4168,nc,western
DIA_calibrated,343,1.5208,1.7918,10.54,0.952,nc,western
DIA_naive,343,-1.2081,1.3777,8.1,0.9716,nc,western
BA_default,778,-0.0967,0.1588,7.89,0.9836,ne,ne
BA_calibrated,778,0.2366,0.3036,15.08,0.9401,ne,ne
BA_naive,778,-0.2425,0.2934,14.57,0.944,ne,ne
QMD_default,778,-0.1975,0.3028,3.84,0.9851,ne,ne
QMD_calibrated,778,0.4584,0.5544,7.02,0.9502,ne,ne
DIA_default,778,-0.1588,0.2727,3.74,0.9867,ne,ne
DIA_calibrated,778,0.4263,0.5191,7.11,0.9517,ne,ne
DIA_naive,778,-0.5149,0.5726,7.85,0.9412,ne,ne
BA_default,2134,76.2773,113.006,226.43,-2.9603,pn,western
BA_calibrated,2134,8.5107,11.3688,22.78,0.9599,pn,western
BA_naive,2134,-7.108,8.4593,16.95,0.9778,pn,western
QMD_default,2134,11.6385,13.8076,73.63,-1.108,pn,western
