variant,n_species,mean_default,mean_calibrated,mean_pct_change,correlation
AK,12,576.1666666666666,431.9945408831198,-26.764083868187253,0.7894928170495674
CA,26,564.6923076923077,412.0749979770715,-22.13482531082007,0.7599482798136501
CI,16,543.25,380.33122937733845,-28.751976973138355,0.6845668864389812
CR,22,480.6363636363636,359.084790989465,-22.412047771196026,0.5406722600730854
CS,41,378.1219512195122,278.8054542852631,-22.32719424600301,0.42796739722538735
EC,26,818.2307692307693,717.2592127601104,-12.569422872478436,0.5198692248792355
EM,8,664.875,539.0701102641585,-18.49454494978949,0.40640756586973803
LS,46,421.8478260869565,302.46350289995945,-26.05703484765609,0.6941227775400824
NE,66,419.04545454545456,323.6669918226875,-18.26984921321308,0.51573148461364
OC,25,560.08,406.47981594060025,-27.010096682824994,0.655677244944968
SN,75,405.6533333333333,337.5913431324384,-11.38273802975478,0.6027192915393418
TT,12,522.8333333333334,380.10489043894813,-25.94263503446077,0.5355317716831812
UT,15,527.2,387.2843938304637,-24.890371822366337,0.6069782624069825
WC,8,885,535.4806181825547,-39.560268733924985,0.438406562203988
WS,29,548.7241379310345,407.7190358117735,-22.31777915214359,0.7758816361081695
