variant,n,rmse_cal,bias_cal,r2_cal
ACD,30000,2.1335247046697043,-0.024352140312857023,0.29379294203957795
AK,30000,0.991443453254624,-4.681213021060685e-4,0.13518510204537448
BC,30000,1.353628682279567,-2.6036953950002797e-4,0.24032024064383373
BM,30000,1.3093609766128467,0.006051910200999976,0.2165917381911845
CA,30000,1.4268085517738471,0.0029596612148332095,0.18409054470995223
CI,16539,1.6143178918447438,2.1744398149842303e-4,0.21773668208137154
CR,30000,1.3450858013142992,-0.014082127003333481,0.2402142730900343
CS,30000,1.9235739986816407,0.009922861679698415,0.2606193157346154
EC,30000,1.2983286660100337,-1.6257447425006662e-4,0.20013225367570997
EM,30000,1.262448085496667,0.0035047864133301147,0.15703405785095204
IE,30000,1.303278581153294,0.009222849083333425,0.22197022664436683
KT,30000,1.2744778487075632,0.0070443244400001616,0.18202875812229258
LS,30000,2.1936236847819974,-0.014790065510698482,0.26575755651343125
NC,10663,1.2182461928280877,9.582880343246166e-4,0.37436290300997266
NE,30000,2.113660658090474,0.009668792047793695,0.27393855009029144
OC,30000,1.3682704586907581,0.008409588272833416,0.17186624628720804
ON,30000,2.2129793792277432,0.02351716682821419,0.2579279011234731
OP,30000,1.3901326567405428,-0.005288471249833494,0.22850287346505482
PN,30000,1.548058228067096,-0.012857479293333564,0.37568118099649495
SN,30000,3.02462235777312,-0.013075102996367998,0.2624416437370458
SO,30000,1.2595421602384433,-0.001974893562833337,0.20202310715443417
TT,410,1.2284277594186392,0.004640366414633949,0.2982153296001797
UT,30000,1.3722183062671653,0.01052973266666669,0.23011001800508346
WC,30000,1.2784386445768514,0.00916476992449993,0.28337046112083886
WS,30000,1.384795120524019,0.003668480163433287,0.14435952097973404
