species,n,rmse,bias,mae,r2,model,variant
AS,192,1.2306064444473508,-0.9132421789668826,0.9823430582236649,0.20713443100963858,default,WS
BD,25,2.4572991377819955,-2.3125456363857118,2.3125456363857118,-7.069035431189988,default,WS
BL,476,2.5717938222781687,-2.4774858596096028,2.4795303574815097,-6.7208591434404115,default,WS
BM,133,2.547624192171464,-2.3281146535006503,2.3281146535006503,-2.7740594412108543,default,WS
BO,2239,2.3166821632662953,-2.1698997358932117,2.1707746876327283,-2.8270747083918413,default,WS
CL,107,1.325113552856163,-1.0246604002125286,1.1182803390708818,-0.09482906790454271,default,WS
CP,30,1.1122575779803483,-0.5826933703992853,0.8137120285947458,-0.3614144181991721,default,WS
CY,3072,2.6196159226976263,-2.466696439509326,2.468626193850924,-3.9252328200293176,default,WS
DF,3306,1.7142454296110432,-1.4166987455026279,1.425029900569086,-0.4712871646997203,default,WS
DG,85,1.5483763027209574,-1.1802118761634197,1.3057841426632983,-0.650066544461654,default,WS
FP,328,1.9491429714660904,-1.7303989020761952,1.7493191447165317,-6.235565246432185,default,WS
GB,67,8.803687831870784,8.742121375653829,8.742121375653829,-70.74831570666333,default,WS
GC,5,1.2879334867388978,-0.7679990749604395,0.9193213778802163,-0.5861236589011036,default,WS
GP,110,0.9488642075019956,0.31140612546087315,0.7888787899959037,0.3007116924164124,default,WS
GS,18,4.438897958687311,4.392287555653452,4.392287555653452,-39.527843552197744,default,WS
IO,636,2.504000503773277,-2.3621304314981146,2.3621304314981146,-4.1052268885708,default,WS
JP,4054,3.0633457655463054,-2.899639985424079,2.8998183408712745,-6.141977036422915,default,WS
KP,49,1.200662768636158,0.8230531822350465,1.017460782493902,-0.15087860883241455,default,WS
LM,106,1.5689867522968606,-1.3668713152129317,1.3996509023536703,-1.5819159170695172,default,WS
LO,268,2.1686230527823107,-1.977166741066733,1.9926067362308943,-2.144741556347323,default,WS
LP,4533,3.944847768679412,-3.866744721263168,3.8669234838106763,-13.930345767112994,default,WS
MA,111,1.0821476985665106,-0.37547480231667685,0.8651964061521894,0.4120841075891676,default,WS
MH,821,2.5193022586602902,-2.4107051393610845,2.4110397854991725,-5.313312318323098,default,WS
PM,1919,1.2517302824668868,-0.8954607341102981,1.03357578923808,-0.44795676661366257,default,WS
PP,3176,2.566909643382574,-2.394896860594311,2.39735204535948,-3.181838547871555,default,WS
SP,1454,2.216840313445349,-2.027252960366735,2.0279734068942723,-1.885900539412785,default,WS
TO,349,1.0441444438691454,-0.42897188550405135,0.8257459650795,0.38236574859989547,default,WS
VO,29,2.155574366345072,-2.054575417911518,2.054575417911518,-5.241872649281491,default,WS
WB,944,4.577214475679981,-4.501127880383563,4.502771342735671,-14.71348204006796,default,WS
