variable,estimate,variant,equation
Intercept,5.3225934725,ACD,Mortality
DBH_std,-2.3902663375,ACD,Mortality
BAL_std,-4.0787629925,ACD,Mortality
CR_std,0.95910240675,ACD,Mortality
SI_std,0.21795707795,ACD,Mortality
BA_std,3.2651763725,ACD,Mortality
Intercept,-0.63326525675,ACD,Crown Ratio
DBH_std,0.127701780775,ACD,Crown Ratio
BA_std,-0.1310693944,ACD,Crown Ratio
BAL_std,-0.2090810305,ACD,Crown Ratio
CR_std,-1.3759119525,ACD,Crown Ratio
SI_std,-0.00829919703965,ACD,Crown Ratio
Intercept,3.3333332,AK,Mortality
DBH_std,-1.202807665,AK,Mortality
BAL_std,-3.1475487225,AK,Mortality
CR_std,1.13844456,AK,Mortality
SI_std,0.16168384455875,AK,Mortality
BA_std,2.9568402325,AK,Mortality
Intercept,-0.0799221855875,AK,Crown Ratio
DBH_std,0.17423263525,AK,Crown Ratio
BA_std,-0.09242136275,AK,Crown Ratio
BAL_std,0.03070821130025,AK,Crown Ratio
CR_std,-0.39168225925,AK,Crown Ratio
SI_std,-0.0570879004,AK,Crown Ratio
Intercept,5.2764850275,BC,Mortality
DBH_std,-2.3970075975,BC,Mortality
BAL_std,-3.8711507725,BC,Mortality
CR_std,1.0236676445,BC,Mortality
SI_std,0.09121766276125,BC,Mortality
BA_std,3.0289836225,BC,Mortality
Intercept,-0.7012385655,BC,Crown Ratio
DBH_std,0.0983488448,BC,Crown Ratio
BA_std,-0.13908601895,BC,Crown Ratio
BAL_std,-0.22327430075,BC,Crown Ratio
CR_std,-1.46487511,BC,Crown Ratio
SI_std,0.02664357212813,BC,Crown Ratio
Intercept,2.620701545,BM,Mortality
DBH_std,-0.96700369625,BM,Mortality
BAL_std,-1.2839523975,BM,Mortality
CR_std,0.46645717975,BM,Mortality
SI_std,0.10643226365,BM,Mortality
BA_std,0.9107835575,BM,Mortality
Intercept,-0.34132313678,BM,Crown Ratio
DBH_std,0.15868640575,BM,Crown Ratio
BA_std,-0.149398586,BM,Crown Ratio
BAL_std,-0.07714877135,BM,Crown Ratio
CR_std,-0.6879479755,BM,Crown Ratio
SI_std,-0.05959251985,BM,Crown Ratio
Intercept,2.2612013775,CA,Mortality
DBH_std,0.0992913903725,CA,Mortality
BAL_std,0.0584388165808,CA,Mortality
CR_std,0.4359723485,CA,Mortality
SI_std,-0.01846352163325,CA,Mortality
BA_std,-0.111847673255,CA,Mortality
Intercept,-0.27862339435,CA,Crown Ratio
DBH_std,0.203517768,CA,Crown Ratio
BA_std,-0.25595264625,CA,Crown Ratio
BAL_std,0.0256103201549,CA,Crown Ratio
CR_std,-0.698625908,CA,Crown Ratio
SI_std,-0.0353235359925,CA,Crown Ratio
Intercept,1.861156042,CI,Mortality
DBH_std,-0.3393498645,CI,Mortality
BAL_std,0.37119233975,CI,Mortality
CR_std,0.38448599375,CI,Mortality
SI_std,-0.4148420185,CI,Mortality
BA_std,-0.191537797,CI,Mortality
Intercept,-0.486919770416,CI,Crown Ratio
DBH_std,0.15385150905,CI,Crown Ratio
BA_std,-0.264735159,CI,Crown Ratio
BAL_std,0.043450862818225,CI,Crown Ratio
CR_std,-0.90605553075,CI,Crown Ratio
SI_std,-0.18783139325,CI,Crown Ratio
Intercept,2.37549314,CR,Mortality
DBH_std,-0.55356203075,CR,Mortality
BAL_std,-0.39365568375,CR,Mortality
CR_std,0.626486473,CR,Mortality
SI_std,-0.07724065030595,CR,Mortality
BA_std,0.413726668,CR,Mortality
Intercept,0.16514320205625,CR,Crown Ratio
DBH_std,0.091059726775,CR,Crown Ratio
BA_std,-0.143688758725,CR,Crown Ratio
BAL_std,-0.002059945739415,CR,Crown Ratio
CR_std,-0.9833900155,CR,Crown Ratio
SI_std,-0.0814095639,CR,Crown Ratio
Intercept,4.7529418325,CS,Mortality
DBH_std,-1.6446190775,CS,Mortality
BAL_std,-4.1311362675,CS,Mortality
CR_std,0.69921733475,CS,Mortality
SI_std,0.19108421715,CS,Mortality
BA_std,3.320222325,CS,Mortality
Intercept,-0.22219502529,CS,Crown Ratio
DBH_std,0.04854343153815,CS,Crown Ratio
BA_std,-0.05920882793,CS,Crown Ratio
BAL_std,-0.10365362035,CS,Crown Ratio
CR_std,-1.23680902,CS,Crown Ratio
SI_std,-0.0444453235725,CS,Crown Ratio
Intercept,1.9690914925,EC,Mortality
DBH_std,-0.12966500255,EC,Mortality
BAL_std,0.087276589340125,EC,Mortality
CR_std,0.4478015895,EC,Mortality
SI_std,-0.0114950080379,EC,Mortality
BA_std,-0.085657510671,EC,Mortality
Intercept,-0.302822472325,EC,Crown Ratio
DBH_std,0.16941630425,EC,Crown Ratio
BA_std,-0.16466286375,EC,Crown Ratio
