species,n,rmse,bias,r2,mae,model,variant
AS,0,NA,NA,NA,NA,default,CR
AW,0,NA,NA,NA,NA,default,CR
AZ,0,NA,NA,NA,NA,default,CR
BC,0,NA,NA,NA,NA,default,CR
CI,0,NA,NA,NA,NA,default,CR
DF,0,NA,NA,NA,NA,default,CR
EM,0,NA,NA,NA,NA,default,CR
GO,0,NA,NA,NA,NA,default,CR
LM,0,NA,NA,NA,NA,default,CR
LP,0,NA,NA,NA,NA,default,CR
NC,0,NA,NA,NA,NA,default,CR
PD,0,NA,NA,NA,NA,default,CR
PI,0,NA,NA,NA,NA,default,CR
PM,0,NA,NA,NA,NA,default,CR
PP,0,NA,NA,NA,NA,default,CR
PW,0,NA,NA,NA,NA,default,CR
SO,0,NA,NA,NA,NA,default,CR
SW,0,NA,NA,NA,NA,default,CR
NA,0,NA,NA,NA,NA,default,CR
AS,5291,0.7155450276090441,0.15744734617553252,0.492209503472287,0.5843301910931284,calibrated,CR
AW,748,0.8782883107638413,-0.12973347903679597,0.16987057024912888,0.6839228285103671,calibrated,CR
AZ,375,0.7429889132830879,-0.09819442910277515,0.3098315048889203,0.5804722288388882,calibrated,CR
BC,171,0.8690631985140075,-0.16707267179822682,0.21519700963256816,0.7221909622275947,calibrated,CR
CI,10,1.162365254703083,-0.12921226175998624,-0.015579159393199093,1.0126002568064356,calibrated,CR
DF,3047,0.8840850696644218,-0.43968360816667423,0.294426426069912,0.6926625568595308,calibrated,CR
EM,272,0.7953778016741934,0.1011071469612191,0.339538762291688,0.6374521049712203,calibrated,CR
GO,3355,0.8011592649234407,-0.3078095810228582,0.4424442261859548,0.6501185349663756,calibrated,CR
LM,363,0.7866768822829806,-0.00698616398026245,0.3999995989289299,0.6419694386543884,calibrated,CR
LP,2984,0.7101590066587324,0.1350458291482625,0.35692507718079713,0.5821525089473271,calibrated,CR
NC,25,0.8721575160245694,0.6120282604873242,-0.16174402860283177,0.7083304345036844,calibrated,CR
PD,105,0.7364229090952621,-0.08614422320582633,0.37226931477767955,0.5950243197946817,calibrated,CR
PI,6206,1.004996860597218,-0.6318871489515188,-0.11131891400360638,0.8102219794819359,calibrated,CR
PM,70,0.7569928229043563,-0.12158638369105541,0.34953068507548246,0.5901659427201023,calibrated,CR
PP,5942,0.8263647305250373,0.20874867614125023,0.35218802746237354,0.6809399890631268,calibrated,CR
PW,7,1.0224257260786607,0.3754612553092359,0.44513541361938,0.6976438504928795,calibrated,CR
SO,93,0.923450713013188,0.22899671515957443,0.44840077862485883,0.7197600833400332,calibrated,CR
SW,132,0.9738178621415357,0.5800590931391425,0.1257505150311864,0.8251221513867075,calibrated,CR
NA,20804,0.8706033247872753,-0.17783503774811912,0.37887177799309324,0.6915603668954946,calibrated,CR
