year,ba_q025,ba_q25,ba_q50,ba_q75,ba_q975,tpa_q50,qmd_q50,variant,region
0,60.14999723724917,60.14999723724917,60.14999723724917,60.14999723724917,60.14999723724917,200,7.425729302276445,ACD,Northeast
1,60.77327769155282,60.79739698004769,60.81195903762682,60.82414011906241,60.84752133619394,200,7.466478256074495,ACD,Northeast
2,61.399694418446536,61.44820889272097,61.477427115015196,61.50190654996142,61.54898496746154,200,7.507220107611543,ACD,Northeast
3,61.92000853230956,61.994452079705724,62.039738500795394,62.083790161767766,62.2137749071889,199,7.55772835628998,ACD,Northeast
4,62.26891167206556,62.368220453121396,62.42494878491063,62.4893734609298,62.7055950199846,197,7.618887466129021,ACD,Northeast
5,62.80494036944487,62.9799086295333,63.080867150708485,63.17246270760043,63.393139974160015,197,7.662082840551118,ACD,Northeast
6,63.20833120686153,63.59481885891394,63.735768140229155,63.85850395890266,64.08840954270633,197,7.703121742302004,ACD,Northeast
7,63.852230343704626,64.25486712477192,64.403966085756,64.53702937328346,64.77723380767704,197,7.744032868087659,ACD,Northeast
8,64.25423292594871,64.66045452746306,64.8329602964049,64.974481535546,65.26374768079248,194,7.829230106445401,ACD,Northeast
9,64.89967978315904,65.32123858006281,65.50144162749352,65.66410871444106,65.98140933882713,194,7.869923000433033,ACD,Northeast
10,65.54814962022205,65.98321633355538,66.18599434209747,66.36220658398791,66.69558301266994,194,7.910200828963767,ACD,Northeast
11,66.0536282846456,66.5199410587533,66.74839107365219,66.94973034569102,67.40583912772787,193,7.962129738102766,ACD,Northeast
12,66.70513027397934,67.18543905384173,67.42868686213899,67.65429310663536,68.12798363686728,193,8.0025260429338,ACD,Northeast
13,67.26779867054431,67.83006467104423,68.10079364538109,68.34505451393096,68.85337764046173,193,8.04603209160979,ACD,Northeast
14,67.92417140320511,68.50724090212422,68.791524855170735,69.05480889150803,69.58172676314604,193,8.086772703203598,ACD,Northeast
15,68.58342891666783,69.1830428275164,69.48532308915429,69.76523168233992,70.30268426069885,193,8.127675011596438,ACD,Northeast
16,69.24554889809258,69.87099542180069,70.17716721163339,70.46597256299843,71.02689547825558,193,8.168408582728393,ACD,Northeast
17,69.62046255292815,70.32013721211331,70.62790298511646,70.93752980938785,71.50802721631742,192,8.21603130167675,ACD,Northeast
18,70.2843609465184,71.01009575795217,71.32730501502189,71.64796470780315,72.23919592131439,192,8.256377177544499,ACD,Northeast
19,70.78202837825398,71.52266045001903,71.86151924059264,72.19688009759506,72.80627753267916,191,8.308553404610397,ACD,Northeast
20,71.33408926431788,72.05260781915291,72.40896857268149,72.74662778897381,73.41720908279065,189,8.382329652654427,ACD,Northeast
21,71.96665762467843,72.72720598655148,73.10280380061816,73.46114121634275,74.16002494631162,189,8.426292075298981,ACD,Northeast
