variant,auc_v2,n_obs,n_dead,mort_rate,n_species_re,has_random_slopes,note
CA,0.6397431440446878,38031,4654,0.12237385290946859,37,TRUE,full_data_manual_prediction
IE,0.6821594720301732,82102,10711,0.1304596721151738,19,TRUE,full_data_manual_prediction
NC,0.7086471737366686,13229,1294,0.09781540554841636,22,TRUE,full_data_manual_prediction
OC,0.660116844970577,146943,16291,0.1108661181546586,46,TRUE,full_data_manual_prediction
OP,NA,258403,21841,0.0845230125037248,35,TRUE,full_data_manual_prediction
SN,NA,3454635,677685,0.19616688883196054,87,TRUE,full_data_manual_prediction
SO,0.6785243886858955,70959,5866,0.08266745585478938,22,TRUE,full_data_manual_prediction
TT,0.671394997481954,541,23,0.04251386321626617,5,TRUE,full_data_manual_prediction
WS,0.6602010988331602,57416,7272,0.12665459105475826,38,TRUE,full_data_manual_prediction
