species,n,rmse,bias,mae,r2,model,variant
BM,706,2.662628459160261,2.3289841252470675,2.380509582617455,-3.335066643035945,default,WC
CH,61,2.079057843243352,1.8095081747110455,1.8294652850357789,-3.1238690490764407,default,WC
CW,81,3.781452176047226,3.530723469979373,3.530723469979373,-6.799496185936952,default,WC
DF,19385,1.108926956303956,-0.638922786093106,0.8012011119814694,0.09197994323795577,default,WC
DG,37,1.1771118667363984,0.41780141493865225,0.98817797111196,-0.1441396158599355,default,WC
GC,273,1.9360011661565366,1.441435263447356,1.6450560767277198,-1.2438812758078481,default,WC
JP,4,NA,NA,NA,NA,default,WC
LP,769,2.0065526355997965,-1.8388931373290915,1.841800072418467,-2.452068778744922,default,WC
MH,2535,2.432373822926795,2.148256251158176,2.2133284947599283,-3.5460826528798686,default,WC
PB,28,1.9342399761283762,1.5273478163160479,1.6469831923757638,-1.6562322017665023,default,WC
PP,332,1.5856314807968976,-1.327747802271075,1.3522008246235555,-0.9431309619765889,default,WC
PY,180,1.3647260604783982,0.6717478018349059,1.09397044584888,-0.34163501399462537,default,WC
RA,1217,2.7984449179363713,2.579100626284269,2.5876104992313063,-5.639312221318189,default,WC
RC,2343,1.585143823378505,-1.240340388511464,1.3022478898255672,-0.169157468952587,default,WC
SP,74,4.024511814855242,3.8457440078992002,3.867098873008926,-11.24931769222425,default,WC
WA,3,NA,NA,NA,NA,default,WC
WB,1,NA,NA,NA,NA,default,WC
WH,9559,3.0139390743674146,2.678031034373666,2.743149166154825,-4.076568581959748,default,WC
WO,123,1.7244592638105893,1.4367290011452758,1.4682363773415197,-2.2694144373575336,default,WC
WP,176,1.8489598872430937,1.4283009544093714,1.6344682933650778,-0.5240136521497474,default,WC
NA,12113,1.5248021488571641,-0.8430996211361312,1.1762452257581388,-0.16354198108727913,default,WC
BM,706,0.9688138996359614,-0.0129455598570424,0.7767279979837548,0.4260747115760588,calibrated,WC
CH,61,0.8644208224586907,0.39265143673440606,0.7271633068052658,0.287110594006165,calibrated,WC
CW,81,0.9285455705802067,0.13835477880422412,0.7548909147065809,0.5297207999450243,calibrated,WC
DF,19385,0.7566093624284855,0.2161540598517827,0.6054169686652925,0.5772992851134032,calibrated,WC
DG,37,1.0021037492102296,-0.6323804711591162,0.8251379179481392,0.17078161710514406,calibrated,WC
GC,273,0.9038262544416238,-0.265811189834606,0.6886117484280185,0.510944045904969,calibrated,WC
JP,4,NA,NA,NA,NA,calibrated,WC
LP,769,0.7882098062731421,0.06399603682682606,0.6303552679189428,0.467325392854678,calibrated,WC
MH,2535,0.9251604504179749,-0.5342487967470885,0.7024324478448817,0.3423258027508377,calibrated,WC
PB,28,0.9969507675942476,0.35817309347108606,0.8130343666703161,0.2943444659569565,calibrated,WC
PP,332,0.788781279756406,-0.032581565156414236,0.5987783208073632,0.5191487576476794,calibrated,WC
PY,180,1.242299152364342,-0.8748246410064383,1.01815918534266,-0.11172095580937347,calibrated,WC
RA,1217,0.9867175607464898,0.40103241799949607,0.8240074101624373,0.17457944223303634,calibrated,WC
RC,2343,0.8265278743862036,0.05666985612028666,0.6215960494690304,0.6821291728258927,calibrated,WC
SP,74,0.9153508515328076,0.4778106072223955,0.7881164012998595,0.36633362124673785,calibrated,WC
WA,3,NA,NA,NA,NA,calibrated,WC
WB,1,NA,NA,NA,NA,calibrated,WC
WH,9559,1.2699501141190421,1.0225231861654343,1.1215211671927907,0.09868905981062892,calibrated,WC
WO,123,0.7359528459934611,-0.29145752902950106,0.534444421822603,0.4045242570528258,calibrated,WC
WP,176,0.8747752178731043,-0.016939283863513434,0.7111908301629142,0.6588645748680955,calibrated,WC
NA,12113,0.7457039765229206,0.03265676409660189,0.5856554448919286,0.7217161617410583,calibrated,WC
