SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
12,3431,201.91442086071322,216.21306403076642,236.1293179580456,288.66026918313577,120.00160875486121,216.21306403076642,NA,0.8,0.19999999999999996,216.21306403076642
71,77,175.8758610323078,196.55462728821337,221.7291399890246,234.785498545692,85.87856555149278,196.55462728821337,NA,0.77,0.22999999999999998,196.55462728821337
91,27,214.91186163432477,226.52817464117734,237.35710519727326,242.77157047532123,114.71158877937427,226.52817464117734,NA,0.27,0.73,226.52817464117734
94,222,174.2178432887675,191.14288747964326,207.32918996666655,219.7330139489825,91.37388590015516,191.14288747964326,NA,0.8,0.19999999999999996,191.14288747964326
95,363,158.44861865817677,170.31960639586742,184.79564861283876,215.80773568570189,86.83599420415142,170.31960639586742,NA,0.8,0.19999999999999996,170.31960639586742
97,2015,197.10352298167308,207.6265577580818,232.08270594847093,281.1882054548548,119.6241763895795,207.6265577580818,NA,0.8,0.19999999999999996,207.6265577580818
125,84,199.99954010782466,203.4406209437624,214.46068706446198,216.9844425469202,99.18392086621132,203.4406209437624,240,0.8,0.19999999999999996,210.75249675500993
129,2214,208.07724730836495,222.18123650249447,246.90242477858615,296.80684123921986,123.81236471399978,222.18123650249447,240,0.8,0.19999999999999996,225.74498920199557
241,1588,229.2515949296963,249.29606181565288,275.55862632584694,327.435171913584,126.61958359378438,249.29606181565288,200,0.8,0.19999999999999996,239.43684945252232
261,2349,207.92782945770614,220.3996338715204,243.77225941906767,302.63816104124794,128.51935328683152,220.3996338715204,240,0.8,0.19999999999999996,224.31970709721634
315,46,142.39725912488157,145.43671109381987,149.09895552601233,151.6083412557121,93.16709076249406,145.43671109381987,150,0.46,0.54,147.90088710315715
316,3348,172.72017854597448,183.7415165102853,201.21500077898605,254.1499542373316,105.25032260775164,183.7415165102853,190,0.8,0.19999999999999996,184.99321320822824
317,24,94.92583120370453,99.73962203968658,106.54656963403559,109.9500434312101,65.17958657055915,99.73962203968658,150,0.24,0.76,137.93750928952477
318,2856,160.56650036869206,168.97665030229606,186.1713095546379,232.73391467368796,105.72339536138168,168.97665030229606,190,0.8,0.19999999999999996,173.18132024183686
371,1247,163.09290751389096,172.39595916812277,189.107542817722,216.12652939954225,103.70922629170997,172.39595916812277,200,0.8,0.19999999999999996,177.91676733449822
372,74,190.72127937518616,205.00758780162073,217.9138654278121,240.55999010489447,110.95454162010887,205.00758780162073,170,0.74,0.26,195.90561497319936
375,603,179.81219992238593,187.43986739356015,221.84302822518003,241.1674798577346,109.66509954209687,187.43986739356015,150,0.8,0.19999999999999996,179.9518939148481
379,69,139.80930803172018,146.96556302471964,170.8490907769266,180.965936467422,73.24101148628579,146.96556302471964,150,0.69,0.31000000000000005,147.90623848705656
531,1285,155.7463909424279,161.4565570274698,175.2019166230554,195.99426021805775,103.32958704585015,161.4565570274698,170,0.8,0.19999999999999996,163.16524562197586
541,287,188.8027443941661,197.3133199039147,211.18886805558174,234.5071897811336,100.20675770859913,197.3133199039147,170,0.8,0.19999999999999996,191.85065592313177
543,48,135.94146491726676,141.15851367386443,148.58371677023575,152.0813257799839,84.39117943196061,141.15851367386443,150,0.48,0.52,145.75608656345491
701,38,126.78320410253998,128.589350284404,129.669534189668,130.14624848323174,76.75487404256832,128.589350284404,170,0.38,0.62,154.2639531080735
741,34,159.66331223356008,170.55085713139349,172.85175765179417,174.0022079119945,90.49770892756477,170.55085713139349,150,0.34,0.6599999999999999,156.98729142467377
743,207,180.8616396655525,193.6235188560681,215.68467687401733,231.7974492390152,119.33742354489316,193.6235188560681,130,0.8,0.19999999999999996,180.8988150848545
746,353,168.88532666175885,179.06969966379313,190.8408970947249,202.989086537616,93.04313069240382,179.06969966379313,130,0.8,0.19999999999999996,169.25575973103452
761,22,138.73944318249582,140.42009913721648,141.5480913675495,142.112087482716,89.62255706904732,140.42009913721648,150,0.22,0.78,147.8924218101876
762,45,150.28101993199172,151.4082322013461,154.68574624286242,156.88815687756463,79.59307727968226,151.4082322013461,200,0.45,0.55,178.13370449060577
802,34,141.28954002072848,142.00232491215718,182.99867798455762,203.49685452075764,95.9201328705761,142.00232491215718,170,0.34,0.6599999999999999,160.48079047013343
833,914,188.19589513616822,195.70507960182925,241.49563616329522,319.27448972159993,114.71950883685356,195.70507960182925,170,0.8,0.19999999999999996,190.5640636814634
837,26,161.11865807823537,165.95492915249676,172.29463035526402,175.46448095664766,110.16481334166835,165.95492915249676,160,0.26,0.74,161.54828157964917
