variable,p50,p05,p95,rhat,ess_bulk
"r_SPCD_grouped[611,Intercept]",-0.06906365,-0.16303750000000003,0.02215868999999986,1.0006321750945315,1947.0575444584285
"r_SPCD_grouped[621,Intercept]",-0.029842050000000002,-0.09133596000000001,0.030760654999999987,1.0023189404402153,1175.4888237433647
"r_SPCD_grouped[651,Intercept]",-0.050632949999999996,-0.16713285,0.07370603499999999,1.0021691214462027,3092.294333259261
"r_SPCD_grouped[660,Intercept]",0.0373088,-0.057737784999999986,0.13003585,1.0007380598684086,2132.6737238020014
"r_SPCD_grouped[693,Intercept]",0.0229881,-0.037918375,0.08401544499999998,1.0024364270330217,1222.1773939255982
"r_SPCD_grouped[701,Intercept]",0.143346,0.07860493500000001,0.2095153,1.002133277357595,1392.5781690902706
"r_SPCD_grouped[711,Intercept]",-0.0322652,-0.13686375,0.07345717999999993,1.0007547577333362,2970.8162314547712
"r_SPCD_grouped[731,Intercept]",0.03893015,-0.09724282999999999,0.17281834999999998,1.000845327631928,3691.417302632385
"r_SPCD_grouped[741,Intercept]",0.036666699999999997,-0.07865580999999999,0.15172655,1.0014078908527133,3406.1984820592397
"r_SPCD_grouped[743,Intercept]",-0.10914299999999999,-0.1748913,-0.048752039999999996,1.0012755312965955,1458.3744943553147
"r_SPCD_grouped[746,Intercept]",-0.147153,-0.2001902,-0.09655288000000001,1.0054790518917693,866.9478033221719
"r_SPCD_grouped[761,Intercept]",-0.234941,-0.3331973,-0.14155980000000004,1.0002650447736179,2412.589397448999
"r_SPCD_grouped[762,Intercept]",-0.1684515,-0.21310844999999998,-0.12614485,1.0066316932798927,676.5091162350182
"r_SPCD_grouped[802,Intercept]",0.03985295,-0.011415854999999997,0.09149051999999999,1.0028230639308222,903.4316204026316
"r_SPCD_grouped[806,Intercept]",-0.02463835,-0.09094615,0.040119089999999975,1.0014080434934505,1561.154659716522
"r_SPCD_grouped[832,Intercept]",-0.015249200000000001,-0.06459377499999999,0.033453314999999983,1.004588029150699,770.211486704989
"r_SPCD_grouped[833,Intercept]",0.00831719,-0.03506378,0.05146837,1.006813295372936,652.6757045795235
"r_SPCD_grouped[837,Intercept]",-0.017236050000000003,-0.085250305,0.05092089499999998,1.0020908159263697,1286.9053227515765
"r_SPCD_grouped[901,Intercept]",-0.24668,-0.3328029,-0.16081450000000005,1.0013804405242066,2005.6466553167045
"r_SPCD_grouped[931,Intercept]",-0.182084,-0.26252024999999996,-0.10743560000000003,1.0013650315701526,1886.9566837373204
"r_SPCD_grouped[951,Intercept]",0.0020638749999999997,-0.076369995,0.07900713499999995,1.0016323796730027,2035.7759024739428
"r_SPCD_grouped[972,Intercept]",0.07668554999999999,-0.003038127999999999,0.15282689999999996,1.001858394536755,2056.500380294412
"r_SPCD_grouped[975,Intercept]",-0.02239815,-0.1660883,0.11762469999999997,1.0012968340778232,4757.637002633558
"r_SPCD_grouped[OTHER,DBH_std]",-0.005612585,-0.035999525,0.02402805499999998,1.0005135897209725,4021.562536169433
"r_SPCD_grouped[12,DBH_std]",0.0501837,0.021962905,0.07857384499999999,1.0011740263486786,2068.962054037648
"r_SPCD_grouped[43,DBH_std]",0.007135395,-0.039546125,0.05521852999999997,1.000376505294721,4360.93912301355
"r_SPCD_grouped[68,DBH_std]",-0.00901087,-0.057400164999999996,0.03652224499999998,1.002018501704974,4154.256656164821
"r_SPCD_grouped[71,DBH_std]",-0.0058778500000000004,-0.050571454999999994,0.03865200499999999,1.0013532231686797,3778.2662388374256
"r_SPCD_grouped[91,DBH_std]",-0.02387595,-0.06972507500000001,0.016876524999999976,1.0007206717962296,4202.036598968609
"r_SPCD_grouped[94,DBH_std]",0.02229245,-0.014401765,0.06938775500000001,0.9999358047232526,2723.293875558381
"r_SPCD_grouped[95,DBH_std]",-0.006795695,-0.04948042,0.03210636499999999,1.0007587131112905,3914.4432236288862
"r_SPCD_grouped[97,DBH_std]",-0.01013065,-0.034619094999999996,0.01277233999999999,1.0022777424232667,3037.773959887291
"r_SPCD_grouped[125,DBH_std]",-0.0158107,-0.07278887499999999,0.027614484999999973,0.999898987047168,3092.441663619901
"r_SPCD_grouped[126,DBH_std]",0.02901635,-0.011537645,0.07529821999999999,1.0003416022467113,3178.3722705895157
"r_SPCD_grouped[129,DBH_std]",-0.009906354999999999,-0.029817765,0.009838671499999993,1.002788717029502,2373.7951993520583
"r_SPCD_grouped[130,DBH_std]",0.03342455,-0.014526359999999999,0.094188695,1.0015189417709356,3006.5128105153303
"r_SPCD_grouped[131,DBH_std]",0.0403296,-0.005607969500000001,0.09479328499999998,1.0005798373485935,2876.86894867866
"r_SPCD_grouped[132,DBH_std]",0.017468749999999998,-0.029191475,0.06675373999999998,1.0020512356704745,3825.4338080413304
"r_SPCD_grouped[241,DBH_std]",-0.00840877,-0.03678188,0.020398329999999996,1.0008576359494123,3507.2574173756275
"r_SPCD_grouped[261,DBH_std]",-0.013735899999999999,-0.035159275000000004,0.0077418529999999895,1.0013339107421084,2477.517515082588
"r_SPCD_grouped[313,DBH_std]",-0.02770295,-0.08372778,0.02212378,1.001474981478625,3923.1996418275485
"r_SPCD_grouped[315,DBH_std]",-0.03833005,-0.08878793,-0.0013071925000000088,1.0010066006161422,2022.2107744819518
"r_SPCD_grouped[316,DBH_std]",-0.0020759150000000002,-0.018327134999999998,0.014831389999999998,1.001389602423397,1887.1612063938974
"r_SPCD_grouped[317,DBH_std]",-0.0272268,-0.07959851,0.015912924999999984,0.999805453081641,3256.0454946230043
"r_SPCD_grouped[318,DBH_std]",-0.0166159,-0.035718805,0.0021270409999999836,1.0025337979772877,2461.765860757007
"r_SPCD_grouped[319,DBH_std]",-0.002927605,-0.049099095,0.04067776499999999,1.0026601988881942,4486.522938679889
"r_SPCD_grouped[341,DBH_std]",0.0405306,-0.007177545499999999,0.10443154999999997,1.0007449420643428,2944.585816531417
"r_SPCD_grouped[356,DBH_std]",-9.00489e-4,-0.04220568499999999,0.042101764999999985,0.9995885869945054,4288.175895777609
"r_SPCD_grouped[371,DBH_std]",0.001514405,-0.021891514999999997,0.024919194999999998,1.0008030046965397,3000.261248715738
"r_SPCD_grouped[372,DBH_std]",0.0382556,0.0080172385,0.07198407999999999,1.0006499502404853,1921.8852623128219
"r_SPCD_grouped[375,DBH_std]",0.015416,-0.014174840000000001,0.04828477,1.0006763828284218,3757.162577853141
"r_SPCD_grouped[379,DBH_std]",0.036301650000000005,-0.004552728999999998,0.08880951999999999,1.0005242798288254,2300.9452806640743
"r_SPCD_grouped[391,DBH_std]",-0.0325614,-0.08123314,0.01115118499999999,1.001245109257958,3234.6543007870077
"r_SPCD_grouped[402,DBH_std]",0.01216135,-0.030616794999999995,0.05930589499999997,1.000602054557887,3771.355864647475
"r_SPCD_grouped[403,DBH_std]",-0.0410273,-0.09307771,-0.0017081330000000242,0.9997987453188107,2621.373826425324
"r_SPCD_grouped[407,DBH_std]",-0.023153399999999998,-0.07447760499999999,0.017459159999999998,1.0000582173533192,3979.94135537865
"r_SPCD_grouped[409,DBH_std]",-0.027309149999999997,-0.07951873000000001,0.01599584499999998,1.000987070946576,3507.296133418756
"r_SPCD_grouped[500,DBH_std]",0.003818825,-0.03929686,0.04838673499999997,1.0004021772156544,4310.18414255782
"r_SPCD_grouped[531,DBH_std]",-0.04108135,-0.06330372499999999,-0.019062275000000007,1.0025207404581593,3379.7144632779286
"r_SPCD_grouped[541,DBH_std]",-0.02033965,-0.047709715,0.006243904999999994,1.0005450637427598,2807.619293373798
"r_SPCD_grouped[543,DBH_std]",0.00522159,-0.038884585,0.049654559999999945,1.0025233659127064,5126.269968003598
"r_SPCD_grouped[544,DBH_std]",0.0101286,-0.031279815,0.053682375,1.0001552533286364,5129.4662056126845
"r_SPCD_grouped[591,DBH_std]",-0.02653755,-0.075024935,0.020823174999999937,1.0006325069783883,3295.3194061352115
"r_SPCD_grouped[602,DBH_std]",0.00214533,-0.04254157,0.04901063499999999,1.0016887486438941,4412.251191477858
"r_SPCD_grouped[611,DBH_std]",0.00963407,-0.031935195,0.054002604999999995,1.0013193026112694,4239.926475012323
"r_SPCD_grouped[621,DBH_std]",-0.0131539,-0.04314779,0.015244159999999994,1.0007946518857984,3232.418673537754
"r_SPCD_grouped[651,DBH_std]",0.0068720199999999995,-0.04223316,0.05942798499999999,1.001267339998806,4042.5729569394025
"r_SPCD_grouped[660,DBH_std]",-0.0198425,-0.072652,0.02204026999999999,1.0002850371963878,4226.447622057731
"r_SPCD_grouped[693,DBH_std]",-0.0023808650000000002,-0.04112801,0.035265955,1.0001507040519726,4671.04537474453
"r_SPCD_grouped[701,DBH_std]",-0.022626149999999998,-0.066649735,0.01794280999999999,1.0016159167291232,3148.4333375937586
"r_SPCD_grouped[711,DBH_std]",0.003806215,-0.040494239999999994,0.04876650999999999,1.0006746814040932,3842.76694305321
"r_SPCD_grouped[731,DBH_std]",9.053665000000001e-4,-0.043034255,0.04381787499999998,1.0013998988093111,4271.618418437492
"r_SPCD_grouped[741,DBH_std]",-0.015401600000000001,-0.06181970999999999,0.02822677499999999,1.000139023278643,4028.092426010667
"r_SPCD_grouped[743,DBH_std]",0.0336872,-0.003600350499999999,0.077774345,1.000416984882502,3274.046433970539
"r_SPCD_grouped[746,DBH_std]",0.007941635,-0.028837424999999996,0.04433376,1.0011711857016927,4964.889218583308
"r_SPCD_grouped[761,DBH_std]",0.04318565,-7.658388999999989e-4,0.094953525,0.9998824915691912,2652.190928494859
"r_SPCD_grouped[762,DBH_std]",0.00493304,-0.021776345,0.03138361499999999,1.0012263457152233,3699.160310868483
"r_SPCD_grouped[802,DBH_std]",-0.01010635,-0.04035244,0.019147144999999994,1.001859693201535,3768.9473866543626
"r_SPCD_grouped[806,DBH_std]",0.00504063,-0.03133878,0.04328387499999998,1.0010487548141351,4167.303963300691
"r_SPCD_grouped[832,DBH_std]",0.007980325,-0.02128471,0.037616424999999995,1.0004579014744106,3575.3326856734566
"r_SPCD_grouped[833,DBH_std]",-0.006923105000000001,-0.029481935,0.015385569999999989,1.0011675477504298,2496.0621334331154
"r_SPCD_grouped[837,DBH_std]",0.002633255,-0.031462075,0.036895119999999997,1.0012806642562408,3193.3990868330293
"r_SPCD_grouped[901,DBH_std]",0.0306243,-0.01390012,0.08123352499999999,1.0005828302850386,3549.709420977676
"r_SPCD_grouped[931,DBH_std]",0.0301989,-0.012286755,0.07982908499999997,1.0007115968383369,2793.0285097230135
"r_SPCD_grouped[951,DBH_std]",-0.0024712199999999997,-0.041926334999999995,0.03623877,1.0019388387878385,4113.723033825187
"r_SPCD_grouped[972,DBH_std]",-0.01852455,-0.06314159999999999,0.021216035,1.0001148832235753,3954.591602979574
"r_SPCD_grouped[975,DBH_std]",-0.00391881,-0.050327095,0.041927494999999974,1.0002854631936158,4596.149045617609
lprior,-21.7898,-21.826,-21.7597,1.005349487247712,630.056874559036
lp__,22711.05,22691.4,22729.005,1.0014866221784098,688.9166954358186
