variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk
lp__,-11839.209225,-11610.150000000001,697.1465801938416,383.25210000000135,-13259.53,-11212.44,NA,NA
lp_approx__,-17.6072617025,-17.30475,4.124172606440388,4.006726499999998,-24.792725,-11.44367,NA,NA
mu_b0,0.93951679,0.9393965,0.12383025561576567,0.12128854079999998,0.73581885,1.147841,NA,NA
sigma_b0,0.157042045025,0.153942,0.030330767904065383,0.02908416419999999,0.11262735,0.21252135,NA,NA
z_b0[1],0.2229054512685,0.212598,0.5030246636770566,0.49257383489999995,-0.5845644,1.0531799999999996,NA,NA
z_b0[2],0.73542875696125,0.7347485,0.8617662733061829,0.8613357438000001,-0.6929881499999999,2.153935499999999,NA,NA
z_b0[3],0.006211256698800001,0.0018018449999999998,0.6419974326455,0.6407589636,-1.0375254999999999,1.0736749999999993,NA,NA
z_b0[4],0.15563502192125,0.1456905,1.0668800997764563,1.0888377485999998,-1.5906205,1.915286499999999,NA,NA
z_b0[5],0.093670512164165,0.09829425,1.0433209943342268,1.04566554855,-1.6287485,1.7986374999999997,NA,NA
z_b0[6],0.382145684950625,0.3774785,0.4731498819100267,0.47020584869999993,-0.40121539999999994,1.1555419999999996,NA,NA
z_b0[7],-1.3829194267,-1.3925450000000001,0.4766602410689964,0.4716447119999999,-2.1646590000000003,-0.5894058000000005,NA,NA
z_b0[8],0.57562709588675,0.5727145,0.35009275429004905,0.3413234307,-0.00863483399999991,1.1540054999999998,NA,NA
z_b0[9],-1.5225326004525,-1.5337100000000001,0.5923098441693624,0.5962350030000002,-2.482357,-0.5408775000000012,NA,NA
z_b0[10],1.08798863191875,1.0829650000000002,0.4946940778715174,0.4917398724000003,0.27959805,1.9072369999999992,NA,NA
z_b0[11],-1.17172861722,-1.178535,0.43722656495313783,0.4501277382,-1.8796154999999999,-0.4595200000000003,NA,NA
z_b0[12],0.030411333428175,0.04024975,1.0315749015094133,1.03670842065,-1.6526735,1.7310304999999993,NA,NA
z_b0[13],0.04300831563175,0.0354945,0.9355393215353677,0.941124828,-1.4957464999999999,1.5787484999999988,NA,NA
z_b0[14],0.07165897234475,0.06357535,0.8111877934272204,0.8289937884899999,-1.248884,1.4045099999999988,NA,NA
z_b0[15],0.13810669785625,0.132193,1.0295003059643277,1.0419275433,-1.551765,1.8378684999999997,NA,NA
z_b0[16],0.726030781244225,0.729615,0.896090502047085,0.8980619697000001,-0.7799778999999999,2.1862239999999997,NA,NA
z_b0[17],0.963482881387,0.96033,0.5708218987894901,0.5720901207,0.020439110000000028,1.8928364999999996,NA,NA
z_b0[18],-0.42653853143875,-0.42538699999999996,0.8902087054525428,0.8950307940000001,-1.895535,1.0403964999999997,NA,NA
z_b0[19],-0.02945035599025,-0.02651975,0.9698496992911552,0.9761649670500001,-1.650672,1.543132999999999,NA,NA
b1,0.71144814275,0.711408,0.012698722188400572,0.012743688300000049,0.690628,0.7320137,NA,NA
b2,-0.11090379985,-0.1108065,0.015637668853356046,0.015642171299999997,-0.1365923,-0.085498295,NA,NA
b3,0.13926265495,0.139375,0.017781025584471484,0.017771926199999996,0.11010875,0.16928619999999997,NA,NA
b4,-0.0751928449795,-0.07501635,0.01666916704633139,0.01696420572,-0.1025969,-0.04858237500000001,NA,NA
b5,-0.0019253962152,-0.0027218800000000003,0.04840238173458546,0.048145685532,-0.0790742,0.07984069999999997,NA,NA
b6,0.01830282957844,0.018278700000000002,0.01113767837742759,0.011181695069999999,5.778083500000058e-5,0.03705908499999999,NA,NA
b7,-0.00474426448876725,-0.00466252,0.012947089945978082,0.013041386966999998,-0.025751145,0.01580250499999999,NA,NA
b8,-0.04339643679375,-0.04316695,0.02139619769418043,0.021808230569999996,-0.078933095,-0.007970246000000025,NA,NA
b9,0.017825735799825,0.018149449999999998,0.0478951286392491,0.046752456660000004,-0.060426774999999995,0.09797977999999999,NA,NA
b10,0.0097406312988,0.009821165,0.0030026813267840916,0.0029910343049999997,0.0046607359999999995,0.014590919999999997,NA,NA
b11,3.8401156810525e-5,3.837945e-5,4.793955601373527e-5,4.862278621199999e-5,-3.912178e-5,1.1768255e-4,NA,NA
b12,-0.13823765515,-0.138267,0.023042381424036584,0.023464368899999997,-0.1755823,-0.10074870000000001,NA,NA
b13,-0.076797842188525,-0.07703425,0.03132564595731118,0.03158501388,-0.12768544999999998,-0.02519059500000001,NA,NA
sigma,0.88546687,0.8845244999999999,0.03395347517513807,0.03395154000000013,0.83192205,0.9426405499999998,NA,NA
b0[1],0.97403356875,0.9758995,0.14852322351718353,0.14761358639999997,0.73117155,1.2209104999999998,NA,NA
b0[2],1.05492831025,1.0534949999999998,0.18380120458514337,0.18302103959999974,0.7584582000000001,1.3560679999999998,NA,NA
b0[3],0.940761948,0.9417629999999999,0.16152814368431223,0.15908001480000009,0.67505805,1.2035019999999998,NA,NA
b0[4],0.964578519125,0.96271,0.20710558179290223,0.20317772789999997,0.6265363500000001,1.3099129999999999,NA,NA
b0[5],0.95440166575,0.957003,0.20963070960317268,0.20142158819999992,0.6022176,1.3053834999999998,NA,NA
b0[6],0.99950037175,0.9996585,0.14562025155263986,0.14410649609999995,0.76236765,1.236216,NA,NA
b0[7],0.72233224125,0.724282,0.1511361062515697,0.15002058749999997,0.46997395,0.97248645,NA,NA
b0[8],1.0300188285,1.02932,0.1364547159503286,0.13685435820000003,0.80396265,1.256446,NA,NA
b0[9],0.700264636875,0.7036355000000001,0.1638552279118398,0.16343960010000003,0.42786670000000004,0.9608459499999998,NA,NA
b0[10],1.1099771675,1.11055,0.15078266099945797,0.14900130000000003,0.8643026500000001,1.3631725,NA,NA
b0[11],0.75545439475,0.757003,0.1475981185063603,0.1456795347,0.5129496499999999,0.9962793999999999,NA,NA
b0[12],0.944728574,0.9462715,0.20782340570086855,0.20581749720000006,0.60627135,1.2744929999999997,NA,NA
b0[13],0.94663162375,0.9442794999999999,0.1947632993153054,0.18703443779999993,0.62655215,1.2774755,NA,NA
b0[14],0.95109228775,0.949666,0.17814219507043405,0.1748897199,0.65969575,1.2482995,NA,NA
b0[15],0.961595187325,0.964001,0.2064323381930966,0.20263361370000005,0.6262503000000001,1.3025265,NA,NA
b0[16],1.054001663,1.05327,0.19193693307458168,0.18944885189999996,0.7441241000000001,1.3693005,NA,NA
b0[17],1.09124867775,1.08805,0.15560978176087395,0.1526781480000001,0.8382979500000001,1.3556234999999999,NA,NA
b0[18],0.87208763725,0.869084,0.1907016007062792,0.18763933859999996,0.5667834500000001,1.1870324999999997,NA,NA
b0[19],0.93547902375,0.935103,0.19729062841135897,0.1939344582,0.6125063499999999,1.2528330000000003,NA,NA
ln_DDS_rep[1],0.154082528046875,0.13574350000000002,0.9046401424357701,0.9107011346999999,-1.3235625,1.6588189999999978,NA,NA
ln_DDS_rep[2],2.28944044876,2.2757899999999998,0.9249276650775787,0.9178924859999995,0.78274205,3.8098474999999996,NA,NA
ln_DDS_rep[3],1.02822733132475,1.029445,0.9136974827023496,0.898388883,-0.471685,2.504176499999999,NA,NA
ln_DDS_rep[4],0.725394396967,0.736642,0.9033628279470635,0.8902390308,-0.7702863499999999,2.1780369999999993,NA,NA
ln_DDS_rep[5],1.825434926215,1.803995,0.9284794699501698,0.9275738640000001,0.28961605000000007,3.3272039999999996,NA,NA
ln_DDS_rep[6],2.36628346592575,2.361885,0.9623627910964151,0.9421700610000001,0.7656504500000001,3.9637004999999994,NA,NA
ln_DDS_rep[7],2.26925755775,2.26977,0.8951375246158849,0.8646449069999999,0.79852765,3.7589945,NA,NA
ln_DDS_rep[8],1.789215048745,1.79239,0.9708583098416284,0.967240827,0.20000080000000003,3.413355999999999,NA,NA
ln_DDS_rep[9],2.6141919898225,2.604005,0.9226869748270442,0.9486935009999998,1.0989095,4.118780499999999,NA,NA
ln_DDS_rep[10],3.000137387425,3.013325,0.9437107126794811,0.9480559829999998,1.4679669999999998,4.5355395,NA,NA
ln_DDS_rep[11],1.8322769993625,1.83735,0.9046310790733834,0.9125699519999999,0.33935660000000006,3.3224435,NA,NA
ln_DDS_rep[12],1.4252608483375,1.424755,0.9066476137609859,0.8895533283000001,-0.05724527999999999,2.914669999999999,NA,NA
ln_DDS_rep[13],-0.08973421918075,-0.09144625,0.9641389432813438,0.957529797,-1.6891749999999999,1.4823274999999967,NA,NA
ln_DDS_rep[14],2.437791182775,2.453275,0.9813151803112395,0.9860253689999999,0.8045921,4.0664644999999995,NA,NA
ln_DDS_rep[15],2.569169021025,2.56291,0.9400788622615367,0.9366918539999999,0.99705945,4.098750499999999,NA,NA
ln_DDS_rep[16],1.665672271135,1.662075,1.105243591887591,1.1006051448,-0.17143279999999994,3.4836424999999998,NA,NA
ln_DDS_rep[17],1.140597167632,1.11977,0.9232859990636328,0.919419564,-0.3747024499999999,2.6676309999999996,NA,NA
ln_DDS_rep[18],-0.76199633481425,-0.7481,0.984912508934569,0.97621974912,-2.3782864999999997,0.859079949999999,NA,NA
ln_DDS_rep[19],1.4015596748475,1.39521,1.0037021964192008,1.0073540526,-0.24159129999999998,3.087721499999998,NA,NA
ln_DDS_rep[20],1.52994902396,1.531715,0.8966477933546025,0.8813160027,0.06009630000000003,3.0051064999999992,NA,NA
ln_DDS_rep[21],0.912510462555,0.9129510000000001,0.9217332969856399,0.9402382332,-0.6145364999999999,2.4728039999999996,NA,NA
ln_DDS_rep[22],1.80134963328775,1.7861449999999999,0.9297452683265319,0.917544075,0.28835574999999997,3.3300344999999996,NA,NA
ln_DDS_rep[23],2.090689963994,2.08346,0.9540236052207511,0.946365819,0.52234425,3.6454855,NA,NA
ln_DDS_rep[24],0.619518683349,0.622965,1.0082261046428316,1.0024160309099999,-1.0466544999999998,2.247965499999999,NA,NA
ln_DDS_rep[25],2.6668201,2.674055,0.9500905010250174,0.9339935219999999,1.0471755,4.20466,NA,NA
ln_DDS_rep[26],2.835721658125,2.8420050000000003,0.96257316693226,0.9586269209999992,1.225516,4.419966499999999,NA,NA
ln_DDS_rep[27],2.38584558162825,2.4036350000000004,0.9373751903055302,0.9309097139999993,0.83799725,3.921312999999999,NA,NA
ln_DDS_rep[28],1.8293265852275,1.821105,1.0164653641907986,1.0220525489999999,0.16030755000000002,3.472835999999999,NA,NA
ln_DDS_rep[29],1.9534242142825,1.9400650000000002,0.9286956402930695,0.9101903789999998,0.4551424500000001,3.4926404999999994,NA,NA
ln_DDS_rep[30],1.43913688122675,1.46549,0.9597555693042727,0.9310876260000002,-0.16274039999999998,2.994093,NA,NA
ln_DDS_rep[31],1.213037054245,1.2120350000000002,0.9433638323072739,0.9498566007000003,-0.32072379999999995,2.7645060000000004,NA,NA
ln_DDS_rep[32],1.884256947958,1.882325,0.9031017020254366,0.9236820390000001,0.38217405,3.3340214999999995,NA,NA
