SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,fvs_sdimax_default,sdimax_combined_orig,sdimax_source
15,0.2170953995125,5.8142233745125,335.0311037441456,-0.02579376153751875,-1.6578506965375188,426.5024124748692,-1.7616058267917172,669,0.7,0.30000000000000004,399.0610198556521,-1.7304792877154576,NA,NA,399.0610198556521,calibrated_original
17,0.39304398125,5.99017195625,399.4832976711024,0.01179416513283875,-1.6202627698671612,543.4665364000052,-1.6156770351508682,1084,0.7,0.30000000000000004,500.2715647813344,-1.617052755565756,NA,NA,500.2715647813344,calibrated_original
18,0.3689878515,5.9661158265,389.9879442630984,-0.028847108208825,-1.6609040432088251,498.1954395269336,-1.8776626479618896,99,0.7,0.30000000000000004,465.733190947783,-1.8126350665359705,NA,NA,465.733190947783,calibrated_original
19,0.2289294739125,5.8260574489125005,339.0194393367004,-0.03220462591737875,-1.6642615609173788,449.6625635185871,-1.712912202564171,3084,0.7,0.30000000000000004,416.46962626402103,-1.6983170100701337,NA,NA,416.46962626402103,calibrated_original
20,0.1348436448459875,5.731971619845988,308.57706567461474,-0.0044007217858125,-1.6364576567858125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
51,0.0236455341305875,5.620773509130588,276.1028687475992,-0.05566204150152375,-1.6877189765015237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
59,-0.5947959595,5.0023320155,148.7596647612579,-0.0022828109078225,-1.6343397459078226,180.2818568532388,-1.2641909231449522,62,0.62,0.38,168.30342385828607,-1.4048474757948428,NA,NA,168.30342385828607,calibrated_original
62,-0.734198306375,4.862929668625,129.40275450994798,0.01353371413579037,-1.6185232208642095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
63,0.0599720087656575,5.657099983765658,286.31711313814804,-0.090560177105875,-1.722617112105875,395.87554415506855,-1.92217818959622,1025,0.7,0.30000000000000004,363.0080148499924,-1.8623098663491164,NA,NA,363.0080148499924,calibrated_original
64,-0.0068635758481,5.5902643991519,267.80641814354294,0.1417461793236125,-1.4903107556763877,367.2692989856564,-1.180479895623355,85,0.7,0.30000000000000004,337.43043473302237,-1.2734291536392648,NA,NA,337.43043473302237,calibrated_original
65,0.0937636132571375,5.690891588257138,296.15755356027097,0.1006062433375,-1.5314506916625,425.33312218814774,-1.4480468566589824,7676,0.7,0.30000000000000004,386.5804515997847,-1.4730680071600375,NA,NA,386.5804515997847,calibrated_original
66,-0.0109889924838,5.5861389825162,266.70388086747516,0.0066158984068375,-1.6254410365931626,404.0657157841016,-1.576369054822693,1005,0.7,0.30000000000000004,362.8571653091136,-1.5910906493538337,NA,NA,362.8571653091136,calibrated_original
69,-0.07006605445277125,5.527061920547229,251.40417940665805,-0.053018331179125,-1.685075266179125,372.0076908977296,-1.7891439887694365,2738,0.7,0.30000000000000004,335.8266374504081,-1.757923371992343,NA,NA,335.8266374504081,calibrated_original
72,0.1014558934230625,5.6985838684230625,298.44446494044536,-0.0210995366433875,-1.6531564716433875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
73,0.20593720495,5.80306517995,331.31354072111395,-0.0134230245548625,-1.6454799595548626,457.79801969596514,-1.5894552042002337,460,0.7,0.30000000000000004,419.85267600350977,-1.6062626308066223,NA,NA,419.85267600350977,calibrated_original
93,0.350893407125,5.948021382125,382.994788533144,-0.01269725150402,-1.64475418650402,514.9756828238296,-1.6892853124721592,3407,0.7,0.30000000000000004,475.38141453662394,-1.6759259746817174,NA,NA,475.38141453662394,calibrated_original
94,-0.1672922078332,5.4298357671668,228.11177890373617,0.0080554644997875,-1.6240014705002126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
96,0.01829038534665525,5.615418360346656,274.62824873461733,-0.08730428924225,-1.71936122424225,345.5016661783692,-2.174574439341021,137,0.7,0.30000000000000004,324.23964094524365,-2.0380104748113896,NA,NA,324.23964094524365,calibrated_original
101,0.2438409092375,5.8409688842375,344.11258446057644,-0.058352510757275,-1.6904094457572751,517.8854197442395,-1.7790661881709036,603,0.7,0.30000000000000004,467,-1.752469165446815,467,467,465.75356915914057,reverted_to_default
102,0.1061260471443375,5.703254022144338,299.84150612837186,0.09996348323311612,-1.5320934517668838,436.983229536528,-1.0210122455095951,54,0.54,0.46,373.8980367687762,-1.2561096003879475,NA,NA,373.8980367687762,calibrated_original
106,-0.0377897068015,5.5593382681985,259.6509601636322,-0.00571516158540875,-1.6377720965854088,353.93745936900456,-1.7470270464755877,3113,0.7,0.30000000000000004,325.6515096073928,-1.714250561508534,NA,NA,325.6515096073928,calibrated_original
108,0.21883905845,5.815967033450001,335.61579332399725,-0.127025206225,-1.759082141225,420.9211464646711,-1.9499383727653672,4730,0.7,0.30000000000000004,707,-1.8926815033032576,707,707,395.32954052246896,reverted_to_default
113,0.088120974369825,5.685248949369825,294.49114931192383,0.031292486844835,-1.600764448155165,404.7756368269626,-1.8163753677423984,274,0.7,0.30000000000000004,768,-1.7516920918662284,768,768,371.690290572451,reverted_to_default
114,0.13580389781225,5.73293187281225,308.8735200300567,-0.02217014808592875,-1.6542270830859287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
116,0.2118788634865,5.8090068384865,333.2879524802373,0.01149503252781375,-1.6205619024721862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
118,-0.32775901283375,5.269368962166251,194.29331731853244,0.01439091519744375,-1.6176660198025563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
119,-0.1286939538280125,5.468434021171988,237.08862613547407,0.016271889116375,-1.6157850458836251,355.987486839261,-1.1661485912894864,32,0.32,0.6799999999999999,275.13626156068585,-1.4719013804135006,NA,NA,275.13626156068585,calibrated_original
