variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,5.2764850275,0.23698339753424916,4.8246815000000005,5.77197575,1.0030571272461668,483.079266831488,888.2651958865224
DBH_std,-2.3970075975,0.067058155403012007,-2.53111725,-2.2686237499999997,1.0004441503138548,2116.6425468471593,2464.4070049619113
IDBH_stdE2,0.41440354825,0.0323085932859851,0.34987955000000004,0.478998525,0.9998118171456565,4319.744104037618,3169.030277886997
BAL_std,-3.8711507725,0.09275780630456854,-4.0529424999999994,-3.69108875,1.001355600514888,1614.3753912214554,2359.051705350798
CR_std,1.0236676445,0.05019413915438218,0.92581955,1.1229015,1.00103653976115,5136.110263262143,3094.9140134606587
SI_std,0.09121766276125,0.04074252899074061,0.011603317500000003,0.171341025,1.0001257638991863,5152.73604220728,2941.729079905061
BA_std,3.0289836225,0.08624396564284915,2.8608360000000004,3.1967712500000003,1.00050412018787,1735.871131488555,2457.43399075755
