variable,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,-0.4493320745,0.10150037691388819,-0.6563299499999999,-0.2534079999999999,1.0067321633377668,620.3835275674253,1099.4192822556274
DBH_std,0.59930091425,0.027091531605495836,0.547405875,0.652987675,1.0001284182582932,2916.4821103778136,2414.2766963463628
IDBH_stdE2,-0.0873105512,0.00990635302468123,-0.106899225,-0.06828435,1.0011643728714712,4184.523490488365,2656.6530199473864
BA_std,-0.07875028860975,0.022825580912536867,-0.12393905,-0.03515995999999999,1.0013662032926391,3318.4659943326405,2744.007189030209
BAL_std,-0.02262705213494,0.02250616576054993,-0.067702285,0.0223403125,1.0004683279584974,3476.6545654121405,2912.393340009187
CR_std,-0.87661938325,0.012871338258277933,-0.90143155,-0.8515685,1.0000341027538977,5685.937697487482,2840.937206576185
SI_std,-0.131141221975,0.012714538012762363,-0.15679875,-0.10543670000000001,1.0007243791015568,5809.404041523864,2510.133484218533
