variable,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,-0.4260912415,0.06682117807043182,-0.5575245249999999,-0.289769975,1.003005802775085,676.2656797087426,1106.3067871126718
CR_t1_std,0.38046239575,0.005940350944049228,0.36874812500000004,0.391855175,1.0038885604479073,6697.649616467348,2691.987953206074
DBH_std,0.2378224355,0.03501128387004534,0.16813977500000002,0.306886025,1.0006321575873665,1535.4384565218656,2066.096225896664
IDBH_stdE2,-0.053974851925,0.004775848602498281,-0.06343278,-0.0443056225,1.0006084143008656,7262.659907647245,3286.651477826576
BA_std,-0.027447765955675,0.009964989940484222,-0.047230852500000003,-0.00823586225,1.0007294906634958,3476.2526606054394,3330.5373801624232
BAL_std,-0.0387843947075,0.010408559522330529,-0.05972709999999999,-0.018128054999999994,1.0006890216063693,3351.3997282451282,2873.068242600339
SI_std,-0.057867852275,0.005748734088320173,-0.06941994499999998,-0.046757895,1.0013531850065156,6091.156239152582,3116.419092456357
relDBH_std,-0.04368225085,0.009402292239310987,-0.062138602499999994,-0.02580487249999999,1.0007825408227202,4440.282924076479,3083.361576815844
