variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,2.8313932325,0.2940839720663684,2.25972025,3.41934475,1.0019695819467447,1030.2215774347217,1613.4668656981237
DBH_std,-0.261055761266,0.26338441333044543,-0.8262789499999998,0.230319625,1.0036957174591759,1646.9657832803737,2274.4496709898535
IDBH_stdE2,-0.122718664475,0.03263925564422338,-0.18750327499999997,-0.05976199999999999,0.9999991136040308,5522.795179303814,3332.732068004957
BAL_std,-0.279523809457,0.23355607023315447,-0.732496975,0.19125460000000025,1.0050008292399621,1617.5729102729158,2309.7358277013027
CR_std,0.78736552625,0.040185221476403334,0.7103914,0.8666149500000001,1.001350240016831,7115.822467420657,2823.691543411714
SI_std,-0.2400849585,0.0392809871703544,-0.318068225,-0.1638948,1.0031246891951333,6388.038818718134,2922.809894402428
BA_std,0.16177039394,0.052682809865926904,0.05896430250000011,0.2638382,1.0016794178593065,7151.396448246187,2935.774164140499
DBH_BAL,0.1792217379925,0.052349675369060385,0.077840185,0.28350972500000005,1.0002769447287547,6089.708256233882,3303.6763788588587
ELEV_std,-0.148495788175,0.03545315931305025,-0.21766945000000001,-0.07818303499999998,1.0017025402191873,5827.508468034746,2551.328870807102
SLOPE_std,0.114468005625,0.03371033936750181,0.04725318250000005,0.18049985000000002,1.000850686346891,7251.358438706484,3076.7367973421183
