trait_idx,B1_mean,B1_ci,B2_mean,B2_ci,abs_mean_diff,B1_excludes_zero,B2_excludes_zero
gamma[1],0.042,"[-0.693, +0.780]",0.302,"[-0.263, +0.913]",0.26,FALSE,FALSE
gamma[2],-0.262,"[-0.666, +0.147]",0.042,"[-0.201, +0.257]",0.304,FALSE,FALSE
gamma[3],-0.142,"[-0.556, +0.261]",0.202,"[-0.053, +0.427]",0.345,FALSE,FALSE
gamma[4],0.03,"[-0.720, +0.800]",0.056,"[-0.417, +0.517]",0.027,FALSE,FALSE
gamma[5],0.072,"[-0.639, +0.799]",-0.051,"[-0.354, +0.233]",0.124,FALSE,FALSE
gamma[6],0.096,"[-0.625, +0.809]",-0.081,"[-0.269, +0.124]",0.177,FALSE,FALSE
gamma[7],-0.031,"[-0.764, +0.693]",-0.166,"[-0.656, +0.309]",0.135,FALSE,FALSE
gamma[8],-0.153,"[-0.831, +0.524]",-0.105,"[-0.291, +0.094]",0.048,FALSE,FALSE
