variable,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept,-0.029514145802775,0.04337614745227709,-0.114012525,0.0538377825,1.0048783169383462,458.4840904221198,962.2257873265147
CR_t1_std,0.580352289,0.004115801540472905,0.572232675,0.5883539249999999,1.0013958577532804,6015.278692387762,2707.262593542338
DBH_std,0.0905750371,0.009774859364013384,0.06947761000000002,0.1081173,1.0025176859383391,1708.5954010075095,2016.6465491883284
IDBH_stdE2,-0.00714734892475,0.0017251700723476047,-0.0105830875,-0.00379945775,1.000325694694017,6277.252884625709,3370.352928706855
BA_std,-0.05286645875,0.00540582495318518,-0.06320308,-0.042168965,1.0009732083857708,3398.540273107679,3263.6294843739493
BAL_std,-0.0550466026,0.006269624259547155,-0.06730158,-0.0429978325,1.0019766250985542,3285.36021307839,2727.732129414391
SI_std,-0.04190765735,0.0040314775818940515,-0.0498402,-0.03383443999999999,1.000718802061976,6289.566141656798,3009.5769800695884
relDBH_std,-0.0401778005,0.00715751733010039,-0.05421633,-0.025945512499999997,1.0007639534113126,3414.2025423119353,3084.0792320033947
